configuration,mode,k,aggregation,value,scope,order,new_max_protection,oracle_refresh,steps,total_tiles,baseline_kept_tiles,additional_skipped_tiles,additional_physical_sparsity,fraction_of_baseline_kept_removed,maximum_absolute_error,mean_relative_error,worst_mean_row_cosine,minimum_row_cosine,masked_mean_relative_error,visible_mean_relative_error,masked_worst_mean_row_cosine,removed_new_maximum_tiles,first_nonzero_error_step
independent:k1:all_max:1e-06:all:score:newmax-none:current_step,independent,1,all_max,1e-06,all,score,none,current_step,16,1024,598,0,0.0,0.0,0.0,0.0,1.0,0.9999997019767761,0.0,0.0,0.9999998807907104,0,-1
independent:k1:masked_max:0.003:all:score:newmax-none:current_step,independent,1,masked_max,0.003,all,score,none,current_step,16,1024,598,1,0.0009765625,0.0016722408026755853,0.0015961630269885063,0.00015648813860025257,0.9999988675117493,0.9999768733978271,0.00015421977150253952,0.000444570992840454,0.9999990463256836,0,1
independent:k1:sum_all:0.317059:all:score:newmax-none:current_step,independent,1,sum_all,0.31705939769744873,all,score,none,current_step,16,1024,598,2,0.001953125,0.0033444816053511705,0.002854989841580391,0.00031547629623673856,0.9999957084655762,0.9999266266822815,0.00031169751309789717,0.0007953848107717931,0.9999963045120239,0,1
independent:k8:sum_all:0.350145:all:score:newmax-none:current_step,independent,8,sum_all,0.35014453530311584,all,score,none,current_step,16,1024,598,3,0.0029296875,0.005016722408026756,0.004269502125680447,0.0004939665668644011,0.9999894499778748,0.9998365044593811,0.0004884935333393514,0.001189025235362351,0.9999906420707703,0,1
independent:k16:mean_mixed:0.00270633:all:score:newmax-none:current_step,independent,16,mean_mixed,0.0027063321322202682,all,score,none,current_step,16,1024,598,4,0.00390625,0.006688963210702341,0.00677716638892889,0.0006743560079485178,0.9999797940254211,0.9995908737182617,0.000664804654661566,0.0018873721128329635,0.9999828934669495,0,1
independent:k1:sum_masked:1e-06:all:score:newmax-none:current_step,independent,1,sum_masked,1e-06,all,score,none,current_step,16,1024,598,5,0.0048828125,0.008361204013377926,0.004097253084182739,0.0007306003863050137,0.999997079372406,0.9999855756759644,0.0,0.0007306003863050137,0.9999998807907104,0,8
cumulative:k1:all_max:0.003:masked:score:newmax-none:current_step,cumulative,1,all_max,0.003,masked,score,none,current_step,16,1024,598,6,0.005859375,0.010033444816053512,0.004097253084182739,0.0008870885249052662,0.999997079372406,0.9999768733978271,0.00015421977150253952,0.0011751713791454677,0.9999990463256836,0,1
independent:k1:mean_all:0.003:all:score:newmax-none:current_step,independent,1,mean_all,0.003,all,score,none,current_step,16,1024,598,7,0.0068359375,0.011705685618729096,0.010820905677974224,0.0012525198981165886,0.9999340176582336,0.9989697933197021,0.0012386662419885397,0.0030119435396045446,0.9999415874481201,0,1
cumulative:k1:all_max:0.01:masked:score:newmax-none:current_step,cumulative,1,all_max,0.01,masked,score,none,current_step,16,1024,598,8,0.0078125,0.013377926421404682,0.004097253084182739,0.0012605388801603112,0.9999884366989136,0.9998847246170044,0.0005262564518488944,0.001728163279040018,0.9999891519546509,0,1
independent:k8:sum_masked:1e-06:all:score:newmax-none:current_step,independent,8,sum_masked,1e-06,all,score,none,current_step,16,1024,598,10,0.009765625,0.016722408026755852,0.005265474319458008,0.001546010646961804,0.9999862313270569,0.9999809861183167,0.0,0.001546010646961804,0.9999998807907104,3,8
independent:k1:mean_masked:0.00291532:all:score:newmax-none:current_step,independent,1,mean_masked,0.00291532464325428,all,score,none,current_step,16,1024,598,11,0.0107421875,0.01839464882943144,0.009353150613605976,0.001783353687642375,0.9999527931213379,0.9992270469665527,0.001040541916154325,0.0033341950656904373,0.9999585747718811,0,1
independent:k16:sum_masked:1e-06:all:score:newmax-none:current_step,independent,16,sum_masked,1e-06,all,score,none,current_step,16,1024,598,21,0.0205078125,0.03511705685618729,0.007029622793197632,0.002093093302391935,0.999973714351654,0.999966025352478,0.0,0.002093093302391935,0.9999998807907104,12,8
cumulative:k16:all_max:0.001:masked:score:newmax-none:current_step,cumulative,16,all_max,0.001,masked,score,none,current_step,16,1024,598,23,0.0224609375,0.038461538461538464,0.007029622793197632,0.003205077322490979,0.999973714351654,0.999966025352478,6.752596527803689e-05,0.0032216560866800137,0.9999998807907104,12,6
independent:k8:sum_masked:0.300734:all:score:newmax-none:current_step,independent,8,sum_masked,0.3007335662841797,all,score,none,current_step,16,1024,598,33,0.0322265625,0.05518394648829431,0.0061073899269104,0.0034835807264244067,0.9999765753746033,0.9999672770500183,0.00016569850595260505,0.0035288483295516926,0.9999997019767761,3,4
independent:k8:sum_masked:0.378521:all:score:newmax-none:current_step,independent,8,sum_masked,0.37852102518081665,all,score,none,current_step,16,1024,598,42,0.041015625,0.07023411371237458,0.013433926738798618,0.00434102059352881,0.9999099969863892,0.9984235167503357,0.0015411438635055674,0.006650223137512512,0.9999216794967651,3,1
independent:k16:sum_masked:0.372389:all:score:newmax-none:current_step,independent,16,sum_masked,0.37238866090774536,all,score,none,current_step,16,1024,598,63,0.0615234375,0.10535117056856187,0.016949087381362915,0.010797645962156821,0.9997576475143433,0.9987554550170898,0.0017741668852977455,0.013059727796644438,0.9999414682388306,12,1
