configuration,mode,k,aggregation,value,scope,order,new_max_protection,oracle_refresh,steps,total_tiles,baseline_kept_tiles,additional_skipped_tiles,additional_physical_sparsity,fraction_of_baseline_kept_removed,maximum_absolute_error,mean_relative_error,worst_mean_row_cosine,minimum_row_cosine,masked_mean_relative_error,visible_mean_relative_error,masked_worst_mean_row_cosine,removed_new_maximum_tiles,first_nonzero_error_step
independent:k1:all_max:1e-06:all:score:newmax-none:current_step,independent,1,all_max,1e-06,all,score,none,current_step,16,1024,598,0,0.0,0.0,0.0,0.0,1.0,0.9999997019767761,0.0,0.0,0.9999998807907104,0,-1
independent:k1:all_max:3e-06:all:score:newmax-none:current_step,independent,1,all_max,3e-06,all,score,none,current_step,16,1024,598,0,0.0,0.0,0.0,0.0,1.0,0.9999997019767761,0.0,0.0,0.9999998807907104,0,-1
independent:k1:all_max:1e-05:all:score:newmax-none:current_step,independent,1,all_max,1e-05,all,score,none,current_step,16,1024,598,0,0.0,0.0,0.0,0.0,1.0,0.9999997019767761,0.0,0.0,0.9999998807907104,0,-1
independent:k1:all_max:3e-05:all:score:newmax-none:current_step,independent,1,all_max,3e-05,all,score,none,current_step,16,1024,598,0,0.0,0.0,0.0,0.0,1.0,0.9999997019767761,0.0,0.0,0.9999998807907104,0,-1
independent:k1:all_max:0.0001:all:score:newmax-none:current_step,independent,1,all_max,0.0001,all,score,none,current_step,16,1024,598,0,0.0,0.0,0.0,0.0,1.0,0.9999997019767761,0.0,0.0,0.9999998807907104,0,-1
independent:k1:all_max:0.0003:all:score:newmax-none:current_step,independent,1,all_max,0.0003,all,score,none,current_step,16,1024,598,0,0.0,0.0,0.0,0.0,1.0,0.9999997019767761,0.0,0.0,0.9999998807907104,0,-1
independent:k1:all_max:0.001:all:score:newmax-none:current_step,independent,1,all_max,0.001,all,score,none,current_step,16,1024,598,0,0.0,0.0,0.0,0.0,1.0,0.9999997019767761,0.0,0.0,0.9999998807907104,0,-1
independent:k1:all_max:0.003:all:score:newmax-none:current_step,independent,1,all_max,0.003,all,score,none,current_step,16,1024,598,0,0.0,0.0,0.0,0.0,1.0,0.9999997019767761,0.0,0.0,0.9999998807907104,0,-1
independent:k1:all_max:0.01:all:score:newmax-none:current_step,independent,1,all_max,0.01,all,score,none,current_step,16,1024,598,5,0.0048828125,0.008361204013377926,0.006800234317779541,0.0009071406093426049,0.9999661445617676,0.9996366500854492,0.000900286016985774,0.0017776614986360073,0.9999687075614929,0,1
independent:k1:all_max:0.03:all:score:newmax-none:current_step,independent,1,all_max,0.03,all,score,none,current_step,16,1024,598,13,0.0126953125,0.021739130434782608,0.024103105068206787,0.002643403087859042,0.9997745752334595,0.9950920343399048,0.002279223164805444,0.00706827497924678,0.9998114109039307,0,1
