policy,split,total_tiles,baseline_skipped_tiles,baseline_kept_tiles,additional_skipped_tiles,baseline_physical_sparsity,new_physical_sparsity,additional_physical_sparsity,downstream_work_reduction,unsafe_removals,unsafe_removal_rate,unsafe_wilson95_upper,new_max_removals,affected_masked_rows,maximum_masked_relative_error,p99_masked_relative_error,mean_masked_relative_error,pv_tiles_eliminated,v_bytes_avoided,softmax_elements_avoided,pv_flops_avoided,qk_flops_avoided,optimistic_kernel_speedup,half_downstream_kernel_speedup,passes_offline_work_gate
k_veto_1,calibration,786432,285190,501242,44637,0.36263783772786456,0.41939671834309894,0.056758880615234375,0.08905279286252947,43861,0.9826153191298699,0.9837869309183709,19104,2626989,1.0560336112976074,0.43998801708221436,0.010603221739794114,44637,731332608,365666304,93610573824,0,1.097758456433898,1.0466013883219345,False
k_veto_1,heldout,786432,220192,566240,47702,0.2799886067708333,0.34064483642578125,0.060656229654947914,0.08424343034755581,46571,0.9762903022934049,0.9776177463929879,24998,2451175,1.0118522644042969,0.43907374143600464,0.010841647532560915,47702,781549568,390774784,100038344704,0,1.0919932579675935,1.0439739743984484,False
k_veto_1,final_benchmark,786432,328882,457550,47789,0.41819508870442706,0.4789619445800781,0.06076685587565104,0.10444541580155174,47340,0.9906045324237795,0.9914309175818727,19555,2970122,1.0150821208953857,0.4707675874233246,0.011123584264804611,47789,782974976,391487488,100220796928,0,1.116626521313644,1.055100188974889,False
k_veto_1_visible_only,calibration,786432,285190,501242,30126,0.36263783772786456,0.4009450276692708,0.03830718994140625,0.06010270488107541,29508,0.9794861581358295,0.9810267535633855,16390,1420392,1.0560336112976074,0.32277432084083557,0.012006035899772739,30126,493584384,246792192,63178801152,0,1.0639460345222833,1.0309824159414536,False
k_veto_1_visible_only,heldout,786432,220192,566240,33352,0.2799886067708333,0.3223978678385417,0.042409261067708336,0.05890081944051992,32580,0.976852962341089,0.9784126854170739,21390,1384557,0.9939560294151306,0.31125664710998535,0.012155698763214515,33352,546439168,273219584,69944213504,0,1.0625872603624027,1.0303440545596145,False
k_veto_1_visible_only,final_benchmark,786432,328882,457550,29027,0.41819508870442706,0.4551048278808594,0.03690973917643229,0.06344006119549776,28785,0.99166293450925,0.99264583777994,16169,1408914,0.9191864728927612,0.3422476053237915,0.013492090583598432,29027,475578368,237789184,60874031104,0,1.0677373209839378,1.03275915189832,False
k_veto_1_nonmasked_only,calibration,786432,285190,501242,30126,0.36263783772786456,0.4009450276692708,0.03830718994140625,0.06010270488107541,29508,0.9794861581358295,0.9810267535633855,16390,1420392,1.0560336112976074,0.32277432084083557,0.012006035899772739,30126,493584384,246792192,63178801152,0,1.0639460345222833,1.0309824159414536,False
k_veto_1_nonmasked_only,heldout,786432,220192,566240,33352,0.2799886067708333,0.3223978678385417,0.042409261067708336,0.05890081944051992,32580,0.976852962341089,0.9784126854170739,21390,1384557,0.9939560294151306,0.31125664710998535,0.012155698763214515,33352,546439168,273219584,69944213504,0,1.0625872603624027,1.0303440545596145,False
k_veto_1_nonmasked_only,final_benchmark,786432,328882,457550,29027,0.41819508870442706,0.4551048278808594,0.03690973917643229,0.06344006119549776,28785,0.99166293450925,0.99264583777994,16169,1408914,0.9191864728927612,0.3422476053237915,0.013492090583598432,29027,475578368,237789184,60874031104,0,1.0677373209839378,1.03275915189832,False
k_veto_1_stable_only,calibration,786432,285190,501242,16219,0.36263783772786456,0.38326136271158856,0.020623524983723957,0.03235762366282155,15977,0.9850792280658487,0.9868334857963151,9284,669059,1.0560336112976074,0.33076027035713196,0.01682608930509118,16219,265732096,132866048,34013708288,0,1.0334396513155046,1.016444870293481,False
