dimension,value,veto_bin,kept_tiles,tiles,fraction_of_kept,mean_veto_attention_mass,new_max_fraction,mean_v_max_norm,mean_v_variance
all,all,1,1525032,140128,0.09188528503008461,0.058018628507852554,0.4542775176981046,15.391239166259766,0.8935069441795349
all,all,2-4,1525032,186409,0.12223284495013875,0.07468963414430618,0.5044230697015702,14.969440460205078,0.8443493247032166
all,all,5-8,1525032,123905,0.08124747546280996,0.08947735279798508,0.5735119648117509,14.414168357849121,0.7907388210296631
all,all,9-16,1525032,141451,0.09275280780993447,0.09923217445611954,0.6101618228220373,13.9208345413208,0.742659866809845
all,all,17-32,1525032,159440,0.10454862586489988,0.11339407414197922,0.6308266432513798,13.394364356994629,0.6871681809425354
all,all,33-64,1525032,199638,0.13090741702469194,0.15993839502334595,0.6780873380819283,12.805638313293457,0.6234343647956848
all,all,65-128,1525032,574061,0.37642554385744037,0.12447915971279144,0.763676682443155,9.780786514282227,0.4059954881668091
phase,high,1,680777,34447,0.05059953553072445,0.017230823636054993,0.0023804685458820797,15.59130859375,0.6852630972862244
phase,high,2-4,680777,50139,0.073649667952942,0.025412755087018013,0.011408284967789546,15.159090042114258,0.6474195122718811
phase,high,5-8,680777,35559,0.05223296321702995,0.03387226164340973,0.03214376107314604,14.464908599853516,0.596470296382904
phase,high,9-16,680777,44554,0.06544580677666842,0.04217991232872009,0.08098038335502986,14.201089859008789,0.5832594037055969
phase,high,17-32,680777,57746,0.08482366472427828,0.055934563279151917,0.17810757455061824,14.320121765136719,0.5969817042350769
phase,high,33-64,680777,85740,0.12594432538114536,0.08181019127368927,0.37302309307207837,14.102242469787598,0.5898308157920837
phase,high,65-128,680777,372592,0.5473040364172115,0.10839833319187164,0.682599196976854,10.015087127685547,0.3715963065624237
phase,mid,1,496981,48711,0.09801380736889338,0.053845129907131195,0.13559565601198909,15.931865692138672,0.9846383333206177
phase,mid,2-4,496981,65654,0.13210565393848053,0.07454026490449905,0.34789959484570626,15.703149795532227,0.962306559085846
phase,mid,5-8,496981,45378,0.09130731355927088,0.09626317769289017,0.5939001278152408,15.382835388183594,0.9364246726036072
phase,mid,9-16,496981,53348,0.10734414394111647,0.11106479167938232,0.7338794331558821,14.80448055267334,0.887047529220581
phase,mid,17-32,496981,59150,0.1190186345152028,0.12273798137903214,0.8072696534234995,13.5872802734375,0.7884491682052612
phase,mid,33-64,496981,71193,0.14325094923145956,0.17664934694766998,0.8523871728962117,12.064277648925781,0.6594138145446777
phase,mid,65-128,496981,153547,0.3089594974455764,0.13370372354984283,0.8866601105850326,8.536794662475586,0.40839290618896484
phase,low,1,347274,56970,0.16404913699269166,0.08624949306249619,1.0,14.808012008666992,0.9415019750595093
phase,low,2-4,347274,70616,0.20334375737889965,0.10981623083353043,1.0,14.152631759643555,0.8745052218437195
phase,low,5-8,347274,42968,0.12372938947344173,0.12832799553871155,1.0,13.349178314208984,0.7976523041725159
phase,low,9-16,347274,43549,0.12540241999113091,0.14310596883296967,1.0,12.551634788513184,0.7288625240325928
phase,low,17-32,347274,42544,0.1225084515397064,0.17839418351650238,1.0,11.869595527648926,0.6687668561935425
phase,low,33-64,347274,42705,0.122972062406054,0.288939893245697,1.0,11.438323974609375,0.6309202313423157
phase,low,65-128,347274,47922,0.13799478221807565,0.21995067596435547,1.0,11.94498062133789,0.6657662987709045
layer,0,1,60774,2018,0.03320498897554876,0.03171888366341591,0.8265609514370664,3.6589109897613525,0.03418875113129616
layer,0,2-4,60774,2711,0.04460789153256327,0.031039169058203697,0.7469568424935448,3.8061442375183105,0.03440066799521446
layer,0,5-8,60774,2179,0.035854148155461216,0.02867303043603897,0.6714089031665902,3.9181418418884277,0.03432879596948624
layer,0,9-16,60774,3379,0.05559943396847336,0.029192307963967323,0.6386504883101509,3.9645586013793945,0.03356378152966499
