calibration_errors,calibration_false_skip_ucb,calibration_new_max_errors,calibration_new_max_ucb,calibration_predictions,certified,correct_pre_skips,false_skip_budget,false_skip_new_max,false_skip_rate,family_confidence,head,incorrect_pre_skips,layer,new_max_budget,noise_bucket,num_kv_tiles,oracle_skip_recall,per_test_confidence,physical_pre_qk_sparsity,policy,pre_skips,skip_precision,source_noise_bucket,split,target_noise_bucket,threshold,tiles,validation_false_skip_ucb,validation_new_max_ucb,worst_layer_head_fsr,worst_layer_head_new_max_rate
,,,,,,145006,uncalibrated,10368,0.08743864065449969,,all,13894,all,,all,,0.464668993119979,,0.18486608599869453,previous_step_binary,158900,0.9125613593455003,,held_out_samples,,source exact skip mask,784384,,,,
0,1.0,0,1.0,0,False,0,0.01,0,0.0,0.99,-1,0,-1,0.001,,64,0.0,0.9999998521759698,0.0,previous_step_score,0,0.0,high,held_out_samples,mid,-inf,312320,1.0,1.0,0.0,0.0
0,1.0,0,1.0,0,False,0,0.01,0,0.0,0.99,-1,0,0,0.001,,64,0.0,0.9999998521759698,0.0,previous_step_score,0,0.0,high,held_out_samples,mid,-inf,9760,1.0,1.0,0.0,0.0
0,1.0,0,1.0,0,False,0,0.01,0,0.0,0.99,0,0,0,0.001,,64,0.0,0.9999998521759698,0.0,previous_step_score,0,0.0,high,held_out_samples,mid,-inf,305,1.0,1.0,0.0,0.0
0,1.0,0,1.0,0,False,0,0.01,0,0.0,0.99,1,0,0,0.001,,64,0.0,0.9999998521759698,0.0,previous_step_score,0,0.0,high,held_out_samples,mid,-inf,305,1.0,1.0,0.0,0.0
0,1.0,0,1.0,0,False,0,0.01,0,0.0,0.99,2,0,0,0.001,,64,0.0,0.9999998521759698,0.0,previous_step_score,0,0.0,high,held_out_samples,mid,-inf,305,1.0,1.0,0.0,0.0
0,1.0,0,1.0,0,False,0,0.01,0,0.0,0.99,3,0,0,0.001,,64,0.0,0.9999998521759698,0.0,previous_step_score,0,0.0,high,held_out_samples,mid,-inf,305,1.0,1.0,0.0,0.0
0,1.0,0,1.0,0,False,0,0.01,0,0.0,0.99,4,0,0,0.001,,64,0.0,0.9999998521759698,0.0,previous_step_score,0,0.0,high,held_out_samples,mid,-inf,305,1.0,1.0,0.0,0.0
0,1.0,0,1.0,0,False,0,0.01,0,0.0,0.99,5,0,0,0.001,,64,0.0,0.9999998521759698,0.0,previous_step_score,0,0.0,high,held_out_samples,mid,-inf,305,1.0,1.0,0.0,0.0
0,1.0,0,1.0,0,False,0,0.01,0,0.0,0.99,6,0,0,0.001,,64,0.0,0.9999998521759698,0.0,previous_step_score,0,0.0,high,held_out_samples,mid,-inf,305,1.0,1.0,0.0,0.0
0,1.0,0,1.0,0,False,0,0.01,0,0.0,0.99,7,0,0,0.001,,64,0.0,0.9999998521759698,0.0,previous_step_score,0,0.0,high,held_out_samples,mid,-inf,305,1.0,1.0,0.0,0.0
0,1.0,0,1.0,0,False,0,0.01,0,0.0,0.99,8,0,0,0.001,,64,0.0,0.9999998521759698,0.0,previous_step_score,0,0.0,high,held_out_samples,mid,-inf,305,1.0,1.0,0.0,0.0
