correct_pre_skips,false_skip_budget,false_skip_new_max,false_skip_rate,head,incorrect_pre_skips,layer,noise_bucket,oracle_skip_recall,physical_pre_qk_sparsity,policy,pre_skips,skip_precision,split,threshold,tiles
0,uncalibrated,0,0.0,all,0,all,all,0.0,0.0,previous_step_binary,0,0.0,held_out_samples,source exact skip mask,1728
0,0.01,0,0.0,0,0,0,mid,0.0,0.0,previous_step_score,0,0.0,held_out_samples,-inf,72
0,0.01,0,0.0,1,0,0,mid,0.0,0.0,previous_step_score,0,0.0,held_out_samples,-inf,72
0,0.01,0,0.0,2,0,0,mid,0.0,0.0,previous_step_score,0,0.0,held_out_samples,-inf,72
0,0.01,0,0.0,3,0,0,mid,0.0,0.0,previous_step_score,0,0.0,held_out_samples,-inf,72
0,0.01,0,0.0,0,0,1,mid,0.0,0.0,previous_step_score,0,0.0,held_out_samples,-inf,72
0,0.01,0,0.0,1,0,1,mid,0.0,0.0,previous_step_score,0,0.0,held_out_samples,-inf,72
0,0.01,0,0.0,2,0,1,mid,0.0,0.0,previous_step_score,0,0.0,held_out_samples,-inf,72
0,0.01,0,0.0,3,0,1,mid,0.0,0.0,previous_step_score,0,0.0,held_out_samples,-inf,72
0,0.01,0,0.0,0,0,2,mid,0.0,0.0,previous_step_score,0,0.0,held_out_samples,-inf,72
0,0.01,0,0.0,1,0,2,mid,0.0,0.0,previous_step_score,0,0.0,held_out_samples,-inf,72
0,0.01,0,0.0,2,0,2,mid,0.0,0.0,previous_step_score,0,0.0,held_out_samples,-inf,72
0,0.01,0,0.0,3,0,2,mid,0.0,0.0,previous_step_score,0,0.0,held_out_samples,-inf,72
0,0.01,0,0.0,0,0,0,low,0.0,0.0,previous_step_score,0,0.0,held_out_samples,-inf,72
2,0.01,0,0.0,1,0,0,low,1.0,0.027777777777777776,previous_step_score,2,1.0,held_out_samples,0.9647893309593202,72
2,0.01,0,0.0,2,0,0,low,1.0,0.027777777777777776,previous_step_score,2,1.0,held_out_samples,1.0194230079650881,72
0,0.01,2,1.0,3,2,0,low,0.0,0.0,previous_step_score,2,0.0,held_out_samples,1.0258213281631472,72
0,0.01,0,0.0,0,0,1,low,0.0,0.0,previous_step_score,0,0.0,held_out_samples,0.993469536304474,72
0,0.01,0,0.0,1,0,1,low,0.0,0.0,previous_step_score,0,0.0,held_out_samples,0.8800700902938844,72
0,0.01,0,0.0,2,0,1,low,0.0,0.0,previous_step_score,0,0.0,held_out_samples,0.91202449798584,72
2,0.01,2,0.5,3,2,1,low,1.0,0.027777777777777776,previous_step_score,4,0.5,held_out_samples,1.0980286598205569,72
0,0.01,0,0.0,0,0,2,low,0.0,0.0,previous_step_score,0,0.0,held_out_samples,-inf,72
0,0.01,0,0.0,1,0,2,low,0.0,0.0,previous_step_score,0,0.0,held_out_samples,0.8010822534561158,72
0,0.01,0,0.0,2,0,2,low,0.0,0.0,previous_step_score,0,0.0,held_out_samples,0.8984929323196412,72
4,0.01,0,0.0,3,0,2,low,1.0,0.05555555555555555,previous_step_score,4,1.0,held_out_samples,0.9641342163085939,72
10,0.01,4,0.2857142857142857,all,4,all,all,0.45454545454545453,0.005787037037037037,previous_step_score,14,0.7142857142857143,held_out_samples,per-layer-head-noise,1728
0,0.001,0,0.0,0,0,0,mid,0.0,0.0,previous_step_score,0,0.0,held_out_samples,-inf,72
0,0.001,0,0.0,1,0,0,mid,0.0,0.0,previous_step_score,0,0.0,held_out_samples,-inf,72
0,0.001,0,0.0,2,0,0,mid,0.0,0.0,previous_step_score,0,0.0,held_out_samples,-inf,72
0,0.001,0,0.0,3,0,0,mid,0.0,0.0,previous_step_score,0,0.0,held_out_samples,-inf,72
0,0.001,0,0.0,0,0,1,mid,0.0,0.0,previous_step_score,0,0.0,held_out_samples,-inf,72
