candidate_rate,candidate_tiles,correct_pre_qk_sparsity,false_new_max,false_skips,oracle_exact_skip_rate,oracle_skip_recall,policy,precision,required_precision,source_noise_bucket,target_noise_bucket,threshold,tiles
0.0,0,0.0,0,0,0.0,0.0,previous_step_binary_raw,0.0,,high,mid,,432
0.0,0,0.0,0,0,0.0,0.0,previous_step_binary_safe,0.0,,high,mid,,432
0.0,0,0.0,0,0,0.0,0.0,continuous_score_optimistic_headroom,0.0,0.9,high,mid,,432
0.0,0,0.0,0,0,0.0,0.0,continuous_score_optimistic_headroom,0.0,0.99,high,mid,,432
0.0,0,0.0,0,0,0.0,0.0,continuous_score_optimistic_headroom,0.0,0.999,high,mid,,432
0.0,0,0.0,0,0,0.0,0.0,continuous_score_optimistic_headroom,0.0,0.9999,high,mid,,432
0.0,0,0.0,0,0,0.02546296296296296,0.0,previous_step_binary_raw,0.0,,mid,low,,432
0.0,0,0.0,0,0,0.02546296296296296,0.0,previous_step_binary_safe,0.0,,mid,low,,432
0.0,0,0.0,0,0,0.02546296296296296,0.0,continuous_score_optimistic_headroom,0.0,0.9,mid,low,,432
0.0,0,0.0,0,0,0.02546296296296296,0.0,continuous_score_optimistic_headroom,0.0,0.99,mid,low,,432
0.0,0,0.0,0,0,0.02546296296296296,0.0,continuous_score_optimistic_headroom,0.0,0.999,mid,low,,432
0.0,0,0.0,0,0,0.02546296296296296,0.0,continuous_score_optimistic_headroom,0.0,0.9999,mid,low,,432
