calibration_errors,calibration_false_skip_ucb,calibration_new_max_errors,calibration_new_max_ucb,calibration_predictions,certified,correct_pre_skips,false_skip_budget,false_skip_new_max,false_skip_rate,family_confidence,head,incorrect_pre_skips,layer,new_max_budget,noise_bucket,num_kv_tiles,oracle_skip_recall,per_test_confidence,physical_pre_qk_sparsity,policy,pre_skips,skip_precision,source_noise_bucket,split,target_noise_bucket,threshold,tiles,validation_false_skip_ucb,validation_new_max_ucb,worst_layer_head_fsr,worst_layer_head_new_max_rate
,,,,,,0,uncalibrated,0,0.0,,all,0,all,,all,,0.0,,0.0,previous_step_binary,0,0.0,,held_out_samples,,source exact skip mask,864,,,,
0,1.0,0,1.0,0,False,0,0.01,0,0.0,0.99,-1,0,-1,0.001,,1,0.0,0.999990234375,0.0,previous_step_score,0,0.0,high,held_out_samples,mid,-inf,72,1.0,1.0,0.0,0.0
0,1.0,0,1.0,0,False,0,0.01,0,0.0,0.99,-1,0,0,0.001,,1,0.0,0.999990234375,0.0,previous_step_score,0,0.0,high,held_out_samples,mid,-inf,24,1.0,1.0,0.0,0.0
0,1.0,0,1.0,0,False,0,0.01,0,0.0,0.99,0,0,0,0.001,,1,0.0,0.999990234375,0.0,previous_step_score,0,0.0,high,held_out_samples,mid,-inf,6,1.0,1.0,0.0,0.0
0,1.0,0,1.0,0,False,0,0.01,0,0.0,0.99,1,0,0,0.001,,1,0.0,0.999990234375,0.0,previous_step_score,0,0.0,high,held_out_samples,mid,-inf,6,1.0,1.0,0.0,0.0
0,1.0,0,1.0,0,False,0,0.01,0,0.0,0.99,2,0,0,0.001,,1,0.0,0.999990234375,0.0,previous_step_score,0,0.0,high,held_out_samples,mid,-inf,6,1.0,1.0,0.0,0.0
0,1.0,0,1.0,0,False,0,0.01,0,0.0,0.99,3,0,0,0.001,,1,0.0,0.999990234375,0.0,previous_step_score,0,0.0,high,held_out_samples,mid,-inf,6,1.0,1.0,0.0,0.0
0,1.0,0,1.0,0,False,0,0.01,0,0.0,0.99,-1,0,1,0.001,,1,0.0,0.999990234375,0.0,previous_step_score,0,0.0,high,held_out_samples,mid,-inf,24,1.0,1.0,0.0,0.0
0,1.0,0,1.0,0,False,0,0.01,0,0.0,0.99,0,0,1,0.001,,1,0.0,0.999990234375,0.0,previous_step_score,0,0.0,high,held_out_samples,mid,-inf,6,1.0,1.0,0.0,0.0
0,1.0,0,1.0,0,False,0,0.01,0,0.0,0.99,1,0,1,0.001,,1,0.0,0.999990234375,0.0,previous_step_score,0,0.0,high,held_out_samples,mid,-inf,6,1.0,1.0,0.0,0.0
0,1.0,0,1.0,0,False,0,0.01,0,0.0,0.99,2,0,1,0.001,,1,0.0,0.999990234375,0.0,previous_step_score,0,0.0,high,held_out_samples,mid,-inf,6,1.0,1.0,0.0,0.0
0,1.0,0,1.0,0,False,0,0.01,0,0.0,0.99,3,0,1,0.001,,1,0.0,0.999990234375,0.0,previous_step_score,0,0.0,high,held_out_samples,mid,-inf,6,1.0,1.0,0.0,0.0
0,1.0,0,1.0,0,False,0,0.01,0,0.0,0.99,-1,0,2,0.001,,1,0.0,0.999990234375,0.0,previous_step_score,0,0.0,high,held_out_samples,mid,-inf,24,1.0,1.0,0.0,0.0
0,1.0,0,1.0,0,False,0,0.01,0,0.0,0.99,0,0,2,0.001,,1,0.0,0.999990234375,0.0,previous_step_score,0,0.0,high,held_out_samples,mid,-inf,6,1.0,1.0,0.0,0.0
0,1.0,0,1.0,0,False,0,0.01,0,0.0,0.99,1,0,2,0.001,,1,0.0,0.999990234375,0.0,previous_step_score,0,0.0,high,held_out_samples,mid,-inf,6,1.0,1.0,0.0,0.0
0,1.0,0,1.0,0,False,0,0.01,0,0.0,0.99,2,0,2,0.001,,1,0.0,0.999990234375,0.0,previous_step_score,0,0.0,high,held_out_samples,mid,-inf,6,1.0,1.0,0.0,0.0
0,1.0,0,1.0,0,False,0,0.01,0,0.0,0.99,3,0,2,0.001,,1,0.0,0.999990234375,0.0,previous_step_score,0,0.0,high,held_out_samples,mid,-inf,6,1.0,1.0,0.0,0.0
0,1.0,0,1.0,0,False,0,0.01,0,0.0,0.99,-1,0,-1,0.001,,1,0.0,0.999990234375,0.0,previous_step_score,0,0.0,mid,held_out_samples,low,-inf,72,1.0,1.0,0.0,0.0
0,1.0,0,1.0,0,False,0,0.01,0,0.0,0.99,-1,0,0,0.001,,1,0.0,0.999990234375,0.0,previous_step_score,0,0.0,mid,held_out_samples,low,-inf,24,1.0,1.0,0.0,0.0
0,1.0,0,1.0,0,False,0,0.01,0,0.0,0.99,0,0,0,0.001,,1,0.0,0.999990234375,0.0,previous_step_score,0,0.0,mid,held_out_samples,low,-inf,6,1.0,1.0,0.0,0.0
0,1.0,0,1.0,0,False,0,0.01,0,0.0,0.99,1,0,0,0.001,,1,0.0,0.999990234375,0.0,previous_step_score,0,0.0,mid,held_out_samples,low,-inf,6,1.0,1.0,0.0,0.0
