split,k,physical,kept,candidates,physical_replacement_fraction,kept_replacement_fraction
calibration,1,9216,6498,543,0.058919270833333336,0.08356417359187442
calibration,2,9216,6498,856,0.09288194444444445,0.1317328408741151
calibration,4,9216,6498,1269,0.1376953125,0.19529085872576177
calibration,8,9216,6498,1781,0.19325086805555555,0.27408433364112034
calibration,16,9216,6498,2385,0.2587890625,0.3670360110803324
test,1,18432,13749,1085,0.05886501736111111,0.07891483016946688
test,2,18432,13749,1723,0.0934787326388889,0.12531820496036075
test,4,18432,13749,2579,0.1399197048611111,0.1875772783475162
test,8,18432,13749,3665,0.19883897569444445,0.26656484107935124
test,16,18432,13749,4999,0.2712131076388889,0.36359007927849296
