grouping,groups,layer,candidate_tiles,new_maximum_candidates,mean_veto_row_relative_mass_error,mean_veto_row_relative_value_error,compact_mean_relative_output_error,compact_masked_mean_relative_output_error,compact_visible_mean_relative_output_error,compact_minimum_row_cosine,veto_oracle_mean_relative_output_error,head,noise_phase
layer,96,0,600,438,0.2601716456313928,0.3072956715089579,0.031020900749960372,0.02625498872657772,0.03333267855941813,0.9866405967622995,0.03415070984434957,,
layer,96,15,1317,743,0.5183543041348457,0.7211192799732089,0.05730887833609207,0.05526642036663058,0.06064218885027609,0.8795212775779268,0.10235170755913714,,
layer,96,31,1748,1003,0.44427256829415757,0.43068787137356895,0.07722616753926559,0.07261396513210154,0.0876243852465753,0.8385623820746938,0.07319768390819566,,
head,72,,1008,586,0.40701947464711136,0.6271179730279578,0.0580366948108551,0.0580008145641639,0.06295357106824263,0.859877870314651,0.04908922369617762,0,
head,72,,789,403,0.4858662684758504,0.4470015922561288,0.03976358776546678,0.030874046162757116,0.04726639882493247,0.9140040195650525,0.04970634634486891,15,
head,72,,833,537,0.3879955839365721,0.42532258853316307,0.05015105436905287,0.04657805689041399,0.05526881557953958,0.8968109921034839,0.05874966157069947,31,
head,72,,1035,658,0.3495166970209943,0.44602827665706474,0.07278992522171596,0.07006091468307811,0.07664355140231136,0.9356061265700393,0.12205490347049716,7,
noise_phase,96,,862,33,0.34098952868953347,0.36979459427918,0.01770597581404824,0.01645201148645962,0.028562850707203324,0.9662849260494113,0.025341334356805117,,high
noise_phase,96,,1646,1646,0.4311821187535922,0.5973875855561346,0.09611064256750979,0.08893447220422483,0.09783979388642668,0.8472390657601258,0.12241172210876054,,low
noise_phase,96,,1157,505,0.45062687061727047,0.49192064302042127,0.051739328243760006,0.04874889053462539,0.05519660806263952,0.891200264605383,0.06194704484611672,,mid
layer+noise_phase,32,0,71,1,0.13967487215995789,0.08741980232298374,0.004256786178302718,0.004077038756804541,0.005745277451751463,0.9995053149759769,0.008808372309431434,,high
layer+noise_phase,32,0,429,429,0.3875451209023595,0.5890146717429161,0.07202710780256893,0.0610914719873108,0.07420292422466446,0.981914272531867,0.07201936349156313,,low
layer+noise_phase,32,0,100,8,0.253294943831861,0.24545254046097398,0.01677880826900946,0.013596455435617827,0.020049834001838462,0.9785022027790546,0.02162439373205416,,mid
layer+noise_phase,32,15,345,3,0.4564570002257824,0.7071406245231628,0.03495283063239185,0.03415829849836882,0.040992248155816924,0.9596243984997272,0.05608051677700132,,high
layer+noise_phase,32,15,561,561,0.46743989270180464,0.6937857326120138,0.08602617729047779,0.08370957778242882,0.08646362956642406,0.7896662359125912,0.16329066312755458,,low
layer+noise_phase,32,15,411,179,0.6311660194769502,0.76243148278445,0.050947627085406566,0.04793138481909409,0.0544706888285873,0.8892731983214617,0.08768394277285552,,mid
layer+noise_phase,32,31,446,29,0.42683671368286014,0.3148233559913933,0.01390831063145015,0.011120697204205499,0.03895102651404159,0.9397250646725297,0.011135113983982592,,high
layer+noise_phase,32,31,656,656,0.4385613426566124,0.5093623523134738,0.13027864260948263,0.12200236684293486,0.13285282786819153,0.7701366888359189,0.1319251397071639,,low
layer+noise_phase,32,31,646,318,0.4674196485430002,0.46787790581583977,0.08749154937686399,0.08471883134916425,0.0910693013574928,0.8058253927156329,0.07653279803344049,,mid
head+noise_phase,24,,270,26,0.3481957384695609,0.48874977603554726,0.02835227183823008,0.026691768104986597,0.04188823721415247,0.9185970810552438,0.03518045503490915,0,high
head+noise_phase,24,,418,418,0.37474601591626805,0.7125930488109589,0.08473057160153985,0.08667597882837678,0.08495041890031037,0.8284052833914757,0.07587796591299896,0,low
head+noise_phase,24,,320,142,0.4981166695555051,0.6800110942373673,0.06102724099279536,0.060634696759128325,0.06202205709026506,0.8326312464972337,0.03620925014062474,0,mid
head+noise_phase,24,,221,1,0.4540260210633278,0.3440088977416356,0.015755300077823147,0.01446314715455325,0.026522073535791908,0.9893423790733019,0.024586972166919924,15,high
head+noise_phase,24,,319,319,0.48742243523399037,0.4871655705695351,0.059109367236184575,0.04143053852021694,0.06264482403639704,0.8739936401446661,0.07141431327909231,15,low
head+noise_phase,24,,249,83,0.5161503491302332,0.5098303084572157,0.04442609598239263,0.03672845281350116,0.052632298902608454,0.8786760394771894,0.053117753588594496,15,mid
head+noise_phase,24,,177,1,0.3192090590794881,0.325000053892533,0.010499907608997697,0.009154729739141962,0.023402153232988592,0.9734211266040802,0.01400280095792065,31,high
head+noise_phase,24,,396,396,0.40506607356170815,0.5907592934866747,0.09754474880173802,0.08818497679506739,0.09962020197417587,0.805542154237628,0.11348580087845524,31,low
head+noise_phase,24,,260,140,0.43971161916852,0.3602084182202816,0.0424085066964229,0.04239446413703263,0.04278409153145427,0.9114696954687437,0.04876038287572252,31,mid
head+noise_phase,24,,194,5,0.24252729614575705,0.321419649447004,0.016216423731142033,0.015498400947156673,0.02243893884588033,0.9837791174650192,0.027595109267470736,7,high
head+noise_phase,24,,513,513,0.4574939503024022,0.5990324293573698,0.1430578826305767,0.1394463946732382,0.14414373063482344,0.8810151852667332,0.22886880836449564,7,low
head+noise_phase,24,,328,140,0.34852884461482364,0.4176327511668205,0.05909546930342913,0.055237948428839445,0.06334798472623031,0.9420240769783655,0.10970079277952512,7,mid
