split,context,remaining_mask_ratio,noise_phase,layer,head,query_tile,candidate_tiles,new_maximum_candidates,mean_veto_row_relative_mass_error,mean_veto_row_relative_value_error,compact_mean_relative_output_error,compact_masked_mean_relative_output_error,compact_visible_mean_relative_output_error,compact_minimum_row_cosine,veto_oracle_mean_relative_output_error
calibration,0,0.9,high,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.9999998211860657,0.0
calibration,0,0.9,high,0,7,2,0,0,0.0,0.0,0.0,0.0,0.0,0.9999998807907104,0.0
calibration,0,0.9,high,0,15,2,1,0,0.1390824317932129,0.16071993112564087,0.003932170569896698,0.003678982611745596,0.007729989476501942,0.9999262690544128,0.004880983382463455
calibration,0,0.9,high,0,31,2,0,0,0.0,0.0,0.0,0.0,0.0,0.9999998211860657,0.0
calibration,0,0.9,high,15,0,2,2,0,0.6897004246711731,0.7536722421646118,0.010425319895148277,0.010520897805690765,0.008991662412881851,0.9959343671798706,0.008727950975298882
calibration,0,0.9,high,15,7,2,2,0,0.33734041452407837,0.6807659268379211,0.018363144248723984,0.0185239277780056,0.015951409935951233,0.9961330890655518,0.018816974014043808
calibration,0,0.9,high,15,15,2,11,0,0.40421563386917114,0.5324121117591858,0.02259504608809948,0.022885717451572418,0.018234986811876297,0.9509568810462952,0.019464578479528427
calibration,0,0.9,high,15,31,2,10,0,0.6103733777999878,0.6983804702758789,0.012729328125715256,0.012545660138130188,0.015484357252717018,0.9171302318572998,0.01096819806843996
calibration,0,0.9,high,31,0,2,24,5,0.3261920213699341,0.5232017040252686,0.006593707948923111,0.005011015105992556,0.03033411130309105,0.9931023716926575,0.0048567187041044235
calibration,0,0.9,high,31,7,2,7,0,0.5329149961471558,0.1799098402261734,0.0032494415063410997,0.001831177738495171,0.024523399770259857,0.9994691610336304,0.002384795807301998
calibration,0,0.9,high,31,15,2,2,0,0.38193172216415405,0.18069873750209808,0.004223999101668596,0.0030979362782090902,0.02111494354903698,0.9995056986808777,0.004392835311591625
calibration,0,0.9,high,31,31,2,8,0,0.45197415351867676,0.23639822006225586,0.005950994789600372,0.004135797265917063,0.03317895531654358,0.9974237680435181,0.007016622461378574
calibration,0,0.5,mid,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.9999998807907104,0.0
calibration,0,0.5,mid,0,7,2,0,0,0.0,0.0,0.0,0.0,0.0,0.9999998211860657,0.0
calibration,0,0.5,mid,0,15,2,4,0,0.389033704996109,0.41714608669281006,0.05021528899669647,0.028789198026061058,0.06585054844617844,0.9898594617843628,0.052637189626693726
calibration,0,0.5,mid,0,31,2,0,0,0.0,0.0,0.0,0.0,0.0,0.9999997615814209,0.0
calibration,0,0.5,mid,15,0,2,18,9,0.3614440858364105,0.7888285517692566,0.04786517471075058,0.05332379788160324,0.043881855905056,0.9915654063224792,0.054036371409893036
calibration,0,0.5,mid,15,7,2,11,7,0.3059343993663788,0.8796465992927551,0.11075632274150848,0.11496122181415558,0.10768787562847137,0.39596039056777954,0.1204662024974823
calibration,0,0.5,mid,15,15,2,18,6,0.4731382727622986,0.7444437146186829,0.029050853103399277,0.035637907683849335,0.02424408681690693,0.9821739792823792,0.03103872947394848
calibration,0,0.5,mid,15,31,2,13,8,0.4125105142593384,0.639529287815094,0.022992152720689774,0.017404869198799133,0.027069363743066788,0.9941350221633911,0.020457204431295395
calibration,0,0.5,mid,31,0,2,33,24,0.2178400456905365,0.7991971969604492,0.11145090311765671,0.08677558600902557,0.12945722043514252,0.6732645034790039,0.05181881785392761
calibration,0,0.5,mid,31,7,2,19,6,0.426913857460022,0.4611104130744934,0.051621779799461365,0.04742565378546715,0.05468381568789482,0.9910968542098999,0.06200272962450981
