sequence_length,threshold,skipped_blocks,total_blocks,sparsity_percent,time_ms,dense_time_ms,speedup
16384,0.0,0,78643,0.0,0.687222,0.714068,1.039064523545521
16384,0.001,0,78643,0.0,0.688392,0.714068,1.0372985159618358
16384,0.01,0,78643,0.0,0.688325,0.714068,1.0373994842552574
16384,0.05,0,78643,0.0,0.688518,0.714068,1.0371086885164948
16384,0.1,0,78643,0.0,0.688884,0.714068,1.0365576787964301
16384,0.15,0,78643,0.0,0.687708,0.714068,1.0383302215475174
16384,0.2,0,78643,0.0,0.688807,0.714068,1.0366735529691191
16384,0.25,0,78643,0.0,0.687825,0.714068,1.0381536001163088
16384,0.3,2,78643,0.0,0.687862,0.714068,1.0380977579805253
16384,0.4,198,78643,0.25,0.687158,0.714068,1.0391612991480852
16384,0.5,2149,78643,2.73,0.680597,0.714068,1.0491788826574318
16384,0.6,7622,78643,9.69,0.656306,0.714068,1.0880107754614465
16384,0.7,15700,78643,19.96,0.623608,0.714068,1.1450590755731165
16384,0.8,24781,78643,31.51,0.584905,0.714068,1.2208273138372898
16384,0.9,33313,78643,42.36,0.550297,0.714068,1.2976047479815445
16384,1.0,40821,78643,51.91,0.519007,0.714068,1.3758350080056725
16384,1.2,52136,78643,66.29,0.474497,0.714068,1.5048946568682204
16384,1.5,62374,78643,79.31,0.434697,0.714068,1.6426798436612169
16384,2.0,70312,78643,89.41,0.404293,0.714068,1.7662141070955966
16384,5.0,77095,78643,98.03,0.379313,0.714068,1.8825297313827893
65536,0.0,0,314572,0.0,2.703,2.828993,1.0466122826489088
65536,0.001,0,314572,0.0,2.704071,2.828993,1.046197751464366
65536,0.01,0,314572,0.0,2.701968,2.828993,1.0470120297501673
65536,0.05,0,314572,0.0,2.704108,2.828993,1.046183436460378
65536,0.1,0,314572,0.0,2.700363,2.828993,1.0476343365688243
65536,0.15,0,314572,0.0,2.703645,2.828993,1.0463625956810159
65536,0.2,2,314572,0.0,2.701919,2.828993,1.0470310175841688
65536,0.25,145,314572,0.05,2.701555,2.828993,1.0471720916287102
65536,0.3,1888,314572,0.6,2.694268,2.828993,1.0500043054365786
65536,0.4,24400,314572,7.76,2.600777,2.828993,1.0877491611160819
65536,0.5,73219,314572,23.28,2.399722,2.828993,1.1788836373546603
65536,0.6,126747,314572,40.29,2.176614,2.828993,1.2997219534561482
65536,0.7,172449,314572,54.82,1.989258,2.828993,1.4221347859352584
65536,0.8,207261,314572,65.89,1.849522,2.828993,1.5295806159645573
65536,0.9,232700,314572,73.97,1.748881,2.828993,1.617601769359951
65536,1.0,251301,314572,79.89,1.674591,2.828993,1.6893635520553976
65536,1.2,274939,314572,87.4,1.583535,2.828993,1.7865048767472775
65536,1.5,292850,314572,93.09,1.515561,2.828993,1.8666309043317955
65536,2.0,304726,314572,96.87,1.471732,2.828993,1.9222202140063545
65536,5.0,312979,314572,99.49,1.441705,2.828993,1.9622551076676575
