dimension,value,active_count,tile_count
kv_head,0,0,126277
kv_head,0,1,24045
kv_head,0,2,13881
kv_head,0,3,9812
kv_head,0,4,7925
kv_head,0,5,6685
kv_head,0,6,6003
kv_head,0,7,5267
kv_head,0,8,5049
kv_head,0,9,4441
kv_head,0,10,4272
kv_head,0,11,3975
kv_head,0,12,3650
kv_head,0,13,3412
kv_head,0,14,3084
kv_head,0,15,2885
kv_head,0,16,2615
kv_head,0,17,2554
kv_head,0,18,2373
kv_head,0,19,2241
kv_head,0,20,2179
kv_head,0,21,2152
kv_head,0,22,1988
kv_head,0,23,1858
kv_head,0,24,1781
kv_head,0,25,1726
kv_head,0,26,1681
kv_head,0,27,1675
kv_head,0,28,1495
kv_head,0,29,1476
kv_head,0,30,1489
kv_head,0,31,1351
kv_head,0,32,1320
kv_head,0,33,1314
kv_head,0,34,1265
kv_head,0,35,1322
kv_head,0,36,1196
kv_head,0,37,1157
kv_head,0,38,1240
kv_head,0,39,1185
kv_head,0,40,1140
kv_head,0,41,1100
kv_head,0,42,1118
kv_head,0,43,1122
kv_head,0,44,1051
kv_head,0,45,1011
kv_head,0,46,1073
kv_head,0,47,1017
kv_head,0,48,1068
kv_head,0,49,1023
kv_head,0,50,1000
kv_head,0,51,1018
kv_head,0,52,1010
kv_head,0,53,1014
kv_head,0,54,1024
kv_head,0,55,1004
kv_head,0,56,1003
kv_head,0,57,990
kv_head,0,58,957
kv_head,0,59,1047
kv_head,0,60,1048
kv_head,0,61,1005
kv_head,0,62,959
kv_head,0,63,1159
kv_head,0,64,1456
kv_head,0,65,1449
kv_head,0,66,1344
kv_head,0,67,1019
kv_head,0,68,1007
kv_head,0,69,1041
kv_head,0,70,1023
kv_head,0,71,1014
kv_head,0,72,985
kv_head,0,73,990
kv_head,0,74,881
kv_head,0,75,913
kv_head,0,76,846
kv_head,0,77,906
kv_head,0,78,901
kv_head,0,79,860
kv_head,0,80,915
kv_head,0,81,842
kv_head,0,82,901
kv_head,0,83,850
kv_head,0,84,897
kv_head,0,85,902
kv_head,0,86,895
kv_head,0,87,867
kv_head,0,88,853
kv_head,0,89,913
kv_head,0,90,865
kv_head,0,91,930
kv_head,0,92,894
kv_head,0,93,915
kv_head,0,94,894
kv_head,0,95,985
kv_head,0,96,954
kv_head,0,97,954
kv_head,0,98,996
kv_head,0,99,931
kv_head,0,100,1010
kv_head,0,101,984
kv_head,0,102,1035
kv_head,0,103,1045
kv_head,0,104,1090
kv_head,0,105,1069
kv_head,0,106,1058
kv_head,0,107,1100
kv_head,0,108,1125
kv_head,0,109,1119
kv_head,0,110,1252
kv_head,0,111,1251
kv_head,0,112,1299
kv_head,0,113,1377
kv_head,0,114,1344
kv_head,0,115,1408
kv_head,0,116,1431
kv_head,0,117,1518
kv_head,0,118,1504
kv_head,0,119,1534
kv_head,0,120,1569
kv_head,0,121,1449
kv_head,0,122,1385
kv_head,0,123,1491
kv_head,0,124,1587
kv_head,0,125,1882
kv_head,0,126,2569
kv_head,0,127,4480
kv_head,0,128,21206
kv_head,1,0,104551
kv_head,1,1,23030
kv_head,1,2,13978
kv_head,1,3,10640
kv_head,1,4,8430
kv_head,1,5,7050
kv_head,1,6,6095
kv_head,1,7,5416
kv_head,1,8,5052
kv_head,1,9,4658
kv_head,1,10,4310
kv_head,1,11,4083
kv_head,1,12,3882
kv_head,1,13,3646
kv_head,1,14,3350
kv_head,1,15,3228
kv_head,1,16,3013
kv_head,1,17,2829
kv_head,1,18,2624
kv_head,1,19,2498
kv_head,1,20,2386
kv_head,1,21,2292
kv_head,1,22,2230
kv_head,1,23,2107
kv_head,1,24,1990
kv_head,1,25,2003
kv_head,1,26,1876
kv_head,1,27,1885
kv_head,1,28,1803
kv_head,1,29,1691
kv_head,1,30,1716
kv_head,1,31,1638
kv_head,1,32,1597
kv_head,1,33,1501
kv_head,1,34,1545
kv_head,1,35,1462
kv_head,1,36,1426
kv_head,1,37,1333
kv_head,1,38,1384
kv_head,1,39,1339
kv_head,1,40,1354
kv_head,1,41,1344
kv_head,1,42,1277
kv_head,1,43,1213
kv_head,1,44,1220
kv_head,1,45,1170
kv_head,1,46,1220
kv_head,1,47,1229
kv_head,1,48,1179
kv_head,1,49,1154
kv_head,1,50,1107
kv_head,1,51,1112
kv_head,1,52,1093
kv_head,1,53,1102
kv_head,1,54,1087
kv_head,1,55,1110
kv_head,1,56,1169
kv_head,1,57,1115
kv_head,1,58,1178
kv_head,1,59,1170
kv_head,1,60,1127
kv_head,1,61,1148
kv_head,1,62,1139
kv_head,1,63,1025
kv_head,1,64,1022
kv_head,1,65,1045
kv_head,1,66,993
kv_head,1,67,993
kv_head,1,68,904
kv_head,1,69,957
kv_head,1,70,940
kv_head,1,71,986
kv_head,1,72,970
kv_head,1,73,893
kv_head,1,74,988
kv_head,1,75,956
kv_head,1,76,896
kv_head,1,77,892
kv_head,1,78,954
kv_head,1,79,861
kv_head,1,80,851
kv_head,1,81,892
kv_head,1,82,851
kv_head,1,83,902
kv_head,1,84,872
kv_head,1,85,914
kv_head,1,86,861
kv_head,1,87,891
kv_head,1,88,961
kv_head,1,89,929
kv_head,1,90,862
kv_head,1,91,958
kv_head,1,92,879
kv_head,1,93,940
kv_head,1,94,914
kv_head,1,95,933
kv_head,1,96,890
kv_head,1,97,987
kv_head,1,98,916
kv_head,1,99,979
kv_head,1,100,974
kv_head,1,101,941
kv_head,1,102,985
kv_head,1,103,978
kv_head,1,104,997
kv_head,1,105,1027
kv_head,1,106,1041
kv_head,1,107,1032
kv_head,1,108,1078
kv_head,1,109,1166
kv_head,1,110,1068
kv_head,1,111,1222
kv_head,1,112,1253
kv_head,1,113,1190
kv_head,1,114,1288
kv_head,1,115,1328
kv_head,1,116,1287
kv_head,1,117,1385
kv_head,1,118,1469
kv_head,1,119,1529
kv_head,1,120,1568
kv_head,1,121,1643
kv_head,1,122,1814
kv_head,1,123,2039
kv_head,1,124,2311
kv_head,1,125,2777
kv_head,1,126,3452
kv_head,1,127,5256
kv_head,1,128,30077
kv_head,10,0,116851
kv_head,10,1,22839
kv_head,10,2,13969
kv_head,10,3,10211
kv_head,10,4,8060
kv_head,10,5,6538
kv_head,10,6,5754
kv_head,10,7,5036
kv_head,10,8,4663
kv_head,10,9,4129
kv_head,10,10,3852
kv_head,10,11,3577
kv_head,10,12,3157
kv_head,10,13,2976
kv_head,10,14,2795
kv_head,10,15,2641
kv_head,10,16,2473
kv_head,10,17,2325
kv_head,10,18,2234
kv_head,10,19,2172
kv_head,10,20,2001
kv_head,10,21,1969
kv_head,10,22,1848
kv_head,10,23,1847
kv_head,10,24,1809
kv_head,10,25,1659
kv_head,10,26,1695
kv_head,10,27,1585
kv_head,10,28,1559
kv_head,10,29,1495
kv_head,10,30,1468
kv_head,10,31,1474
kv_head,10,32,1440
kv_head,10,33,1375
kv_head,10,34,1359
kv_head,10,35,1271
kv_head,10,36,1304
kv_head,10,37,1258
kv_head,10,38,1244
kv_head,10,39,1195
kv_head,10,40,1233
kv_head,10,41,1208
kv_head,10,42,1193
kv_head,10,43,1171
kv_head,10,44,1112
kv_head,10,45,1176
kv_head,10,46,1122
kv_head,10,47,1093
kv_head,10,48,1108
kv_head,10,49,1081
kv_head,10,50,1059
kv_head,10,51,1055
kv_head,10,52,1054
kv_head,10,53,1048
kv_head,10,54,1004
kv_head,10,55,1091
kv_head,10,56,1115
kv_head,10,57,1049
kv_head,10,58,1089
kv_head,10,59,967
kv_head,10,60,1007
kv_head,10,61,1038
