tau,pack_m,grouping,invocations,candidate_tiles,retained_tiles,all_tiles,exception_rows,grouping_keys,complete_packs,partial_packs,total_packs,full_pack_rows,partial_pack_rows,padded_rows,original_v_loads,packed_v_loads,v_bytes_before,v_bytes_after,extra_qk_flops,baseline_qk_flops,candidate_main_pv_flops,packed_pv_flops,pv_flops_avoided,q_read_bytes,tile_record_bytes,expanded_descriptor_bytes,count_offset_bytes,pack_descriptor_bytes,total_metadata_bytes,zero_tile_fraction,candidate_fraction_of_retained,weighted_utilization,complete_only_utilization,complete_pack_row_fraction,partial_pack_row_fraction,v_load_reduction,v_load_factor,average_rows_per_original_v_load,average_rows_per_packed_v_load,extra_qk_fraction_of_baseline,extra_qk_fraction_of_pv_avoided,mean_metadata_bytes_per_invocation,max_metadata_bytes_per_invocation,baseline_candidate_rows_processed,baseline_nonvoter_rows_processed,voter_fraction_of_baseline_candidate_rows,semantics_preserving_deferred_rows,semantics_preserving_total_packs,semantics_preserving_v_load_factor,semantics_preserving_pv_flops_avoided,semantics_preserving_extra_qk_flops,semantics_preserving_extra_qk_fraction_of_baseline,phase_a_numeric_pass,same_approximation_semantics,hardware_phase_authorized,gate_utilization_ge_70pct,gate_candidate_work_ge_15pct,gate_v_load_reduction_ge_2x,gate_extra_qk_le_20pct,gate_metadata_manageable
32,64,kv-head,192,4344668,9035733,12582912,41898967,333610,498855,329354,828209,31926720,9972247,11106409,4344668,828209,71183040512,13569376256,686472675328,26388279066624,9111429185536,868440080384,8242989105152,10726135552,173786720,1340766944,2668880,26502688,1543725232,0.2819044589996338,0.4808318262613559,0.7904663670341665,1.0,0.761993010472072,0.23800698952792798,0.8093734665111351,5.245859438861447,9.643767256784638,50.589847490186656,0.026014302546779316,0.08327958057095376,8040235.583333333,14214648,556117504,514218537,0.07534193169362999,556117504,8689336,0.5,0,9111429185536,0.34528319040934247,True,False,False,True,True,True,True,True
32,64,q-head,192,4344668,9035733,12582912,41898967,333610,498855,329354,828209,31926720,9972247,11106409,4344668,828209,71183040512,13569376256,686472675328,26388279066624,9111429185536,868440080384,8242989105152,10726135552,173786720,1340766944,2668880,26502688,1543725232,0.2819044589996338,0.4808318262613559,0.7904663670341665,1.0,0.761993010472072,0.23800698952792798,0.8093734665111351,5.245859438861447,9.643767256784638,50.589847490186656,0.026014302546779316,0.08327958057095376,8040235.583333333,14214648,556117504,514218537,0.07534193169362999,556117504,8689336,0.5,0,9111429185536,0.34528319040934247,True,False,False,True,True,True,True,True
32,128,kv-head,192,4344668,9035733,12582912,41898967,333610,181962,331908,513870,23291136,18607831,23876393,4344668,513870,71183040512,8419246080,686472675328,26388279066624,9111429185536,1077663498240,8033765687296,10726135552,173786720,1340766944,2668880,16443840,1533666384,0.2819044589996338,0.4808318262613559,0.6370009529404324,1.0,0.5558880723718082,0.4441119276281919,0.8817239890366767,8.454799852102672,9.643767256784638,81.53612197637534,0.026014302546779316,0.08544843128964252,7987845.75,14118296,556117504,514218537,0.07534193169362999,556117504,4344668,1.0,0,9111429185536,0.34528319040934247,False,False,False,False,True,True,True,True
32,128,q-head,192,4344668,9035733,12582912,41898967,333610,181962,331908,513870,23291136,18607831,23876393,4344668,513870,71183040512,8419246080,686472675328,26388279066624,9111429185536,1077663498240,8033765687296,10726135552,173786720,1340766944,2668880,16443840,1533666384,0.2819044589996338,0.4808318262613559,0.6370009529404324,1.0,0.5558880723718082,0.4441119276281919,0.8817239890366767,8.454799852102672,9.643767256784638,81.53612197637534,0.026014302546779316,0.08544843128964252,7987845.75,14118296,556117504,514218537,0.07534193169362999,556117504,4344668,1.0,0,9111429185536,0.34528319040934247,False,False,False,False,True,True,True,True
16,64,kv-head,192,3374839,9035733,12582912,18875272,316894,156377,313636,470013,10008128,8867144,11205560,3374839,470013,55293362176,7700692992,309252456448,26388279066624,7077550358528,492844351488,6584706007040,4832069632,134993560,604008704,2535152,15040416,756577832,0.2819044589996338,0.37349919480799176,0.6274850376478949,1.0,0.5302243061715879,0.4697756938284121,0.8607302452057712,7.18030990632174,5.5929399891372595,40.15904240946527,0.011719311277071634,0.04696526407061523,3940509.5416666665,7134288,431979392,413104120,0.04369484366513484,431979392,6749678,0.5,0,7077550358528,0.268208106358846,False,False,False,False,True,True,True,True
16,64,q-head,192,3374839,9035733,12582912,18875272,316894,156377,313636,470013,10008128,8867144,11205560,3374839,470013,55293362176,7700692992,309252456448,26388279066624,7077550358528,492844351488,6584706007040,4832069632,134993560,604008704,2535152,15040416,756577832,0.2819044589996338,0.37349919480799176,0.6274850376478949,1.0,0.5302243061715879,0.4697756938284121,0.8607302452057712,7.18030990632174,5.5929399891372595,40.15904240946527,0.011719311277071634,0.04696526407061523,3940509.5416666665,7134288,431979392,413104120,0.04369484366513484,431979392,6749678,0.5,0,7077550358528,0.268208106358846,False,False,False,False,True,True,True,True
16,128,kv-head,192,3374839,9035733,12582912,18875272,316894,30988,316136,347124,3966464,14908808,25556600,3374839,347124,55293362176,5687279616,309252456448,26388279066624,7077550358528,727971790848,6349578567680,4832069632,134993560,604008704,2535152,11107968,752645384,0.2819044589996338,0.37349919480799176,0.4248137913252901,1.0,0.21014075982587166,0.7898592401741283,0.8971435378102481,9.722286560422212,5.5929399891372595,54.376165289637136,0.011719311277071634,0.04870440662347678,3920028.0416666665,7090032,431979392,413104120,0.04369484366513484,431979392,3374839,1.0,0,7077550358528,0.268208106358846,False,False,False,False,True,True,True,True
16,128,q-head,192,3374839,9035733,12582912,18875272,316894,30988,316136,347124,3966464,14908808,25556600,3374839,347124,55293362176,5687279616,309252456448,26388279066624,7077550358528,727971790848,6349578567680,4832069632,134993560,604008704,2535152,11107968,752645384,0.2819044589996338,0.37349919480799176,0.4248137913252901,1.0,0.21014075982587166,0.7898592401741283,0.8971435378102481,9.722286560422212,5.5929399891372595,54.376165289637136,0.011719311277071634,0.04870440662347678,3920028.0416666665,7090032,431979392,413104120,0.04369484366513484,431979392,3374839,1.0,0,7077550358528,0.268208106358846,False,False,False,False,True,True,True,True
8,64,kv-head,192,2509099,9035733,12582912,8376320,299524,21967,298285,320252,1405888,6970432,12119808,2509099,320252,41109078016,5247008768,137237626880,26388279066624,5261961986048,335808561152,4926153424896,2144337920,100363960,268042240,2396192,10248064,381050456,0.2819044589996338,0.27768627072092544,0.4086781659443188,1.0,0.16784077017114915,0.8321592298288508,0.8723637449140109,7.834764497957858,3.3383776407387673,26.155402620436405,0.005200703938802083,0.027858983479163022,1984637.7916666667,3482384,321164672,312788352,0.02608107531827162,321164672,5018198,0.5,0,5261961986048,0.19940527280171713,False,False,False,False,True,True,True,True
8,64,q-head,192,2509099,9035733,12582912,8376320,299524,21967,298285,320252,1405888,6970432,12119808,2509099,320252,41109078016,5247008768,137237626880,26388279066624,5261961986048,335808561152,4926153424896,2144337920,100363960,268042240,2396192,10248064,381050456,0.2819044589996338,0.27768627072092544,0.4086781659443188,1.0,0.16784077017114915,0.8321592298288508,0.8723637449140109,7.834764497957858,3.3383776407387673,26.155402620436405,0.005200703938802083,0.027858983479163022,1984637.7916666667,3482384,321164672,312788352,0.02608107531827162,321164672,5018198,0.5,0,5261961986048,0.19940527280171713,False,False,False,False,True,True,True,True
