tau,pack_m,grouping,leftover_rows,grouping_keys
1,64,kv-head,1,60980
1,64,kv-head,2,50344
1,64,kv-head,3,38728
1,64,kv-head,4,28104
1,64,kv-head,5,19732
1,64,kv-head,6,13017
1,64,kv-head,7,8230
1,64,kv-head,8,5037
1,64,kv-head,9,2832
1,64,kv-head,10,1540
1,64,kv-head,11,687
1,64,kv-head,12,380
1,64,kv-head,13,165
1,64,kv-head,14,73
1,64,kv-head,15,35
1,64,kv-head,16,10
1,64,kv-head,17,6
1,64,kv-head,18,5
1,64,kv-head,20,1
1,64,q-head,1,60980
1,64,q-head,2,50344
1,64,q-head,3,38728
1,64,q-head,4,28104
1,64,q-head,5,19732
1,64,q-head,6,13017
1,64,q-head,7,8230
1,64,q-head,8,5037
1,64,q-head,9,2832
1,64,q-head,10,1540
1,64,q-head,11,687
1,64,q-head,12,380
1,64,q-head,13,165
1,64,q-head,14,73
1,64,q-head,15,35
1,64,q-head,16,10
1,64,q-head,17,6
1,64,q-head,18,5
1,64,q-head,20,1
1,128,kv-head,1,60980
1,128,kv-head,2,50344
1,128,kv-head,3,38728
1,128,kv-head,4,28104
1,128,kv-head,5,19732
1,128,kv-head,6,13017
1,128,kv-head,7,8230
1,128,kv-head,8,5037
1,128,kv-head,9,2832
1,128,kv-head,10,1540
1,128,kv-head,11,687
1,128,kv-head,12,380
1,128,kv-head,13,165
1,128,kv-head,14,73
1,128,kv-head,15,35
1,128,kv-head,16,10
1,128,kv-head,17,6
1,128,kv-head,18,5
1,128,kv-head,20,1
1,128,q-head,1,60980
1,128,q-head,2,50344
1,128,q-head,3,38728
1,128,q-head,4,28104
1,128,q-head,5,19732
1,128,q-head,6,13017
1,128,q-head,7,8230
1,128,q-head,8,5037
1,128,q-head,9,2832
1,128,q-head,10,1540
1,128,q-head,11,687
1,128,q-head,12,380
1,128,q-head,13,165
1,128,q-head,14,73
1,128,q-head,15,35
1,128,q-head,16,10
1,128,q-head,17,6
1,128,q-head,18,5
1,128,q-head,20,1
2,64,kv-head,1,25795
2,64,kv-head,2,34080
2,64,kv-head,3,27041
2,64,kv-head,4,26375
2,64,kv-head,5,22960
2,64,kv-head,6,20797
2,64,kv-head,7,18030
2,64,kv-head,8,15834
2,64,kv-head,9,13266
2,64,kv-head,10,11153
2,64,kv-head,11,9202
2,64,kv-head,12,7704
2,64,kv-head,13,6300
2,64,kv-head,14,4931
2,64,kv-head,15,3918
2,64,kv-head,16,3118
2,64,kv-head,17,2405
2,64,kv-head,18,1815
2,64,kv-head,19,1291
2,64,kv-head,20,971
2,64,kv-head,21,673
2,64,kv-head,22,452
2,64,kv-head,23,319
2,64,kv-head,24,195
2,64,kv-head,25,115
2,64,kv-head,26,87
2,64,kv-head,27,57
2,64,kv-head,28,32
2,64,kv-head,29,17
2,64,kv-head,30,17
2,64,kv-head,31,4
2,64,kv-head,32,6
2,64,kv-head,33,1
2,64,kv-head,34,1
2,64,kv-head,35,1
2,64,q-head,1,25795
2,64,q-head,2,34080
2,64,q-head,3,27041
2,64,q-head,4,26375
2,64,q-head,5,22960
2,64,q-head,6,20797
2,64,q-head,7,18030
2,64,q-head,8,15834
2,64,q-head,9,13266
2,64,q-head,10,11153
2,64,q-head,11,9202
2,64,q-head,12,7704
2,64,q-head,13,6300
