request_id,layer,step,remaining_mask_ratio,tau,pack_m,grouping,candidate_tiles,retained_tiles,all_tiles,exception_rows,grouping_keys,complete_packs,partial_packs,total_packs,full_pack_rows,partial_pack_rows,padded_rows,weighted_utilization,complete_pack_row_fraction,partial_pack_row_fraction,original_v_loads,packed_v_loads,v_load_reduction,v_load_factor,v_bytes_before,v_bytes_after,average_rows_per_original_v_load,average_rows_per_packed_v_load,extra_qk_flops,baseline_qk_flops,candidate_main_pv_flops,packed_pv_flops,pv_flops_avoided,extra_qk_fraction_of_baseline,extra_qk_fraction_of_pv_avoided,q_read_bytes,tile_record_bytes,expanded_descriptor_bytes,count_offset_bytes,pack_descriptor_bytes,total_metadata_bytes,zero_tile_fraction,candidate_fraction_of_retained
context-0-regime-0,0,0,0.9,1,64,q-head,243,64999,65536,243,92,0,92,92,0,243,5645,0.04127038043478261,0.0,1.0,243,92,0.6213991769547325,2.641304347826087,3981312,1507328,1.0,2.641304347826087,3981312,137438953472,509607936,96468992,413138944,2.8967857360839844e-05,0.009636738578680203,62208,9720,7776,736,2944,21176,0.0081939697265625,0.0037385190541392947
context-0-regime-0,0,0,0.9,1,128,q-head,243,64999,65536,243,92,0,92,92,0,243,11533,0.020635190217391304,0.0,1.0,243,92,0.6213991769547325,2.641304347826087,3981312,1507328,1.0,2.641304347826087,3981312,137438953472,509607936,192937984,316669952,2.8967857360839844e-05,0.012572433774834437,62208,9720,7776,736,2944,21176,0.0081939697265625,0.0037385190541392947
context-0-regime-0,0,0,0.9,1,64,kv-head,243,64999,65536,243,92,0,92,92,0,243,5645,0.04127038043478261,0.0,1.0,243,92,0.6213991769547325,2.641304347826087,3981312,1507328,1.0,2.641304347826087,3981312,137438953472,509607936,96468992,413138944,2.8967857360839844e-05,0.009636738578680203,62208,9720,7776,736,2944,21176,0.0081939697265625,0.0037385190541392947
context-0-regime-0,0,0,0.9,1,128,kv-head,243,64999,65536,243,92,0,92,92,0,243,11533,0.020635190217391304,0.0,1.0,243,92,0.6213991769547325,2.641304347826087,3981312,1507328,1.0,2.641304347826087,3981312,137438953472,509607936,192937984,316669952,2.8967857360839844e-05,0.012572433774834437,62208,9720,7776,736,2944,21176,0.0081939697265625,0.0037385190541392947
context-0-regime-0,0,0,0.9,2,64,q-head,456,64999,65536,669,138,0,138,138,0,669,8163,0.07574728260869565,0.0,1.0,456,138,0.6973684210526316,3.3043478260869565,7471104,2260992,1.4671052631578947,4.8478260869565215,10960896,137438953472,956301312,144703488,811597824,7.975101470947266e-05,0.01350532945736434,171264,18240,21408,1104,4416,45168,0.0081939697265625,0.0070154925460391695
context-0-regime-0,0,0,0.9,2,128,q-head,456,64999,65536,669,138,0,138,138,0,669,16995,0.037873641304347824,0.0,1.0,456,138,0.6973684210526316,3.3043478260869565,7471104,2260992,1.4671052631578947,4.8478260869565215,10960896,137438953472,956301312,289406976,666894336,7.975101470947266e-05,0.01643573113207547,171264,18240,21408,1104,4416,45168,0.0081939697265625,0.0070154925460391695
context-0-regime-0,0,0,0.9,2,64,kv-head,456,64999,65536,669,138,0,138,138,0,669,8163,0.07574728260869565,0.0,1.0,456,138,0.6973684210526316,3.3043478260869565,7471104,2260992,1.4671052631578947,4.8478260869565215,10960896,137438953472,956301312,144703488,811597824,7.975101470947266e-05,0.01350532945736434,171264,18240,21408,1104,4416,45168,0.0081939697265625,0.0070154925460391695
context-0-regime-0,0,0,0.9,2,128,kv-head,456,64999,65536,669,138,0,138,138,0,669,16995,0.037873641304347824,0.0,1.0,456,138,0.6973684210526316,3.3043478260869565,7471104,2260992,1.4671052631578947,4.8478260869565215,10960896,137438953472,956301312,289406976,666894336,7.975101470947266e-05,0.01643573113207547,171264,18240,21408,1104,4416,45168,0.0081939697265625,0.0070154925460391695
context-0-regime-0,0,0,0.9,4,64,q-head,829,64999,65536,1979,181,0,181,181,0,1979,9605,0.17083908839779005,0.0,1.0,829,181,0.781664656212304,4.580110497237569,13582336,2965504,2.3872135102533174,10.933701657458563,32423936,137438953472,1738539008,189792256,1548746752,0.0002359151840209961,0.020935595802301962,506624,33160,63328,1448,5792,103728,0.0081939697265625,0.012754042369882614
context-0-regime-0,0,0,0.9,4,128,q-head,829,64999,65536,1979,181,0,181,181,0,1979,21189,0.08541954419889503,0.0,1.0,829,181,0.781664656212304,4.580110497237569,13582336,2965504,2.3872135102533174,10.933701657458563,32423936,137438953472,1738539008,379584512,1358954496,0.0002359151840209961,0.023859471450617283,506624,33160,63328,1448,5792,103728,0.0081939697265625,0.012754042369882614
