tau,layer,step,remaining_mask_ratio,exception_kv_tiles_per_row,row_count
1,0,0,0.15,0,127648
1,0,0,0.15,1,2990
1,0,0,0.15,2,346
1,0,0,0.15,3,60
1,0,0,0.15,4,19
1,0,0,0.15,5,7
1,0,0,0.15,7,1
1,0,0,0.15,12,1
1,0,0,0.5,0,130839
1,0,0,0.5,1,153
1,0,0,0.5,2,29
1,0,0,0.5,3,13
1,0,0,0.5,4,9
1,0,0,0.5,5,4
1,0,0,0.5,6,5
1,0,0,0.5,7,1
1,0,0,0.5,8,3
1,0,0,0.5,9,2
1,0,0,0.5,10,5
1,0,0,0.5,11,1
1,0,0,0.5,13,2
1,0,0,0.5,16,1
1,0,0,0.5,17,1
1,0,0,0.5,20,1
1,0,0,0.5,22,1
1,0,0,0.5,24,1
1,0,0,0.5,31,1
1,0,0,0.9,0,130884
1,0,0,0.9,1,156
1,0,0,0.9,2,24
1,0,0,0.9,3,1
1,0,0,0.9,4,3
1,0,0,0.9,5,2
1,0,0,0.9,6,1
1,0,0,0.9,8,1
1,0,1,0.14,0,127633
1,0,1,0.14,1,3008
1,0,1,0.14,2,340
1,0,1,0.14,3,62
1,0,1,0.14,4,20
1,0,1,0.14,5,6
1,0,1,0.14,6,1
1,0,1,0.14,7,1
1,0,1,0.14,11,1
1,0,1,0.49,0,130849
1,0,1,0.49,1,140
1,0,1,0.49,2,31
1,0,1,0.49,3,14
1,0,1,0.49,4,8
1,0,1,0.49,5,5
1,0,1,0.49,6,6
1,0,1,0.49,7,1
1,0,1,0.49,8,4
1,0,1,0.49,9,1
1,0,1,0.49,10,3
1,0,1,0.49,11,2
1,0,1,0.49,13,1
1,0,1,0.49,14,1
1,0,1,0.49,16,1
1,0,1,0.49,17,1
1,0,1,0.49,20,1
1,0,1,0.49,23,1
1,0,1,0.49,24,1
1,0,1,0.49,31,1
1,0,1,0.89,0,130885
1,0,1,0.89,1,155
1,0,1,0.89,2,25
1,0,1,0.89,3,4
1,0,1,0.89,4,2
1,0,1,0.89,8,1
1,1,0,0.15,0,127278
1,1,0,0.15,1,3417
1,1,0,0.15,2,316
1,1,0,0.15,3,41
1,1,0,0.15,4,13
1,1,0,0.15,5,1
1,1,0,0.15,6,1
1,1,0,0.15,7,2
1,1,0,0.15,8,1
1,1,0,0.15,9,2
1,1,0,0.5,0,130586
1,1,0,0.5,1,335
1,1,0,0.5,2,66
1,1,0,0.5,3,27
1,1,0,0.5,4,17
1,1,0,0.5,5,11
1,1,0,0.5,6,7
1,1,0,0.5,7,3
1,1,0,0.5,8,2
1,1,0,0.5,10,4
1,1,0,0.5,12,2
1,1,0,0.5,13,1
1,1,0,0.5,14,1
1,1,0,0.5,15,3
1,1,0,0.5,16,1
1,1,0,0.5,17,2
1,1,0,0.5,24,1
1,1,0,0.5,31,2
1,1,0,0.5,41,1
1,1,0,0.9,0,131001
1,1,0,0.9,1,57
1,1,0,0.9,2,8
1,1,0,0.9,3,1
1,1,0,0.9,5,1
1,1,0,0.9,8,1
1,1,0,0.9,9,1
1,1,0,0.9,10,1
1,1,0,0.9,12,1
1,1,1,0.14,0,127293
1,1,1,0.14,1,3398
1,1,1,0.14,2,313
1,1,1,0.14,3,46
1,1,1,0.14,4,14
1,1,1,0.14,5,3
1,1,1,0.14,7,2
1,1,1,0.14,9,3
1,1,1,0.49,0,130588
1,1,1,0.49,1,340
1,1,1,0.49,2,62
1,1,1,0.49,3,28
1,1,1,0.49,4,12
1,1,1,0.49,5,10
1,1,1,0.49,6,10
1,1,1,0.49,7,4
1,1,1,0.49,8,1
1,1,1,0.49,9,1
1,1,1,0.49,10,3
1,1,1,0.49,13,2
1,1,1,0.49,14,2
1,1,1,0.49,15,2
1,1,1,0.49,16,2
1,1,1,0.49,19,1
1,1,1,0.49,24,1
1,1,1,0.49,31,1
1,1,1,0.49,33,1
1,1,1,0.49,39,1
1,1,1,0.89,0,131002
1,1,1,0.89,1,56
1,1,1,0.89,2,7
1,1,1,0.89,3,1
1,1,1,0.89,4,1
1,1,1,0.89,5,1
1,1,1,0.89,7,1
1,1,1,0.89,8,1
1,1,1,0.89,11,1
1,1,1,0.89,13,1
1,2,0,0.15,0,125672
1,2,0,0.15,1,4864
1,2,0,0.15,2,463
1,2,0,0.15,3,62
1,2,0,0.15,4,10
1,2,0,0.15,5,1
1,2,0,0.5,0,130762
1,2,0,0.5,1,235
1,2,0,0.5,2,40
1,2,0,0.5,3,13
1,2,0,0.5,4,10
1,2,0,0.5,5,6
1,2,0,0.5,6,1
1,2,0,0.5,8,1
1,2,0,0.5,9,2
1,2,0,0.5,11,1
1,2,0,0.5,13,1
1,2,0,0.9,0,131000
1,2,0,0.9,1,59
1,2,0,0.9,2,3
1,2,0,0.9,3,3
1,2,0,0.9,4,1
1,2,0,0.9,5,2
1,2,0,0.9,6,1
1,2,0,0.9,9,1
1,2,0,0.9,14,1
1,2,0,0.9,21,1
1,2,1,0.14,0,125678
1,2,1,0.14,1,4876
1,2,1,0.14,2,448
1,2,1,0.14,3,59
1,2,1,0.14,4,9
1,2,1,0.14,5,2
1,2,1,0.49,0,130745
1,2,1,0.49,1,249
1,2,1,0.49,2,41
1,2,1,0.49,3,13
1,2,1,0.49,4,11
1,2,1,0.49,5,6
1,2,1,0.49,6,2
1,2,1,0.49,8,2
1,2,1,0.49,9,1
1,2,1,0.49,11,1
1,2,1,0.49,13,1
1,2,1,0.89,0,131004
1,2,1,0.89,1,51
1,2,1,0.89,2,6
1,2,1,0.89,3,2
1,2,1,0.89,4,3
1,2,1,0.89,5,2
1,2,1,0.89,6,1
1,2,1,0.89,8,1
1,2,1,0.89,15,1
1,2,1,0.89,21,1
1,3,0,0.15,0,127706
1,3,0,0.15,1,3051
1,3,0,0.15,2,265
1,3,0,0.15,3,38
1,3,0,0.15,4,7
1,3,0,0.15,5,5
1,3,0,0.5,0,130246
1,3,0,0.5,1,621
1,3,0,0.5,2,113
1,3,0,0.5,3,44
1,3,0,0.5,4,17
1,3,0,0.5,5,9
1,3,0,0.5,6,3
1,3,0,0.5,7,3
1,3,0,0.5,8,5
1,3,0,0.5,9,3
1,3,0,0.5,10,2
1,3,0,0.5,11,1
1,3,0,0.5,14,2
1,3,0,0.5,15,2
1,3,0,0.5,16,1
1,3,0,0.9,0,130847
1,3,0,0.9,1,145
1,3,0,0.9,2,47
1,3,0,0.9,3,9
1,3,0,0.9,4,10
1,3,0,0.9,5,4
1,3,0,0.9,6,3
1,3,0,0.9,7,3
1,3,0,0.9,10,1
1,3,0,0.9,11,1
1,3,0,0.9,14,1
1,3,0,0.9,24,1
1,3,1,0.14,0,127723
1,3,1,0.14,1,3028
1,3,1,0.14,2,271
1,3,1,0.14,3,37
1,3,1,0.14,4,9
1,3,1,0.14,5,3
1,3,1,0.14,6,1
1,3,1,0.49,0,130250
1,3,1,0.49,1,610
1,3,1,0.49,2,118
1,3,1,0.49,3,44
1,3,1,0.49,4,17
1,3,1,0.49,5,8
1,3,1,0.49,6,10
1,3,1,0.49,7,1
1,3,1,0.49,8,2
1,3,1,0.49,9,2
1,3,1,0.49,10,3
1,3,1,0.49,11,2
1,3,1,0.49,12,1
1,3,1,0.49,13,3
1,3,1,0.49,14,1
1,3,1,0.89,0,130845
1,3,1,0.89,1,146
1,3,1,0.89,2,45
1,3,1,0.89,3,13
1,3,1,0.89,4,10
1,3,1,0.89,5,5
1,3,1,0.89,6,1
1,3,1,0.89,7,2
1,3,1,0.89,8,2
1,3,1,0.89,9,1
1,3,1,0.89,14,1
1,3,1,0.89,21,1
1,4,0,0.15,0,127565
1,4,0,0.15,1,3197
1,4,0,0.15,2,240
1,4,0,0.15,3,53
1,4,0,0.15,4,15
1,4,0,0.15,5,1
1,4,0,0.15,6,1
1,4,0,0.5,0,129583
1,4,0,0.5,1,1172
1,4,0,0.5,2,201
1,4,0,0.5,3,52
1,4,0,0.5,4,31
1,4,0,0.5,5,16
1,4,0,0.5,6,3
1,4,0,0.5,7,2
1,4,0,0.5,8,4
1,4,0,0.5,9,1
1,4,0,0.5,10,3
1,4,0,0.5,11,2
1,4,0,0.5,14,1
1,4,0,0.5,22,1
1,4,0,0.9,0,130649
1,4,0,0.9,1,293
1,4,0,0.9,2,56
1,4,0,0.9,3,38
1,4,0,0.9,4,17
1,4,0,0.9,5,6
1,4,0,0.9,6,3
1,4,0,0.9,7,2
1,4,0,0.9,9,1
1,4,0,0.9,10,4
1,4,0,0.9,12,1
1,4,0,0.9,13,1
1,4,0,0.9,15,1
1,4,1,0.14,0,127560
1,4,1,0.14,1,3175
1,4,1,0.14,2,280
1,4,1,0.14,3,42
1,4,1,0.14,4,12
1,4,1,0.14,5,2
1,4,1,0.14,7,1
1,4,1,0.49,0,129574
1,4,1,0.49,1,1172
1,4,1,0.49,2,193
1,4,1,0.49,3,78
1,4,1,0.49,4,23
1,4,1,0.49,5,12
1,4,1,0.49,6,7
1,4,1,0.49,7,4
1,4,1,0.49,8,2
1,4,1,0.49,11,4
1,4,1,0.49,12,1
1,4,1,0.49,14,1
1,4,1,0.49,21,1
1,4,1,0.89,0,130652
1,4,1,0.89,1,292
1,4,1,0.89,2,59
1,4,1,0.89,3,38
1,4,1,0.89,4,15
1,4,1,0.89,5,5
1,4,1,0.89,6,3
1,4,1,0.89,7,2
1,4,1,0.89,9,2
1,4,1,0.89,11,1
1,4,1,0.89,13,1
1,4,1,0.89,15,1
1,4,1,0.89,16,1
1,5,0,0.15,0,126653
1,5,0,0.15,1,3995
1,5,0,0.15,2,350
1,5,0,0.15,3,53
1,5,0,0.15,4,13
1,5,0,0.15,5,6
1,5,0,0.15,6,1
1,5,0,0.15,7,1
1,5,0,0.5,0,128296
1,5,0,0.5,1,2268
1,5,0,0.5,2,342
1,5,0,0.5,3,84
1,5,0,0.5,4,41
1,5,0,0.5,5,18
1,5,0,0.5,6,11
1,5,0,0.5,7,5
1,5,0,0.5,8,3
1,5,0,0.5,9,2
1,5,0,0.5,11,1
1,5,0,0.5,14,1
1,5,0,0.9,0,130951
1,5,0,0.9,1,110
1,5,0,0.9,2,6
1,5,0,0.9,3,5
1,5,1,0.14,0,126632
1,5,1,0.14,1,4034
1,5,1,0.14,2,330
1,5,1,0.14,3,59
1,5,1,0.14,4,12
1,5,1,0.14,5,2
1,5,1,0.14,6,2
1,5,1,0.14,7,1
1,5,1,0.49,0,128319
1,5,1,0.49,1,2275
1,5,1,0.49,2,318
1,5,1,0.49,3,78
1,5,1,0.49,4,39
1,5,1,0.49,5,20
1,5,1,0.49,6,7
1,5,1,0.49,7,8
1,5,1,0.49,8,4
1,5,1,0.49,9,1
1,5,1,0.49,10,1
1,5,1,0.49,11,1
1,5,1,0.49,14,1
1,5,1,0.89,0,130944
1,5,1,0.89,1,114
1,5,1,0.89,2,10
1,5,1,0.89,3,3
1,5,1,0.89,4,1
1,6,0,0.15,0,127320
1,6,0,0.15,1,3445
1,6,0,0.15,2,255
1,6,0,0.15,3,42
1,6,0,0.15,4,6
1,6,0,0.15,5,1
1,6,0,0.15,6,1
1,6,0,0.15,7,2
1,6,0,0.5,0,128718
1,6,0,0.5,1,1953
1,6,0,0.5,2,276
1,6,0,0.5,3,66
1,6,0,0.5,4,28
1,6,0,0.5,5,12
1,6,0,0.5,6,5
1,6,0,0.5,7,3
1,6,0,0.5,8,1
1,6,0,0.5,9,5
1,6,0,0.5,10,1
1,6,0,0.5,11,2
1,6,0,0.5,13,1
1,6,0,0.5,16,1
1,6,0,0.9,0,130276
1,6,0,0.9,1,644
1,6,0,0.9,2,110
1,6,0,0.9,3,28
1,6,0,0.9,4,10
1,6,0,0.9,5,2
1,6,0,0.9,6,1
1,6,0,0.9,9,1
1,6,1,0.14,0,127333
1,6,1,0.14,1,3420
1,6,1,0.14,2,264
1,6,1,0.14,3,44
1,6,1,0.14,4,7
1,6,1,0.14,5,2
1,6,1,0.14,6,1
1,6,1,0.14,7,1
1,6,1,0.49,0,128748
1,6,1,0.49,1,1928
1,6,1,0.49,2,280
1,6,1,0.49,3,60
1,6,1,0.49,4,28
1,6,1,0.49,5,8
1,6,1,0.49,6,6
1,6,1,0.49,7,5
1,6,1,0.49,8,2
1,6,1,0.49,9,3
1,6,1,0.49,10,1
1,6,1,0.49,11,2
1,6,1,0.49,15,1
1,6,1,0.89,0,130338
1,6,1,0.89,1,603
1,6,1,0.89,2,88
1,6,1,0.89,3,26
1,6,1,0.89,4,10
1,6,1,0.89,5,2
1,6,1,0.89,6,2
1,6,1,0.89,8,1
1,6,1,0.89,9,1
1,6,1,0.89,11,1
1,7,0,0.15,0,126145
1,7,0,0.15,1,4361
1,7,0,0.15,2,456
1,7,0,0.15,3,77
1,7,0,0.15,4,21
1,7,0,0.15,5,9
1,7,0,0.15,6,2
1,7,0,0.15,8,1
1,7,0,0.5,0,127808
1,7,0,0.5,1,2761
1,7,0,0.5,2,356
1,7,0,0.5,3,79
1,7,0,0.5,4,34
1,7,0,0.5,5,11
1,7,0,0.5,6,12
1,7,0,0.5,7,6
1,7,0,0.5,8,1
1,7,0,0.5,10,1
1,7,0,0.5,11,1
1,7,0,0.5,13,1
1,7,0,0.5,15,1
1,7,0,0.9,0,130460
1,7,0,0.9,1,542
1,7,0,0.9,2,47
1,7,0,0.9,3,11
1,7,0,0.9,4,6
1,7,0,0.9,5,3
