tau,pack_m,grouping,invocations,candidate_tiles,retained_tiles,all_tiles,exception_rows,grouping_keys,complete_packs,partial_packs,total_packs,full_pack_rows,partial_pack_rows,padded_rows,original_v_loads,packed_v_loads,v_bytes_before,v_bytes_after,extra_qk_flops,baseline_qk_flops,candidate_main_pv_flops,packed_pv_flops,pv_flops_avoided,q_read_bytes,tile_record_bytes,expanded_descriptor_bytes,count_offset_bytes,pack_descriptor_bytes,total_metadata_bytes,zero_tile_fraction,candidate_fraction_of_retained,weighted_utilization,complete_only_utilization,complete_pack_row_fraction,partial_pack_row_fraction,v_load_reduction,v_load_factor,average_rows_per_original_v_load,average_rows_per_packed_v_load,extra_qk_fraction_of_baseline,extra_qk_fraction_of_pv_avoided,mean_metadata_bytes_per_invocation,max_metadata_bytes_per_invocation,baseline_candidate_rows_processed,baseline_nonvoter_rows_processed,voter_fraction_of_baseline_candidate_rows,semantics_preserving_deferred_rows,semantics_preserving_total_packs,semantics_preserving_v_load_factor,semantics_preserving_pv_flops_avoided,semantics_preserving_extra_qk_flops,semantics_preserving_extra_qk_fraction_of_baseline,phase_a_numeric_pass,same_approximation_semantics,hardware_phase_authorized,gate_utilization_ge_70pct,gate_candidate_work_ge_15pct,gate_v_load_reduction_ge_2x,gate_extra_qk_le_20pct,gate_metadata_manageable
32,64,kv-head,96,2180384,4523110,6291456,21129536,167646,251879,165457,417336,16120256,5009280,5579968,2180384,417336,35723411456,6837633024,346186317824,13194139533312,4572596666368,437608513536,4134988152832,5409161216,87215360,676145152,1341168,13354752,778056432,0.28107102711995446,0.4820541618488164,0.7910867981674239,1.0,0.7629252246712848,0.2370747753287152,0.808595183233779,5.2245289167481355,9.690740713562382,50.62955508271513,0.026237885157267254,0.08372123571548844,8104754.5,14501568,279089152,257959616,0.07570891182470611,279089152,4360768,0.5,0,4572596666368,0.3465627034505208,True,False,False,True,True,True,True,True
32,64,q-head,96,2180384,4523110,6291456,21129536,167646,251879,165457,417336,16120256,5009280,5579968,2180384,417336,35723411456,6837633024,346186317824,13194139533312,4572596666368,437608513536,4134988152832,5409161216,87215360,676145152,1341168,13354752,778056432,0.28107102711995446,0.4820541618488164,0.7910867981674239,1.0,0.7629252246712848,0.2370747753287152,0.808595183233779,5.2245289167481355,9.690740713562382,50.62955508271513,0.026237885157267254,0.08372123571548844,8104754.5,14501568,279089152,257959616,0.07570891182470611,279089152,4360768,0.5,0,4572596666368,0.3465627034505208,True,False,False,True,True,True,True,True
32,128,kv-head,96,2180384,4523110,6291456,21129536,167646,91957,166850,258807,11770496,9359040,11997760,2180384,258807,35723411456,4240293888,346186317824,13194139533312,4572596666368,542757617664,4029839048704,5409161216,87215360,676145152,1341168,8281824,772983504,0.28107102711995446,0.4820541618488164,0.6378285749612645,1.0,0.5570636288463694,0.44293637115363066,0.8813021009143344,8.424748944193936,9.690740713562382,81.64205759504186,0.026237885157267254,0.08590574304334408,8051911.5,14403168,279089152,257959616,0.07570891182470611,279089152,2180384,1.0,0,4572596666368,0.3465627034505208,False,False,False,False,True,True,True,True
32,128,q-head,96,2180384,4523110,6291456,21129536,167646,91957,166850,258807,11770496,9359040,11997760,2180384,258807,35723411456,4240293888,346186317824,13194139533312,4572596666368,542757617664,4029839048704,5409161216,87215360,676145152,1341168,8281824,772983504,0.28107102711995446,0.4820541618488164,0.6378285749612645,1.0,0.5570636288463694,0.44293637115363066,0.8813021009143344,8.424748944193936,9.690740713562382,81.64205759504186,0.026237885157267254,0.08590574304334408,8051911.5,14403168,279089152,257959616,0.07570891182470611,279089152,2180384,1.0,0,4572596666368,0.3465627034505208,False,False,False,False,True,True,True,True
16,64,kv-head,96,1690126,4523110,6291456,9487713,159461,78508,157820,236328,5024512,4463201,5637279,1690126,236328,27691024384,3871997952,155446689792,13194139533312,3544451121152,247807868928,3296643252224,2428854528,67605040,303606816,1275688,7562496,380050040,0.28107102711995446,0.3736645803440553,0.6272871417055956,1.0,0.5295809432684147,0.47041905673158535,0.8601713718385493,7.151611319860533,5.613612831232701,40.14637706915812,0.011781495064496994,0.047153021391420406,3958854.5833333335,7272368,216336128,206848415,0.04385635024400548,216336128,3380252,0.5,0,3544451121152,0.26863829294840497,False,False,False,False,True,True,True,True
16,64,q-head,96,1690126,4523110,6291456,9487713,159461,78508,157820,236328,5024512,4463201,5637279,1690126,236328,27691024384,3871997952,155446689792,13194139533312,3544451121152,247807868928,3296643252224,2428854528,67605040,303606816,1275688,7562496,380050040,0.28107102711995446,0.3736645803440553,0.6272871417055956,1.0,0.5295809432684147,0.47041905673158535,0.8601713718385493,7.151611319860533,5.613612831232701,40.14637706915812,0.011781495064496994,0.047153021391420406,3958854.5833333335,7272368,216336128,206848415,0.04385635024400548,216336128,3380252,0.5,0,3544451121152,0.26863829294840497,False,False,False,False,True,True,True,True
16,128,kv-head,96,1690126,4523110,6291456,9487713,159461,15580,159093,174673,1994240,7493473,12870431,1690126,174673,27691024384,2861842432,155446689792,13194139533312,3544451121152,366315831296,3178135289856,2428854528,67605040,303606816,1275688,5589536,378077080,0.28107102711995446,0.3736645803440553,0.4243515472482868,1.0,0.21019185550827688,0.7898081444917231,0.8966509005837434,9.675943047866586,5.613612831232701,54.31699804778071,0.011781495064496994,0.0489112877882059,3938302.9166666665,7228048,216336128,206848415,0.04385635024400548,216336128,1690126,1.0,0,3544451121152,0.26863829294840497,False,False,False,False,True,True,True,True
16,128,q-head,96,1690126,4523110,6291456,9487713,159461,15580,159093,174673,1994240,7493473,12870431,1690126,174673,27691024384,2861842432,155446689792,13194139533312,3544451121152,366315831296,3178135289856,2428854528,67605040,303606816,1275688,5589536,378077080,0.28107102711995446,0.3736645803440553,0.4243515472482868,1.0,0.21019185550827688,0.7898081444917231,0.8966509005837434,9.675943047866586,5.613612831232701,54.31699804778071,0.011781495064496994,0.0489112877882059,3938302.9166666665,7228048,216336128,206848415,0.04385635024400548,216336128,1690126,1.0,0,3544451121152,0.26863829294840497,False,False,False,False,True,True,True,True
8,64,kv-head,96,1253847,4523110,6291456,4191216,150647,10963,149988,160951,701632,3489584,6109648,1253847,160951,20543029248,2637021184,68668882944,13194139533312,2629507743744,168769355776,2460738387968,1072951296,50153880,134118912,1205176,5150432,190628400,0.28107102711995446,0.2772090442195746,0.4068800442370659,1.0,0.16740535443651675,0.8325946455634833,0.8716342584063287,7.790240507980689,3.3426853515620327,26.04032283117222,0.005204498767852783,0.027905803916321473,1985712.5,3548840,160492416,156301200,0.02611472930907838,160492416,2507694,0.5,0,2629507743744,0.1992936134338379,False,False,False,False,True,True,True,True
8,64,q-head,96,1253847,4523110,6291456,4191216,150647,10963,149988,160951,701632,3489584,6109648,1253847,160951,20543029248,2637021184,68668882944,13194139533312,2629507743744,168769355776,2460738387968,1072951296,50153880,134118912,1205176,5150432,190628400,0.28107102711995446,0.2772090442195746,0.4068800442370659,1.0,0.16740535443651675,0.8325946455634833,0.8716342584063287,7.790240507980689,3.3426853515620327,26.04032283117222,0.005204498767852783,0.027905803916321473,1985712.5,3548840,160492416,156301200,0.02611472930907838,160492416,2507694,0.5,0,2629507743744,0.1992936134338379,False,False,False,False,True,True,True,True
8,128,kv-head,96,1253847,4523110,6291456,4191216,150647,30,150645,150675,3840,4187376,15095184,1253847,150675,20543029248,2468659200,68668882944,13194139533312,2629507743744,315988377600,2313519366144,1072951296,50153880,134118912,1205176,4821600,190299568,0.28107102711995446,0.2772090442195746,0.2173145843703335,1.0,0.0009162018850853785,0.9990837981149147,0.8798298356976569,8.321533101045295,3.3426853515620327,27.816266799402687,0.005204498767852783,0.02968156824139844,1982287.1666666667,3538024,160492416,156301200,0.02611472930907838,160492416,1253847,1.0,0,2629507743744,0.1992936134338379,False,False,False,False,True,True,True,True
8,128,q-head,96,1253847,4523110,6291456,4191216,150647,30,150645,150675,3840,4187376,15095184,1253847,150675,20543029248,2468659200,68668882944,13194139533312,2629507743744,315988377600,2313519366144,1072951296,50153880,134118912,1205176,4821600,190299568,0.28107102711995446,0.2772090442195746,0.2173145843703335,1.0,0.0009162018850853785,0.9990837981149147,0.8798298356976569,8.321533101045295,3.3426853515620327,27.816266799402687,0.005204498767852783,0.02968156824139844,1982287.1666666667,3538024,160492416,156301200,0.02611472930907838,160492416,1253847,1.0,0,2629507743744,0.1992936134338379,False,False,False,False,True,True,True,True
4,64,kv-head,96,882696,4523110,6291456,1836632,140936,5,140935,140940,320,1836312,7183528,882696,140940,14462091264,2309160960,30091378688,13194139533312,1851147681792,147786301440,1703361380352,470177792,35307840,58772224,1127488,4510080,99717632,0.28107102711995446,0.19515245041575377,0.20361412657868597,1.0,0.00017423196372490514,0.9998257680362751,0.8403300796650263,6.262920391656023,2.0807072876732193,13.031304101035902,0.002280662457148234,0.017665880555411916,1038725.3333333334,1922064,112985088,111148456,0.016255525684947026,112985088,1765392,0.5,0,1851147681792,0.14030075073242188,False,False,False,False,True,True,True,True
4,64,q-head,96,882696,4523110,6291456,1836632,140936,5,140935,140940,320,1836312,7183528,882696,140940,14462091264,2309160960,30091378688,13194139533312,1851147681792,147786301440,1703361380352,470177792,35307840,58772224,1127488,4510080,99717632,0.28107102711995446,0.19515245041575377,0.20361412657868597,1.0,0.00017423196372490514,0.9998257680362751,0.8403300796650263,6.262920391656023,2.0807072876732193,13.031304101035902,0.002280662457148234,0.017665880555411916,1038725.3333333334,1922064,112985088,111148456,0.016255525684947026,112985088,1765392,0.5,0,1851147681792,0.14030075073242188,False,False,False,False,True,True,True,True
4,128,kv-head,96,882696,4523110,6291456,1836632,140936,0,140936,140936,0,1836632,16203176,882696,140936,14462091264,2309095424,30091378688,13194139533312,1851147681792,295564214272,1555583467520,470177792,35307840,58772224,1127488,4509952,99717504,0.28107102711995446,0.19515245041575377,0.10180995274450814,0.0,0.0,1.0,0.8403346112364846,6.263098143838338,2.0807072876732193,13.031673951297043,0.002280662457148234,0.019344110628774804,1038724,1922064,112985088,111148456,0.016255525684947026,112985088,882696,1.0,0,1851147681792,0.14030075073242188,False,False,False,False,True,True,True,True
4,128,q-head,96,882696,4523110,6291456,1836632,140936,0,140936,140936,0,1836632,16203176,882696,140936,14462091264,2309095424,30091378688,13194139533312,1851147681792,295564214272,1555583467520,470177792,35307840,58772224,1127488,4509952,99717504,0.28107102711995446,0.19515245041575377,0.10180995274450814,0.0,0.0,1.0,0.8403346112364846,6.263098143838338,2.0807072876732193,13.031673951297043,0.002280662457148234,0.019344110628774804,1038724,1922064,112985088,111148456,0.016255525684947026,112985088,882696,1.0,0,1851147681792,0.14030075073242188,False,False,False,False,True,True,True,True
