tau,pack_m,grouping,leftover_rows,grouping_keys
1,64,kv-head,1,30763
1,64,kv-head,2,25441
1,64,kv-head,3,19311
1,64,kv-head,4,14186
1,64,kv-head,5,9777
1,64,kv-head,6,6439
1,64,kv-head,7,4015
1,64,kv-head,8,2503
1,64,kv-head,9,1274
1,64,kv-head,10,760
1,64,kv-head,11,413
1,64,kv-head,12,174
1,64,kv-head,13,83
1,64,kv-head,14,27
1,64,kv-head,15,12
1,64,kv-head,16,5
1,64,kv-head,17,3
1,64,kv-head,18,1
1,64,kv-head,19,1
1,64,kv-head,21,1
1,64,kv-head,22,1
1,64,q-head,1,30763
1,64,q-head,2,25441
1,64,q-head,3,19311
1,64,q-head,4,14186
1,64,q-head,5,9777
1,64,q-head,6,6439
1,64,q-head,7,4015
1,64,q-head,8,2503
1,64,q-head,9,1274
1,64,q-head,10,760
1,64,q-head,11,413
1,64,q-head,12,174
1,64,q-head,13,83
1,64,q-head,14,27
1,64,q-head,15,12
1,64,q-head,16,5
1,64,q-head,17,3
1,64,q-head,18,1
1,64,q-head,19,1
1,64,q-head,21,1
1,64,q-head,22,1
1,128,kv-head,1,30763
1,128,kv-head,2,25441
1,128,kv-head,3,19311
1,128,kv-head,4,14186
1,128,kv-head,5,9777
1,128,kv-head,6,6439
1,128,kv-head,7,4015
1,128,kv-head,8,2503
1,128,kv-head,9,1274
1,128,kv-head,10,760
1,128,kv-head,11,413
1,128,kv-head,12,174
1,128,kv-head,13,83
1,128,kv-head,14,27
1,128,kv-head,15,12
1,128,kv-head,16,5
1,128,kv-head,17,3
1,128,kv-head,18,1
1,128,kv-head,19,1
1,128,kv-head,21,1
1,128,kv-head,22,1
1,128,q-head,1,30763
1,128,q-head,2,25441
1,128,q-head,3,19311
1,128,q-head,4,14186
1,128,q-head,5,9777
1,128,q-head,6,6439
1,128,q-head,7,4015
1,128,q-head,8,2503
1,128,q-head,9,1274
1,128,q-head,10,760
1,128,q-head,11,413
1,128,q-head,12,174
1,128,q-head,13,83
1,128,q-head,14,27
1,128,q-head,15,12
1,128,q-head,16,5
1,128,q-head,17,3
1,128,q-head,18,1
1,128,q-head,19,1
1,128,q-head,21,1
1,128,q-head,22,1
2,64,kv-head,1,12995
2,64,kv-head,2,17101
2,64,kv-head,3,13499
2,64,kv-head,4,13645
2,64,kv-head,5,11533
2,64,kv-head,6,10708
2,64,kv-head,7,9118
2,64,kv-head,8,7755
2,64,kv-head,9,6506
2,64,kv-head,10,5509
2,64,kv-head,11,4593
2,64,kv-head,12,3887
2,64,kv-head,13,3044
2,64,kv-head,14,2535
2,64,kv-head,15,1937
2,64,kv-head,16,1522
2,64,kv-head,17,1191
2,64,kv-head,18,913
2,64,kv-head,19,622
2,64,kv-head,20,441
2,64,kv-head,21,361
2,64,kv-head,22,236
2,64,kv-head,23,143
2,64,kv-head,24,100
2,64,kv-head,25,67
2,64,kv-head,26,39
2,64,kv-head,27,20
2,64,kv-head,28,15
2,64,kv-head,29,15
2,64,kv-head,30,7
2,64,kv-head,31,6
2,64,kv-head,32,2
2,64,kv-head,33,2
2,64,kv-head,35,1
2,64,q-head,1,12995
2,64,q-head,2,17101
2,64,q-head,3,13499
2,64,q-head,4,13645
2,64,q-head,5,11533
2,64,q-head,6,10708
2,64,q-head,7,9118
2,64,q-head,8,7755
2,64,q-head,9,6506
2,64,q-head,10,5509
2,64,q-head,11,4593
2,64,q-head,12,3887
2,64,q-head,13,3044
2,64,q-head,14,2535
2,64,q-head,15,1937
2,64,q-head,16,1522
2,64,q-head,17,1191
2,64,q-head,18,913
2,64,q-head,19,622
2,64,q-head,20,441
2,64,q-head,21,361
2,64,q-head,22,236
2,64,q-head,23,143
2,64,q-head,24,100
2,64,q-head,25,67
2,64,q-head,26,39
2,64,q-head,27,20
2,64,q-head,28,15
2,64,q-head,29,15
2,64,q-head,30,7
2,64,q-head,31,6
2,64,q-head,32,2
2,64,q-head,33,2
2,64,q-head,35,1
2,128,kv-head,1,12995
2,128,kv-head,2,17101
2,128,kv-head,3,13499
2,128,kv-head,4,13645
2,128,kv-head,5,11533
2,128,kv-head,6,10708
2,128,kv-head,7,9118
2,128,kv-head,8,7755
2,128,kv-head,9,6506
2,128,kv-head,10,5509
2,128,kv-head,11,4593
2,128,kv-head,12,3887
2,128,kv-head,13,3044
2,128,kv-head,14,2535
2,128,kv-head,15,1937
2,128,kv-head,16,1522
2,128,kv-head,17,1191
2,128,kv-head,18,913
2,128,kv-head,19,622
2,128,kv-head,20,441
2,128,kv-head,21,361
2,128,kv-head,22,236
2,128,kv-head,23,143
2,128,kv-head,24,100
2,128,kv-head,25,67
2,128,kv-head,26,39
2,128,kv-head,27,20
2,128,kv-head,28,15
2,128,kv-head,29,15
2,128,kv-head,30,7
2,128,kv-head,31,6
2,128,kv-head,32,2
2,128,kv-head,33,2
2,128,kv-head,35,1
2,128,q-head,1,12995
2,128,q-head,2,17101
2,128,q-head,3,13499
2,128,q-head,4,13645
2,128,q-head,5,11533
2,128,q-head,6,10708
2,128,q-head,7,9118
2,128,q-head,8,7755
2,128,q-head,9,6506
2,128,q-head,10,5509
2,128,q-head,11,4593
2,128,q-head,12,3887
2,128,q-head,13,3044
2,128,q-head,14,2535
2,128,q-head,15,1937
2,128,q-head,16,1522
2,128,q-head,17,1191
2,128,q-head,18,913
2,128,q-head,19,622
2,128,q-head,20,441
2,128,q-head,21,361
2,128,q-head,22,236
2,128,q-head,23,143
2,128,q-head,24,100
2,128,q-head,25,67
2,128,q-head,26,39
2,128,q-head,27,20
2,128,q-head,28,15
2,128,q-head,29,15
2,128,q-head,30,7
2,128,q-head,31,6
2,128,q-head,32,2
2,128,q-head,33,2
2,128,q-head,35,1
4,64,kv-head,0,1
4,64,kv-head,1,5939
4,64,kv-head,2,6512
4,64,kv-head,3,7390
4,64,kv-head,4,8995
4,64,kv-head,5,6670
4,64,kv-head,6,6867
4,64,kv-head,7,6971
4,64,kv-head,8,6694
4,64,kv-head,9,6306
4,64,kv-head,10,6069
4,64,kv-head,11,5833
4,64,kv-head,12,5585
4,64,kv-head,13,5260
4,64,kv-head,14,4880
4,64,kv-head,15,4582
4,64,kv-head,16,4272
4,64,kv-head,17,3840
4,64,kv-head,18,3539
4,64,kv-head,19,3365
4,64,kv-head,20,2956
4,64,kv-head,21,2770
4,64,kv-head,22,2647
4,64,kv-head,23,2337
4,64,kv-head,24,2173
4,64,kv-head,25,2022
4,64,kv-head,26,1865
4,64,kv-head,27,1673
4,64,kv-head,28,1502
4,64,kv-head,29,1459
4,64,kv-head,30,1236
4,64,kv-head,31,1143
4,64,kv-head,32,977
4,64,kv-head,33,939
4,64,kv-head,34,839
4,64,kv-head,35,711
4,64,kv-head,36,581
4,64,kv-head,37,553
4,64,kv-head,38,468
4,64,kv-head,39,440
4,64,kv-head,40,317
4,64,kv-head,41,303
4,64,kv-head,42,241
4,64,kv-head,43,207
4,64,kv-head,44,187
4,64,kv-head,45,150
4,64,kv-head,46,131
4,64,kv-head,47,101
4,64,kv-head,48,81
4,64,kv-head,49,70
4,64,kv-head,50,49
4,64,kv-head,51,50
4,64,kv-head,52,42
4,64,kv-head,53,38
4,64,kv-head,54,24
4,64,kv-head,55,30
4,64,kv-head,56,17
4,64,kv-head,57,10
4,64,kv-head,58,9
4,64,kv-head,59,7
4,64,kv-head,60,3
4,64,kv-head,61,3
4,64,kv-head,62,3
4,64,kv-head,63,2
4,64,q-head,0,1
4,64,q-head,1,5939
4,64,q-head,2,6512
4,64,q-head,3,7390
4,64,q-head,4,8995
4,64,q-head,5,6670
4,64,q-head,6,6867
4,64,q-head,7,6971
4,64,q-head,8,6694
4,64,q-head,9,6306
4,64,q-head,10,6069
4,64,q-head,11,5833
4,64,q-head,12,5585
4,64,q-head,13,5260
4,64,q-head,14,4880
4,64,q-head,15,4582
4,64,q-head,16,4272
4,64,q-head,17,3840
4,64,q-head,18,3539
4,64,q-head,19,3365
4,64,q-head,20,2956
4,64,q-head,21,2770
4,64,q-head,22,2647
4,64,q-head,23,2337
4,64,q-head,24,2173
4,64,q-head,25,2022
4,64,q-head,26,1865
4,64,q-head,27,1673
4,64,q-head,28,1502
4,64,q-head,29,1459
4,64,q-head,30,1236
4,64,q-head,31,1143
4,64,q-head,32,977
4,64,q-head,33,939
4,64,q-head,34,839
4,64,q-head,35,711
4,64,q-head,36,581
4,64,q-head,37,553
4,64,q-head,38,468
4,64,q-head,39,440
4,64,q-head,40,317
4,64,q-head,41,303
4,64,q-head,42,241
4,64,q-head,43,207
4,64,q-head,44,187
4,64,q-head,45,150
4,64,q-head,46,131
4,64,q-head,47,101
4,64,q-head,48,81
4,64,q-head,49,70
4,64,q-head,50,49
4,64,q-head,51,50
4,64,q-head,52,42
4,64,q-head,53,38
4,64,q-head,54,24
4,64,q-head,55,30
4,64,q-head,56,17
4,64,q-head,57,10
4,64,q-head,58,9
4,64,q-head,59,7
4,64,q-head,60,3
4,64,q-head,61,3
4,64,q-head,62,3
4,64,q-head,63,2
4,128,kv-head,1,5939
4,128,kv-head,2,6511
4,128,kv-head,3,7389
4,128,kv-head,4,8995
4,128,kv-head,5,6669
4,128,kv-head,6,6866
4,128,kv-head,7,6971
4,128,kv-head,8,6694
4,128,kv-head,9,6306
4,128,kv-head,10,6069
4,128,kv-head,11,5833
4,128,kv-head,12,5585
4,128,kv-head,13,5260
4,128,kv-head,14,4880
4,128,kv-head,15,4582
4,128,kv-head,16,4272
4,128,kv-head,17,3840
4,128,kv-head,18,3539
4,128,kv-head,19,3365
4,128,kv-head,20,2956
4,128,kv-head,21,2770
4,128,kv-head,22,2647
4,128,kv-head,23,2337
4,128,kv-head,24,2173
4,128,kv-head,25,2022
4,128,kv-head,26,1865
4,128,kv-head,27,1673
4,128,kv-head,28,1502
4,128,kv-head,29,1459
4,128,kv-head,30,1236
4,128,kv-head,31,1143
4,128,kv-head,32,977
4,128,kv-head,33,939
4,128,kv-head,34,839
4,128,kv-head,35,711
4,128,kv-head,36,581
4,128,kv-head,37,553
4,128,kv-head,38,468
4,128,kv-head,39,440
4,128,kv-head,40,317
4,128,kv-head,41,303
4,128,kv-head,42,241
4,128,kv-head,43,207
4,128,kv-head,44,187
4,128,kv-head,45,150
4,128,kv-head,46,131
4,128,kv-head,47,101
4,128,kv-head,48,81
4,128,kv-head,49,70
4,128,kv-head,50,49
4,128,kv-head,51,50
4,128,kv-head,52,42
4,128,kv-head,53,38
4,128,kv-head,54,24
4,128,kv-head,55,30
4,128,kv-head,56,17
4,128,kv-head,57,10
4,128,kv-head,58,9
4,128,kv-head,59,7
4,128,kv-head,60,3
4,128,kv-head,61,3
4,128,kv-head,62,3
4,128,kv-head,63,2
4,128,kv-head,64,1
4,128,kv-head,66,1
4,128,kv-head,67,1
4,128,kv-head,69,1
4,128,kv-head,70,1
4,128,q-head,1,5939
4,128,q-head,2,6511
4,128,q-head,3,7389
4,128,q-head,4,8995
4,128,q-head,5,6669
4,128,q-head,6,6866
4,128,q-head,7,6971
4,128,q-head,8,6694
4,128,q-head,9,6306
4,128,q-head,10,6069
4,128,q-head,11,5833
4,128,q-head,12,5585
4,128,q-head,13,5260
4,128,q-head,14,4880
4,128,q-head,15,4582
4,128,q-head,16,4272
4,128,q-head,17,3840
4,128,q-head,18,3539
4,128,q-head,19,3365
4,128,q-head,20,2956
4,128,q-head,21,2770
4,128,q-head,22,2647
4,128,q-head,23,2337
4,128,q-head,24,2173
4,128,q-head,25,2022
4,128,q-head,26,1865
4,128,q-head,27,1673
4,128,q-head,28,1502
4,128,q-head,29,1459
4,128,q-head,30,1236
4,128,q-head,31,1143
4,128,q-head,32,977
4,128,q-head,33,939
4,128,q-head,34,839
4,128,q-head,35,711
4,128,q-head,36,581
4,128,q-head,37,553
4,128,q-head,38,468
4,128,q-head,39,440
4,128,q-head,40,317
4,128,q-head,41,303
4,128,q-head,42,241
4,128,q-head,43,207
4,128,q-head,44,187
4,128,q-head,45,150
4,128,q-head,46,131
4,128,q-head,47,101
4,128,q-head,48,81
4,128,q-head,49,70
4,128,q-head,50,49
4,128,q-head,51,50
4,128,q-head,52,42
4,128,q-head,53,38
4,128,q-head,54,24
4,128,q-head,55,30
4,128,q-head,56,17
4,128,q-head,57,10
4,128,q-head,58,9
4,128,q-head,59,7
4,128,q-head,60,3
4,128,q-head,61,3
4,128,q-head,62,3
4,128,q-head,63,2
4,128,q-head,64,1
4,128,q-head,66,1
4,128,q-head,67,1
4,128,q-head,69,1
4,128,q-head,70,1
8,64,kv-head,0,659
8,64,kv-head,1,3706
8,64,kv-head,2,3488
8,64,kv-head,3,3581
8,64,kv-head,4,3820
8,64,kv-head,5,4060
