request_id,layer,step,remaining_mask_ratio,tau,pack_m,grouping,candidate_tiles,retained_tiles,all_tiles,exception_rows,grouping_keys,complete_packs,partial_packs,total_packs,full_pack_rows,partial_pack_rows,padded_rows,weighted_utilization,complete_pack_row_fraction,partial_pack_row_fraction,original_v_loads,packed_v_loads,v_load_reduction,v_load_factor,v_bytes_before,v_bytes_after,average_rows_per_original_v_load,average_rows_per_packed_v_load,extra_qk_flops,baseline_qk_flops,candidate_main_pv_flops,packed_pv_flops,pv_flops_avoided,extra_qk_fraction_of_baseline,extra_qk_fraction_of_pv_avoided,q_read_bytes,tile_record_bytes,expanded_descriptor_bytes,count_offset_bytes,pack_descriptor_bytes,total_metadata_bytes,zero_tile_fraction,candidate_fraction_of_retained
context-0,0,0,0.9,1,64,q-head,212,65013,65536,212,81,0,81,81,0,212,4972,0.04089506172839506,0.0,1.0,212,81,0.6179245283018868,2.617283950617284,3473408,1327104,1.0,2.617283950617284,3473408,137438953472,444596224,84934656,359661568,2.5272369384765625e-05,0.009657434402332361,54272,8480,6784,648,2592,18504,0.0079803466796875,0.0032608862842816054
context-0,0,0,0.9,1,128,q-head,212,65013,65536,212,81,0,81,81,0,212,10156,0.02044753086419753,0.0,1.0,212,81,0.6179245283018868,2.617283950617284,3473408,1327104,1.0,2.617283950617284,3473408,137438953472,444596224,169869312,274726912,2.5272369384765625e-05,0.012643129770992367,54272,8480,6784,648,2592,18504,0.0079803466796875,0.0032608862842816054
context-0,0,0,0.9,1,64,kv-head,212,65013,65536,212,81,0,81,81,0,212,4972,0.04089506172839506,0.0,1.0,212,81,0.6179245283018868,2.617283950617284,3473408,1327104,1.0,2.617283950617284,3473408,137438953472,444596224,84934656,359661568,2.5272369384765625e-05,0.009657434402332361,54272,8480,6784,648,2592,18504,0.0079803466796875,0.0032608862842816054
context-0,0,0,0.9,1,128,kv-head,212,65013,65536,212,81,0,81,81,0,212,10156,0.02044753086419753,0.0,1.0,212,81,0.6179245283018868,2.617283950617284,3473408,1327104,1.0,2.617283950617284,3473408,137438953472,444596224,169869312,274726912,2.5272369384765625e-05,0.012643129770992367,54272,8480,6784,648,2592,18504,0.0079803466796875,0.0032608862842816054
context-0,0,0,0.9,2,64,q-head,390,65013,65536,568,112,0,112,112,0,568,6600,0.07924107142857142,0.0,1.0,390,112,0.7128205128205128,3.482142857142857,6389760,1835008,1.4564102564102563,5.071428571428571,9306112,137438953472,817889280,117440512,700448768,6.771087646484375e-05,0.013285928143712575,145408,15600,18176,896,3584,38256,0.0079803466796875,0.00599880023995201
context-0,0,0,0.9,2,128,q-head,390,65013,65536,568,112,0,112,112,0,568,13768,0.03962053571428571,0.0,1.0,390,112,0.7128205128205128,3.482142857142857,6389760,1835008,1.4564102564102563,5.071428571428571,9306112,137438953472,817889280,234881024,583008256,6.771087646484375e-05,0.01596223021582734,145408,15600,18176,896,3584,38256,0.0079803466796875,0.00599880023995201
context-0,0,0,0.9,2,64,kv-head,390,65013,65536,568,112,0,112,112,0,568,6600,0.07924107142857142,0.0,1.0,390,112,0.7128205128205128,3.482142857142857,6389760,1835008,1.4564102564102563,5.071428571428571,9306112,137438953472,817889280,117440512,700448768,6.771087646484375e-05,0.013285928143712575,145408,15600,18176,896,3584,38256,0.0079803466796875,0.00599880023995201
context-0,0,0,0.9,2,128,kv-head,390,65013,65536,568,112,0,112,112,0,568,13768,0.03962053571428571,0.0,1.0,390,112,0.7128205128205128,3.482142857142857,6389760,1835008,1.4564102564102563,5.071428571428571,9306112,137438953472,817889280,234881024,583008256,6.771087646484375e-05,0.01596223021582734,145408,15600,18176,896,3584,38256,0.0079803466796875,0.00599880023995201
context-0,0,0,0.9,4,64,q-head,685,65013,65536,1599,156,0,156,156,0,1599,8385,0.16015625,0.0,1.0,685,156,0.7722627737226277,4.391025641025641,11223040,2555904,2.334306569343066,10.25,26198016,137438953472,1436549120,163577856,1272971264,0.00019061565399169922,0.020580210049423394,409344,27400,51168,1248,4992,84808,0.0079803466796875,0.010536354267608017
context-0,0,0,0.9,4,128,q-head,685,65013,65536,1599,156,0,156,156,0,1599,18369,0.080078125,0.0,1.0,685,156,0.7722627737226277,4.391025641025641,11223040,2555904,2.334306569343066,10.25,26198016,137438953472,1436549120,327155712,1109393408,0.00019061565399169922,0.023614721172022686,409344,27400,51168,1248,4992,84808,0.0079803466796875,0.010536354267608017
