tau,layer,step,remaining_mask_ratio,exception_kv_tiles_per_row,row_count
1,0,0,0.9,0,130877
1,0,0,0.9,1,181
1,0,0,0.9,2,12
1,0,0,0.9,3,1
1,0,0,0.9,4,1
1,0,1,0.5,0,130827
1,0,1,0.5,1,149
1,0,1,0.5,2,39
1,0,1,0.5,3,14
1,0,1,0.5,4,7
1,0,1,0.5,5,8
1,0,1,0.5,6,6
1,0,1,0.5,7,4
1,0,1,0.5,8,5
1,0,1,0.5,9,2
1,0,1,0.5,10,4
1,0,1,0.5,13,2
1,0,1,0.5,14,1
1,0,1,0.5,16,2
1,0,1,0.5,17,1
1,0,1,0.5,24,1
1,0,2,0.15,0,127681
1,0,2,0.15,1,2945
1,0,2,0.15,2,352
1,0,2,0.15,3,68
1,0,2,0.15,4,13
1,0,2,0.15,5,6
1,0,2,0.15,6,4
1,0,2,0.15,7,3
1,1,0,0.9,0,131005
1,1,0,0.9,1,56
1,1,0,0.9,2,8
1,1,0,0.9,3,2
1,1,0,0.9,5,1
1,1,1,0.5,0,130555
1,1,1,0.5,1,367
1,1,1,0.5,2,74
1,1,1,0.5,3,34
1,1,1,0.5,4,8
1,1,1,0.5,5,5
1,1,1,0.5,6,7
1,1,1,0.5,7,5
1,1,1,0.5,8,1
1,1,1,0.5,9,4
1,1,1,0.5,10,1
1,1,1,0.5,11,1
1,1,1,0.5,12,2
1,1,1,0.5,13,1
1,1,1,0.5,14,1
1,1,1,0.5,16,2
1,1,1,0.5,17,1
1,1,1,0.5,18,1
1,1,1,0.5,24,1
1,1,1,0.5,28,1
1,1,2,0.15,0,127325
1,1,2,0.15,1,3352
1,1,2,0.15,2,321
1,1,2,0.15,3,54
1,1,2,0.15,4,10
1,1,2,0.15,5,4
1,1,2,0.15,6,1
1,1,2,0.15,7,2
1,1,2,0.15,8,2
1,1,2,0.15,11,1
1,2,0,0.9,0,131003
1,2,0,0.9,1,48
1,2,0,0.9,2,10
1,2,0,0.9,3,3
1,2,0,0.9,4,2
1,2,0,0.9,5,2
1,2,0,0.9,6,1
1,2,0,0.9,10,2
1,2,0,0.9,13,1
1,2,1,0.5,0,130748
1,2,1,0.5,1,252
1,2,1,0.5,2,38
1,2,1,0.5,3,15
1,2,1,0.5,4,5
1,2,1,0.5,5,4
1,2,1,0.5,7,1
1,2,1,0.5,9,2
1,2,1,0.5,12,1
1,2,1,0.5,13,3
1,2,1,0.5,16,1
1,2,1,0.5,17,2
1,2,2,0.15,0,126037
1,2,2,0.15,1,4558
1,2,2,0.15,2,419
1,2,2,0.15,3,54
1,2,2,0.15,4,4
1,3,0,0.9,0,130857
1,3,0,0.9,1,120
1,3,0,0.9,2,21
1,3,0,0.9,3,27
1,3,0,0.9,4,13
1,3,0,0.9,5,5
1,3,0,0.9,6,9
1,3,0,0.9,7,5
1,3,0,0.9,8,3
1,3,0,0.9,9,3
1,3,0,0.9,10,3
1,3,0,0.9,13,1
1,3,0,0.9,15,1
1,3,0,0.9,16,1
1,3,0,0.9,18,1
1,3,0,0.9,19,1
1,3,0,0.9,20,1
1,3,1,0.5,0,130311
1,3,1,0.5,1,567
1,3,1,0.5,2,106
1,3,1,0.5,3,29
1,3,1,0.5,4,19
1,3,1,0.5,5,12
1,3,1,0.5,6,3
1,3,1,0.5,7,9
1,3,1,0.5,8,3
1,3,1,0.5,9,5
1,3,1,0.5,10,1
1,3,1,0.5,12,3
1,3,1,0.5,14,1
1,3,1,0.5,17,1
1,3,1,0.5,18,1
1,3,1,0.5,29,1
1,3,2,0.15,0,127760
1,3,2,0.15,1,3006
1,3,2,0.15,2,247
1,3,2,0.15,3,46
1,3,2,0.15,4,7
1,3,2,0.15,5,2
1,3,2,0.15,6,4
1,4,0,0.9,0,130684
1,4,0,0.9,1,276
1,4,0,0.9,2,53
1,4,0,0.9,3,27
1,4,0,0.9,4,9
1,4,0,0.9,5,11
1,4,0,0.9,6,2
1,4,0,0.9,7,3
1,4,0,0.9,8,2
1,4,0,0.9,9,2
1,4,0,0.9,10,1
1,4,0,0.9,11,1
1,4,0,0.9,16,1
1,4,1,0.5,0,129726
1,4,1,0.5,1,1060
1,4,1,0.5,2,172
1,4,1,0.5,3,53
1,4,1,0.5,4,18
1,4,1,0.5,5,13
1,4,1,0.5,6,10
1,4,1,0.5,7,5
1,4,1,0.5,8,4
1,4,1,0.5,9,1
1,4,1,0.5,10,2
1,4,1,0.5,11,1
1,4,1,0.5,12,1
1,4,1,0.5,13,2
1,4,1,0.5,15,1
1,4,1,0.5,16,1
1,4,1,0.5,22,1
1,4,1,0.5,23,1
1,4,2,0.15,0,127627
1,4,2,0.15,1,3124
1,4,2,0.15,2,253
1,4,2,0.15,3,47
1,4,2,0.15,4,19
1,4,2,0.15,5,2
1,5,0,0.9,0,130936
1,5,0,0.9,1,114
1,5,0,0.9,2,13
1,5,0,0.9,3,7
1,5,0,0.9,5,1
1,5,0,0.9,6,1
1,5,1,0.5,0,128525
1,5,1,0.5,1,2054
1,5,1,0.5,2,324
1,5,1,0.5,3,96
1,5,1,0.5,4,31
1,5,1,0.5,5,18
1,5,1,0.5,6,12
1,5,1,0.5,7,4
1,5,1,0.5,8,4
1,5,1,0.5,9,1
1,5,1,0.5,10,1
1,5,1,0.5,12,1
1,5,1,0.5,13,1
1,5,2,0.15,0,126876
1,5,2,0.15,1,3749
1,5,2,0.15,2,347
1,5,2,0.15,3,81
1,5,2,0.15,4,13
1,5,2,0.15,5,5
1,5,2,0.15,7,1
1,6,0,0.9,0,130325
1,6,0,0.9,1,601
1,6,0,0.9,2,92
1,6,0,0.9,3,29
1,6,0,0.9,4,18
1,6,0,0.9,5,3
1,6,0,0.9,6,1
1,6,0,0.9,8,2
1,6,0,0.9,13,1
