trial,batch_size,block_size,scheduler,request_id,prompt_id,prompt_difficulty,block_index,steps_needed,steps_executed,token_step_min,token_step_mean,token_step_max,useful_token_steps,executed_token_steps,latency_ms
0,16,16,real_llada_confidence_cutoff,0,0,hard,0,2,16,1,1.9375,2,31,256,9919.364775996655
0,16,16,real_llada_confidence_cutoff,1,1,hard,0,2,16,1,1.5,2,24,256,9919.364775996655
0,16,16,real_llada_confidence_cutoff,2,2,hard,0,2,16,1,1.9375,2,31,256,9919.364775996655
0,16,16,real_llada_confidence_cutoff,3,3,hard,0,2,16,1,1.9375,2,31,256,9919.364775996655
0,16,16,real_llada_confidence_cutoff,4,4,hard,0,2,16,1,1.9375,2,31,256,9919.364775996655
0,16,16,real_llada_confidence_cutoff,5,5,hard,0,2,16,1,1.6875,2,27,256,9919.364775996655
0,16,16,real_llada_confidence_cutoff,6,6,hard,0,2,16,1,1.9375,2,31,256,9919.364775996655
0,16,16,real_llada_confidence_cutoff,7,7,hard,0,2,16,1,1.4375,2,23,256,9919.364775996655
0,16,16,real_llada_confidence_cutoff,8,8,hard,0,2,16,1,1.9375,2,31,256,9919.364775996655
0,16,16,real_llada_confidence_cutoff,9,9,hard,0,3,16,1,2.0,3,32,256,9919.364775996655
0,16,16,real_llada_confidence_cutoff,10,10,hard,0,2,16,1,1.9375,2,31,256,9919.364775996655
0,16,16,real_llada_confidence_cutoff,11,11,hard,0,2,16,1,1.9375,2,31,256,9919.364775996655
0,16,16,real_llada_confidence_cutoff,12,12,hard,0,3,16,1,2.75,3,44,256,9919.364775996655
0,16,16,real_llada_confidence_cutoff,13,13,hard,0,16,16,1,8.5,16,136,256,9919.364775996655
0,16,16,real_llada_confidence_cutoff,14,14,hard,0,3,16,1,2.8125,3,45,256,9919.364775996655
0,16,16,real_llada_confidence_cutoff,15,15,hard,0,16,16,1,8.5,16,136,256,9919.364775996655
