experiment,batch_id,batch_size,block_index,block_size,request_ids,request_lengths,min_prompt_tokens,max_prompt_tokens,sequence_tokens,max_steps,confidence_threshold,acceptance_policy,denoising_steps,total_time_ms,mean_time_per_step_ms,min_time_per_step_ms,max_time_per_step_ms,hit_max_steps
exp1_bs1,0,1,0,32,0,50,50,50,82,64,0.9,confidence_cutoff,5,239.79036199853,47.958072399706,18.58608099973935,156.96868099985295,False
exp1_bs1,0,1,1,32,0,50,50,50,114,64,0.9,confidence_cutoff,1,69.11999000112701,69.11999000112701,69.11999000112701,69.11999000112701,False
exp1_bs1,0,1,2,32,0,50,50,50,146,64,0.9,confidence_cutoff,1,61.338784000326996,61.338784000326996,61.338784000326996,61.338784000326996,False
exp1_bs1,0,1,3,32,0,50,50,50,178,64,0.9,confidence_cutoff,1,60.98588299937546,60.98588299937546,60.98588299937546,60.98588299937546,False
exp1_bs1,1,1,0,32,1,75,75,75,107,64,0.9,confidence_cutoff,3,100.61407900138875,33.538026333796246,18.883145001382218,62.60781600030896,False
exp1_bs1,1,1,1,32,1,75,75,75,139,64,0.9,confidence_cutoff,1,61.00938400049927,61.00938400049927,61.00938400049927,61.00938400049927,False
exp1_bs1,1,1,2,32,1,75,75,75,171,64,0.9,confidence_cutoff,1,60.68459800007986,60.68459800007986,60.68459800007986,60.68459800007986,False
exp1_bs1,1,1,3,32,1,75,75,75,203,64,0.9,confidence_cutoff,1,61.629789999642526,61.629789999642526,61.629789999642526,61.629789999642526,False
exp1_bs1,2,1,0,32,2,100,100,100,132,64,0.9,confidence_cutoff,3,96.57904799860262,32.193015999534204,18.917678999059717,58.57826799910981,False
exp1_bs1,2,1,1,32,2,100,100,100,164,64,0.9,confidence_cutoff,1,54.62489599995024,54.62489599995024,54.62489599995024,54.62489599995024,False
exp1_bs1,2,1,2,32,2,100,100,100,196,64,0.9,confidence_cutoff,1,54.15473399989423,54.15473399989423,54.15473399989423,54.15473399989423,False
exp1_bs1,2,1,3,32,2,100,100,100,228,64,0.9,confidence_cutoff,1,60.56285100021341,60.56285100021341,60.56285100021341,60.56285100021341,False
exp1_bs1,3,1,0,32,3,125,125,125,157,64,0.9,confidence_cutoff,4,113.01633199946082,28.254082999865204,18.82055600071908,56.282607998582534,False
exp1_bs1,3,1,1,32,3,125,125,125,189,64,0.9,confidence_cutoff,1,54.90607899992028,54.90607899992028,54.90607899992028,54.90607899992028,False
exp1_bs1,3,1,2,32,3,125,125,125,221,64,0.9,confidence_cutoff,1,58.82095500055584,58.82095500055584,58.82095500055584,58.82095500055584,False
exp1_bs1,3,1,3,32,3,125,125,125,253,64,0.9,confidence_cutoff,1,59.10026700075832,59.10026700075832,59.10026700075832,59.10026700075832,False
exp1_bs1,4,1,0,32,4,150,150,150,182,64,0.9,confidence_cutoff,3,91.73773099792015,30.579243665973383,18.661082998733036,54.09456099914678,False
exp1_bs1,4,1,1,32,4,150,150,150,214,64,0.9,confidence_cutoff,1,56.47812400093244,56.47812400093244,56.47812400093244,56.47812400093244,False
exp1_bs1,4,1,2,32,4,150,150,150,246,64,0.9,confidence_cutoff,1,54.36224400000356,54.36224400000356,54.36224400000356,54.36224400000356,False
exp1_bs1,4,1,3,32,4,150,150,150,278,64,0.9,confidence_cutoff,1,58.9880629995605,58.9880629995605,58.9880629995605,58.9880629995605,False
exp1_bs1,5,1,0,32,5,200,200,200,232,64,0.9,confidence_cutoff,4,110.52724299952388,27.63181074988097,18.684184999074205,53.99267900065752,False
exp1_bs1,5,1,1,32,5,200,200,200,264,64,0.9,confidence_cutoff,3,97.599734999676,32.533244999892,19.08259599986195,59.30485400131147,False
exp1_bs1,5,1,2,32,5,200,200,200,296,64,0.9,confidence_cutoff,1,61.81070599996019,61.81070599996019,61.81070599996019,61.81070599996019,False
exp1_bs1,5,1,3,32,5,200,200,200,328,64,0.9,confidence_cutoff,1,59.50969699915731,59.50969699915731,59.50969699915731,59.50969699915731,False
exp1_bs1,6,1,0,32,6,250,250,250,282,64,0.9,confidence_cutoff,5,129.79688099767372,25.959376199534745,18.722164999417146,54.34609800067847,False
exp1_bs1,6,1,1,32,6,250,250,250,314,64,0.9,confidence_cutoff,1,55.06270399928326,55.06270399928326,55.06270399928326,55.06270399928326,False
exp1_bs1,6,1,2,32,6,250,250,250,346,64,0.9,confidence_cutoff,1,54.978375001155655,54.978375001155655,54.978375001155655,54.978375001155655,False
