experiment,batch_id,batch_size,block_index,step,min_prompt_tokens,max_prompt_tokens,active_requests_before_step,step_latency_ms
exp1_bs1,0,1,0,1,50,50,1,156.96868099985295
exp1_bs1,0,1,0,2,50,50,1,19.776340999669628
exp1_bs1,0,1,0,3,50,50,1,25.50211599918839
exp1_bs1,0,1,0,4,50,50,1,18.957143000079668
exp1_bs1,0,1,0,5,50,50,1,18.58608099973935
exp1_bs1,0,1,1,1,50,50,1,69.11999000112701
exp1_bs1,0,1,2,1,50,50,1,61.338784000326996
exp1_bs1,0,1,3,1,50,50,1,60.98588299937546
exp1_bs1,1,1,0,1,75,75,1,62.60781600030896
exp1_bs1,1,1,0,2,75,75,1,19.12311799969757
exp1_bs1,1,1,0,3,75,75,1,18.883145001382218
exp1_bs1,1,1,1,1,75,75,1,61.00938400049927
exp1_bs1,1,1,2,1,75,75,1,60.68459800007986
exp1_bs1,1,1,3,1,75,75,1,61.629789999642526
exp1_bs1,2,1,0,1,100,100,1,58.57826799910981
exp1_bs1,2,1,0,2,100,100,1,19.08310100043309
exp1_bs1,2,1,0,3,100,100,1,18.917678999059717
exp1_bs1,2,1,1,1,100,100,1,54.62489599995024
exp1_bs1,2,1,2,1,100,100,1,54.15473399989423
exp1_bs1,2,1,3,1,100,100,1,60.56285100021341
exp1_bs1,3,1,0,1,125,125,1,56.282607998582534
exp1_bs1,3,1,0,2,125,125,1,19.05526500013366
exp1_bs1,3,1,0,3,125,125,1,18.857903000025544
exp1_bs1,3,1,0,4,125,125,1,18.82055600071908
exp1_bs1,3,1,1,1,125,125,1,54.90607899992028
exp1_bs1,3,1,2,1,125,125,1,58.82095500055584
exp1_bs1,3,1,3,1,125,125,1,59.10026700075832
exp1_bs1,4,1,0,1,150,150,1,54.09456099914678
exp1_bs1,4,1,0,2,150,150,1,18.982087000040337
exp1_bs1,4,1,0,3,150,150,1,18.661082998733036
exp1_bs1,4,1,1,1,150,150,1,56.47812400093244
exp1_bs1,4,1,2,1,150,150,1,54.36224400000356
exp1_bs1,4,1,3,1,150,150,1,58.9880629995605
exp1_bs1,5,1,0,1,200,200,1,53.99267900065752
exp1_bs1,5,1,0,2,200,200,1,19.106405999991694
exp1_bs1,5,1,0,3,200,200,1,18.743972999800462
exp1_bs1,5,1,0,4,200,200,1,18.684184999074205
