experiment,batch_id,request_id,prompt_tokens,batch_max_prompt_tokens
exp2_bs8,0,0,50,300
exp2_bs8,0,1,75,300
exp2_bs8,0,2,100,300
exp2_bs8,0,3,125,300
exp2_bs8,0,4,150,300
exp2_bs8,0,5,200,300
exp2_bs8,0,6,250,300
exp2_bs8,0,7,300,300
exp2_bs8,1,8,400,1100
exp2_bs8,1,9,500,1100
exp2_bs8,1,10,600,1100
exp2_bs8,1,11,700,1100
exp2_bs8,1,12,800,1100
exp2_bs8,1,13,900,1100
exp2_bs8,1,14,1000,1100
exp2_bs8,1,15,1100,1100
exp2_bs8,2,16,1200,2000
exp2_bs8,2,17,1300,2000
exp2_bs8,2,18,1400,2000
exp2_bs8,2,19,1500,2000
exp2_bs8,2,20,1600,2000
exp2_bs8,2,21,1750,2000
exp2_bs8,2,22,1900,2000
exp2_bs8,2,23,2000,2000
