strategy,signal_source,head_sharing,records,mean_baseline_physical_sparsity,mean_physical_sparsity,mean_physical_sparsity_improvement,median_physical_sparsity_improvement,p10_physical_sparsity_improvement,mean_required_tile_reduction,fraction_records_ge_15pp,fraction_records_ge_20pct_work
bitmap,current,head,96,0.2810710271199544,0.3802657127380371,0.09919468561808269,0.100189208984375,0.050323486328125,0.14562098732003909,0.052083333333333336,0.20833333333333334
identity,none,layer,96,0.2810710271199544,0.2810710271199544,0.0,0.0,0.0,0.0,0.0,0.0
topk2-any,current,layer,96,0.2810710271199544,0.2772960662841797,-0.0037749608357747397,-0.0011444091796875,-0.0135650634765625,-0.007139863017578696,0.0,0.0
topk4-any,previous,layer,64,0.381028413772583,0.37506747245788574,-0.005960941314697266,-0.0011749267578125,-0.0218353271484375,-0.011540469888478965,0.0,0.0
topk4-any,current,layer,96,0.2810710271199544,0.2713152567545573,-0.009755770365397135,-0.003570556640625,-0.03057861328125,-0.017650564063821723,0.0,0.0
topk2-rho25,current,layer,96,0.2810710271199544,0.26141707102457684,-0.019653956095377605,-0.01544189453125,-0.05572509765625,-0.03449012929223973,0.0,0.0
topk4-any-state,previous,layer,64,0.381028413772583,0.35533571243286133,-0.02569270133972168,-0.02984619140625,-0.050628662109375,-0.047258787320260454,0.0,0.0
topk2-rho75,current,layer,96,0.2810710271199544,0.2544809977213542,-0.02659002939860026,-0.0243988037109375,-0.0683441162109375,-0.043889801879218295,0.0,0.0
topk8-any,current,layer,96,0.2810710271199544,0.24709844589233398,-0.033972581227620445,-0.00977325439453125,-0.094879150390625,-0.06345363156700794,0.0,0.0
bitmap-rho75,current,layer,96,0.2810710271199544,0.24685446421305338,-0.03421656290690104,-0.0327911376953125,-0.0677032470703125,-0.054033152625236724,0.0,0.0
topk2-rho50,current,layer,96,0.2810710271199544,0.2463847796122233,-0.03468624750773112,-0.0277557373046875,-0.0926971435546875,-0.06115116079344616,0.0,0.0
bucket4-rho75,current,layer,96,0.2810710271199544,0.24469916025797525,-0.036371866861979164,-0.03258514404296875,-0.065338134765625,-0.052689395750093904,0.0,0.0
bitmap-rho25,current,layer,96,0.2810710271199544,0.2395777702331543,-0.04149325688680013,-0.035797119140625,-0.084930419921875,-0.05747725202537398,0.0,0.0
topk4-rho75,current,layer,96,0.2810710271199544,0.2390874226888021,-0.041983604431152344,-0.03401947021484375,-0.09649658203125,-0.06587535714332295,0.0,0.0
bitmap-rho50,current,layer,96,0.2810710271199544,0.23787148793538412,-0.04319953918457031,-0.03916168212890625,-0.0803680419921875,-0.07069651467690383,0.0,0.0
topk4-rho25,previous,layer,64,0.381028413772583,0.32587313652038574,-0.055155277252197266,-0.00955963134765625,-0.1745147705078125,-0.10634486686734161,0.0,0.0
topk8-rho75,current,layer,96,0.2810710271199544,0.22533512115478516,-0.05573590596516927,-0.04932403564453125,-0.097930908203125,-0.08188969419066283,0.0,0.0
bucket4-rho50,current,layer,96,0.2810710271199544,0.21987422307332358,-0.06119680404663086,-0.0572357177734375,-0.109161376953125,-0.09707430799565218,0.0,0.0
bitmap-rho75,previous,layer,64,0.381028413772583,0.3196227550506592,-0.06140565872192383,-0.06072235107421875,-0.100830078125,-0.10508275920346627,0.0,0.0
bucket6-rho75,current,layer,96,0.2810710271199544,0.2178827921549479,-0.06318823496500652,-0.06085968017578125,-0.12115478515625,-0.09472427186095873,0.0,0.0
topk4-rho75,previous,layer,64,0.381028413772583,0.3126354217529297,-0.06839299201965332,-0.06304168701171875,-0.1303558349609375,-0.12539117686299134,0.0,0.0
bitmap-rho50,previous,layer,64,0.381028413772583,0.30973291397094727,-0.07129549980163574,-0.066925048828125,-0.129119873046875,-0.11412155082116861,0.0,0.0
bucket4-rho25,current,layer,96,0.2810710271199544,0.20824368794759116,-0.07282733917236328,-0.0693511962890625,-0.128204345703125,-0.11758049705403259,0.0,0.0
simhash8-rho75,current,layer,96,0.2810710271199544,0.20632155736287436,-0.07474946975708008,-0.07282257080078125,-0.14434814453125,-0.11127511924675577,0.0,0.0
topk4-rho25,current,layer,96,0.2810710271199544,0.2053364117940267,-0.07573461532592773,-0.0754241943359375,-0.1743316650390625,-0.13345420421708182,0.0,0.0
bucket8-rho75,current,layer,96,0.2810710271199544,0.20511356989542642,-0.075957457224528,-0.07410430908203125,-0.1488037109375,-0.11326361219474612,0.0,0.0
topk4-rho25-state,previous,layer,64,0.381028413772583,0.30408430099487305,-0.07694411277770996,-0.039093017578125,-0.1979217529296875,-0.14644076652399923,0.0,0.0
simhash16-rho75,current,layer,96,0.2810710271199544,0.20380353927612305,-0.07726748784383138,-0.07527923583984375,-0.1456146240234375,-0.11505077099205024,0.0,0.0
bitmap-rho75-state,previous,layer,64,0.381028413772583,0.3035128116607666,-0.0775156021118164,-0.07901763916015625,-0.1219024658203125,-0.1354578823840625,0.0,0.0
topk4-rho50,previous,layer,64,0.381028413772583,0.30330944061279297,-0.07771897315979004,-0.0267333984375,-0.235626220703125,-0.1464406411316339,0.0,0.0
topk4-rho50,current,layer,96,0.2810710271199544,0.1993438402811686,-0.08172718683878581,-0.07903289794921875,-0.193450927734375,-0.1386716737667439,0.0,0.0
bucket4-rho75,previous,layer,64,0.381028413772583,0.2989225387573242,-0.08210587501525879,-0.0779876708984375,-0.13623046875,-0.13939337181910488,0.0,0.0
bitmap-rho50-state,previous,layer,64,0.381028413772583,0.2960207462310791,-0.0850076675415039,-0.0789642333984375,-0.144195556640625,-0.1397771348848495,0.0,0.0
bucket4-any,previous,layer,64,0.381028413772583,0.29560136795043945,-0.08542704582214355,-0.06230926513671875,-0.182647705078125,-0.15891097621480696,0.0,0.0
simhash32-rho75,current,layer,96,0.2810710271199544,0.1942729949951172,-0.08679803212483723,-0.08129119873046875,-0.16070556640625,-0.1278511652370327,0.0,0.0
bucket4-any,current,layer,96,0.2810710271199544,0.18854872385660806,-0.09252230326334636,-0.10915374755859375,-0.1810760498046875,-0.15877309560416977,0.0,0.0
topk8-rho50,current,layer,96,0.2810710271199544,0.18782774607340494,-0.09324328104654948,-0.09471893310546875,-0.21038818359375,-0.15483639754683548,0.0,0.0
topk4-rho75-state,previous,layer,64,0.381028413772583,0.2836027145385742,-0.09742569923400879,-0.10357666015625,-0.1616058349609375,-0.17715966083262047,0.0,0.0
bucket4-rho50,previous,layer,64,0.381028413772583,0.2820746898651123,-0.0989537239074707,-0.11109161376953125,-0.1384429931640625,-0.17035046543164495,0.0,0.0
bucket8-rho75-state,current,layer,96,0.2810710271199544,0.18127361933390299,-0.09979740778605144,-0.09383392333984375,-0.192840576171875,-0.15385152527935034,0.0,0.0
topk4-rho50-state,previous,layer,64,0.381028413772583,0.2807168960571289,-0.1003115177154541,-0.05493927001953125,-0.273773193359375,-0.18745199007747262,0.0,0.0
bucket6-rho50,current,layer,96,0.2810710271199544,0.18039576212565103,-0.10067526499430339,-0.09622955322265625,-0.1731414794921875,-0.16255844300238156,0.0,0.0
bucket4-rho25,previous,layer,64,0.381028413772583,0.2794225215911865,-0.10160589218139648,-0.11557769775390625,-0.1496734619140625,-0.17542083343090514,0.0,0.0
bucket6-rho25,current,layer,96,0.2810710271199544,0.17186816533406576,-0.10920286178588867,-0.10515594482421875,-0.1981201171875,-0.17859173832548722,0.0,0.0
bitmap-rho25,previous,layer,64,0.381028413772583,0.2659914493560791,-0.1150369644165039,-0.1076507568359375,-0.2167816162109375,-0.1897900074496646,0.0,0.0
bucket4-any-state,previous,layer,64,0.381028413772583,0.2655327320098877,-0.11549568176269531,-0.1073455810546875,-0.228668212890625,-0.2129178160016725,0.0,0.0
simhash8-rho50,current,layer,96,0.2810710271199544,0.16504669189453125,-0.11602433522542317,-0.10422515869140625,-0.1960601806640625,-0.18697595967848518,0.0,0.0
