request_id,step,layer,remaining_mask_ratio,mean_row_head_jaccard
context-0,1,0,0.5,0.7716259360313416
context-0,2,0,0.15,0.2453707754611969
context-0,1,1,0.5,0.6558860540390015
context-0,2,1,0.15,0.2836793065071106
context-0,1,2,0.5,0.6868391036987305
context-0,2,2,0.15,0.2305830866098404
context-0,1,3,0.5,0.6217404007911682
context-0,2,3,0.15,0.31472793221473694
context-0,1,4,0.5,0.5028271675109863
context-0,2,4,0.15,0.3170986771583557
context-0,1,5,0.5,0.3831338882446289
context-0,2,5,0.15,0.3104325234889984
context-0,1,6,0.5,0.4198998212814331
context-0,2,6,0.15,0.35544514656066895
context-0,1,7,0.5,0.30514150857925415
context-0,2,7,0.15,0.3301549553871155
context-0,1,8,0.5,0.3233168423175812
context-0,2,8,0.15,0.41051289439201355
context-0,1,9,0.5,0.3434997498989105
context-0,2,9,0.15,0.43628138303756714
context-0,1,10,0.5,0.27303004264831543
context-0,2,10,0.15,0.35842055082321167
context-0,1,11,0.5,0.34261059761047363
context-0,2,11,0.15,0.471701055765152
context-0,1,12,0.5,0.3391854166984558
context-0,2,12,0.15,0.48103654384613037
context-0,1,13,0.5,0.27479231357574463
context-0,2,13,0.15,0.388822466135025
context-0,1,14,0.5,0.34452173113822937
context-0,2,14,0.15,0.46484604477882385
context-0,1,15,0.5,0.34490513801574707
context-0,2,15,0.15,0.4665548801422119
context-0,1,16,0.5,0.306560754776001
context-0,2,16,0.15,0.4155930280685425
context-0,1,17,0.5,0.300490140914917
context-0,2,17,0.15,0.4328991174697876
context-0,1,18,0.5,0.3287525177001953
context-0,2,18,0.15,0.44785115122795105
context-0,1,19,0.5,0.279487669467926
context-0,2,19,0.15,0.3952232599258423
context-0,1,20,0.5,0.3347463011741638
context-0,2,20,0.15,0.45211029052734375
context-0,1,21,0.5,0.30755311250686646
context-0,2,21,0.15,0.4327784776687622
context-0,1,22,0.5,0.2881038188934326
context-0,2,22,0.15,0.413067102432251
context-0,1,23,0.5,0.2758394479751587
context-0,2,23,0.15,0.4027022421360016
context-0,1,24,0.5,0.27876830101013184
context-0,2,24,0.15,0.40877944231033325
context-0,1,25,0.5,0.2460700422525406
context-0,2,25,0.15,0.3714611530303955
context-0,1,26,0.5,0.22718675434589386
context-0,2,26,0.15,0.34136319160461426
context-0,1,27,0.5,0.19047483801841736
context-0,2,27,0.15,0.298506498336792
context-0,1,28,0.5,0.2035577893257141
context-0,2,28,0.15,0.31450822949409485
context-0,1,29,0.5,0.19817635416984558
context-0,2,29,0.15,0.3079407215118408
context-0,1,30,0.5,0.20164810121059418
context-0,2,30,0.15,0.30804452300071716
context-0,1,31,0.5,0.23272192478179932
context-0,2,31,0.15,0.3680303990840912
