source,strategy,heads_per_group,window_size,records,mean_improvement,median_improvement,mean_required_tile_reduction,fraction_ge_15pp,fraction_ge_20pct_work
current,bitmap,1,4096,96,0.10146141052246094,0.10520172119140625,0.14793513995229501,0.03125,0.1875
current,bitmap,1,1024,96,0.08257341384887695,0.08594512939453125,0.11916922404478178,0.0,0.020833333333333332
current,bitmap,1,512,96,0.06852881113688152,0.0718231201171875,0.09827002758516785,0.0,0.0
current,bitmap,1,256,96,0.04340569178263346,0.041961669921875,0.06168799456196998,0.0,0.0
previous,bitmap,1,4096,96,0.03560320536295573,0.0393524169921875,0.056263962187806285,0.0,0.0
previous,bitmap,1,1024,96,0.03143390019734701,0.02996826171875,0.047685269742834206,0.0,0.0
current,bitmap,2,1024,96,0.029783884684244793,0.03094482421875,0.043569516193629004,0.0,0.0
current,bitmap,2,512,96,0.029319922129313152,0.0303192138671875,0.04286915768520726,0.0,0.0
previous,bitmap,1,512,96,0.028268814086914062,0.02567291259765625,0.04198414637492784,0.0,0.0
current,bitmap,2,4096,96,0.021231969197591145,0.019287109375,0.031827908965187814,0.0,0.0
previous,bitmap,1,256,96,0.019025166829427082,0.01512908935546875,0.027543747032887082,0.0,0.0
previous,bitmap,2,512,96,0.0062923431396484375,0.00612640380859375,0.009705834797759829,0.0,0.0
previous,bitmap,2,1024,96,0.0004820823669433594,0.00153350830078125,0.0015627005416084874,0.0,0.0
current,bitmap,4,512,96,-0.015385309855143229,-0.0187225341796875,-0.02730142952784562,0.0,0.0
previous,bitmap,2,4096,96,-0.017961978912353516,-0.0162200927734375,-0.02354348775072134,0.0,0.0
previous,bitmap,4,512,96,-0.01866308848063151,-0.02059173583984375,-0.031392572826020204,0.0,0.0
current,bitmap,32,1024,96,-0.0242617925008138,-0.02216339111328125,-0.0413447287619561,0.0,0.0
current,bitmap,4,1024,96,-0.02475452423095703,-0.02667236328125,-0.04174906483992764,0.0,0.0
previous,bitmap,32,1024,96,-0.0253143310546875,-0.02393341064453125,-0.04231629737433934,0.0,0.0
previous,bitmap,4,1024,96,-0.0287478764851888,-0.0298919677734375,-0.046859905345610325,0.0,0.0
current,bitmap,8,1024,96,-0.02913665771484375,-0.0289154052734375,-0.04840902800828594,0.0,0.0
previous,bitmap,8,1024,96,-0.03079668680826823,-0.02978515625,-0.05042000802275943,0.0,0.0
current,bitmap,32,4096,96,-0.040841897328694664,-0.03589630126953125,-0.0677876175351421,0.0,0.0
previous,bitmap,32,4096,96,-0.04117647806803385,-0.03717041015625,-0.06724486704742955,0.0,0.0
current,bitmap,4,4096,96,-0.04769976933797201,-0.0446624755859375,-0.07685877762410397,0.0,0.0
previous,bitmap,4,4096,96,-0.053003787994384766,-0.05123138427734375,-0.08387214451951447,0.0,0.0
current,bitmap,8,4096,96,-0.05524237950642904,-0.0473480224609375,-0.09048209554328321,0.0,0.0
previous,bitmap,8,4096,96,-0.05730358759562174,-0.04996490478515625,-0.09302815339967055,0.0,0.0
