request_id,layer,step,mask_ratio,jaccard
context-0-regime-0,0,1,0.89,0.9918672442436218
context-0-regime-1,0,1,0.49,0.9934196472167969
context-0-regime-2,0,1,0.14,0.9868854880332947
context-0-regime-0,1,1,0.89,0.9874410033226013
context-0-regime-1,1,1,0.49,0.9866484999656677
context-0-regime-2,1,1,0.14,0.9662878513336182
context-0-regime-0,2,1,0.89,0.9866449236869812
context-0-regime-1,2,1,0.49,0.9806963205337524
context-0-regime-2,2,1,0.14,0.9461432695388794
context-0-regime-0,3,1,0.89,0.9814938902854919
context-0-regime-1,3,1,0.49,0.9803001880645752
context-0-regime-2,3,1,0.14,0.9565923810005188
context-0-regime-0,4,1,0.89,0.9755373001098633
context-0-regime-1,4,1,0.49,0.9690022468566895
context-0-regime-2,4,1,0.14,0.9597377777099609
context-0-regime-0,5,1,0.89,0.9510695338249207
context-0-regime-1,5,1,0.49,0.9591493010520935
context-0-regime-2,5,1,0.14,0.9514240026473999
context-0-regime-0,6,1,0.89,0.9493010640144348
context-0-regime-1,6,1,0.49,0.9635113477706909
context-0-regime-2,6,1,0.14,0.9621331095695496
context-0-regime-0,7,1,0.89,0.9156657457351685
context-0-regime-1,7,1,0.49,0.9468072056770325
context-0-regime-2,7,1,0.14,0.9498453140258789
context-0-regime-0,8,1,0.89,0.9008732438087463
context-0-regime-1,8,1,0.49,0.9588748216629028
context-0-regime-2,8,1,0.14,0.9486833810806274
context-0-regime-0,9,1,0.89,0.9004737138748169
context-0-regime-1,9,1,0.49,0.958408534526825
context-0-regime-2,9,1,0.14,0.9464223384857178
context-0-regime-0,10,1,0.89,0.8702232837677002
context-0-regime-1,10,1,0.49,0.9368094205856323
context-0-regime-2,10,1,0.14,0.9345948696136475
context-0-regime-0,11,1,0.89,0.8878821730613708
context-0-regime-1,11,1,0.49,0.949783205986023
context-0-regime-2,11,1,0.14,0.9493715167045593
context-0-regime-0,12,1,0.89,0.8730897307395935
context-0-regime-1,12,1,0.49,0.9418060183525085
context-0-regime-2,12,1,0.14,0.9478163719177246
context-0-regime-0,13,1,0.89,0.8287858963012695
context-0-regime-1,13,1,0.49,0.9164419174194336
context-0-regime-2,13,1,0.14,0.9207509756088257
context-0-regime-0,14,1,0.89,0.8540493845939636
context-0-regime-1,14,1,0.49,0.9276844263076782
context-0-regime-2,14,1,0.14,0.9311501979827881
context-0-regime-0,15,1,0.89,0.8463530540466309
context-0-regime-1,15,1,0.49,0.911664605140686
context-0-regime-2,15,1,0.14,0.9159365296363831
context-0-regime-0,16,1,0.89,0.7997473478317261
context-0-regime-1,16,1,0.49,0.8876025676727295
context-0-regime-2,16,1,0.14,0.8835463523864746
context-0-regime-0,17,1,0.89,0.8001641631126404
context-0-regime-1,17,1,0.49,0.8827691078186035
context-0-regime-2,17,1,0.14,0.8772504925727844
context-0-regime-0,18,1,0.89,0.8086298704147339
context-0-regime-1,18,1,0.49,0.8826995491981506
context-0-regime-2,18,1,0.14,0.8782809972763062
context-0-regime-0,19,1,0.89,0.7613773345947266
context-0-regime-1,19,1,0.49,0.8495453596115112
context-0-regime-2,19,1,0.14,0.8500183820724487
context-0-regime-0,20,1,0.89,0.8074735403060913
context-0-regime-1,20,1,0.49,0.8671529293060303
context-0-regime-2,20,1,0.14,0.8651580214500427
context-0-regime-0,21,1,0.89,0.7809199690818787
context-0-regime-1,21,1,0.49,0.8510347604751587
context-0-regime-2,21,1,0.14,0.8455742597579956
context-0-regime-0,22,1,0.89,0.7640417218208313
context-0-regime-1,22,1,0.49,0.8357266783714294
context-0-regime-2,22,1,0.14,0.8296829462051392
context-0-regime-0,23,1,0.89,0.7591381072998047
context-0-regime-1,23,1,0.49,0.8278515338897705
context-0-regime-2,23,1,0.14,0.8303165435791016
context-0-regime-0,24,1,0.89,0.7729161977767944
context-0-regime-1,24,1,0.49,0.8364892601966858
context-0-regime-2,24,1,0.14,0.8285102844238281
context-0-regime-0,25,1,0.89,0.7756773233413696
context-0-regime-1,25,1,0.49,0.8159208297729492
context-0-regime-2,25,1,0.14,0.8083007335662842
context-0-regime-0,26,1,0.89,0.7727606892585754
context-0-regime-1,26,1,0.49,0.8053429126739502
context-0-regime-2,26,1,0.14,0.805729866027832
context-0-regime-0,27,1,0.89,0.7637564539909363
context-0-regime-1,27,1,0.49,0.7709914445877075
context-0-regime-2,27,1,0.14,0.7834873199462891
context-0-regime-0,28,1,0.89,0.7878482341766357
context-0-regime-1,28,1,0.49,0.7860360741615295
context-0-regime-2,28,1,0.14,0.7860548496246338
context-0-regime-0,29,1,0.89,0.7924386262893677
context-0-regime-1,29,1,0.49,0.7886526584625244
context-0-regime-2,29,1,0.14,0.7846788167953491
context-0-regime-0,30,1,0.89,0.7878471612930298
context-0-regime-1,30,1,0.49,0.7841469049453735
context-0-regime-2,30,1,0.14,0.7832788825035095
context-0-regime-0,31,1,0.89,0.7897937893867493
context-0-regime-1,31,1,0.49,0.8077634572982788
context-0-regime-2,31,1,0.14,0.8089953064918518
