dimension,value,error_threshold,records,oracle_reuse_fraction,median_tile_error,p99_tile_error
all,0,1e-05,983040,0.020316569010416667,0.5927450656890869,5.154454231262207
all,0,0.0001,983040,0.020316569010416667,0.5927450656890869,5.154454231262207
all,0,0.0005,983040,0.02032470703125,0.5927450656890869,5.154454231262207
all,0,0.001,983040,0.020365397135416668,0.5927450656890869,5.154454231262207
all,0,0.005,983040,0.020542399088541666,0.5927450656890869,5.154454231262207
all,0,0.01,983040,0.021028645833333335,0.5927450656890869,5.154454231262207
split,calibration,1e-05,245760,0.0203125,0.5819647908210754,5.270278453826904
split,calibration,0.0001,245760,0.0203125,0.5819647908210754,5.270278453826904
split,calibration,0.0005,245760,0.0203125,0.5819647908210754,5.270278453826904
split,calibration,0.001,245760,0.0203125,0.5819647908210754,5.270278453826904
split,calibration,0.005,245760,0.020357259114583335,0.5819647908210754,5.270278453826904
split,calibration,0.01,245760,0.020857747395833334,0.5819647908210754,5.270278453826904
split,development,1e-05,245760,0.020247395833333334,0.6090049743652344,5.3774871826171875
split,development,0.0001,245760,0.020247395833333334,0.6090049743652344,5.3774871826171875
split,development,0.0005,245760,0.020247395833333334,0.6090049743652344,5.3774871826171875
split,development,0.001,245760,0.02025146484375,0.6090049743652344,5.3774871826171875
split,development,0.005,245760,0.020292154947916665,0.6090049743652344,5.3774871826171875
split,development,0.01,245760,0.020760091145833333,0.6090049743652344,5.3774871826171875
split,final_benchmark,1e-05,245760,0.019710286458333334,0.5700920820236206,5.0770440101623535
split,final_benchmark,0.0001,245760,0.019710286458333334,0.5700920820236206,5.0770440101623535
split,final_benchmark,0.0005,245760,0.019742838541666665,0.5700920820236206,5.0770440101623535
split,final_benchmark,0.001,245760,0.0198974609375,0.5700920820236206,5.0770440101623535
split,final_benchmark,0.005,245760,0.020426432291666668,0.5700920820236206,5.0770440101623535
split,final_benchmark,0.01,245760,0.020987955729166667,0.5700920820236206,5.0770440101623535
split,heldout,1e-05,245760,0.02099609375,0.6090773344039917,4.873429775238037
split,heldout,0.0001,245760,0.02099609375,0.6090773344039917,4.873429775238037
split,heldout,0.0005,245760,0.02099609375,0.6090773344039917,4.873429775238037
split,heldout,0.001,245760,0.021000162760416666,0.6090773344039917,4.873429775238037
split,heldout,0.005,245760,0.02109375,0.6090773344039917,4.873429775238037
split,heldout,0.01,245760,0.0215087890625,0.6090773344039917,4.873429775238037
phase,0,1e-05,237568,0.018622036637931036,1.1018397808074951,6.219483852386475
phase,0,0.0001,237568,0.018622036637931036,1.1018397808074951,6.219483852386475
phase,0,0.0005,237568,0.018626245959051723,1.1018397808074951,6.219483852386475
phase,0,0.001,237568,0.018630455280172414,1.1018397808074951,6.219483852386475
phase,0,0.005,237568,0.018739897629310345,1.1018397808074951,6.219483852386475
phase,0,0.01,237568,0.018840921336206896,1.1018397808074951,6.219483852386475
phase,1,1e-05,540672,0.01935369318181818,0.48252880573272705,4.858931064605713
phase,1,0.0001,540672,0.01935369318181818,0.48252880573272705,4.858931064605713
phase,1,0.0005,540672,0.01936664003314394,0.48252880573272705,4.858931064605713
phase,1,0.001,540672,0.019438772490530304,0.48252880573272705,4.858931064605713
phase,1,0.005,540672,0.01970880681818182,0.48252880573272705,4.858931064605713
phase,1,0.01,540672,0.020322857481060608,0.48252880573272705,4.858931064605713
phase,2,1e-05,204800,0.02482421875,0.38702070713043213,3.8956503868103027
phase,2,0.0001,204800,0.02482421875,0.38702070713043213,3.8956503868103027
phase,2,0.0005,204800,0.02482421875,0.38702070713043213,3.8956503868103027
phase,2,0.001,204800,0.02482421875,0.38702070713043213,3.8956503868103027
phase,2,0.005,204800,0.024833984375,0.38702070713043213,3.8956503868103027
phase,2,0.01,204800,0.0254296875,0.38702070713043213,3.8956503868103027
layer,0,1e-05,30720,0.6501302083333333,1.8914138877335063e-07,1.3903464078903198
layer,0,0.0001,30720,0.6501302083333333,1.8914138877335063e-07,1.3903464078903198
layer,0,0.0005,30720,0.650390625,1.8914138877335063e-07,1.3903464078903198
layer,0,0.001,30720,0.6516927083333334,1.8914138877335063e-07,1.3903464078903198
layer,0,0.005,30720,0.6573567708333333,1.8914138877335063e-07,1.3903464078903198
layer,0,0.01,30720,0.6659505208333333,1.8914138877335063e-07,1.3903464078903198
layer,1,1e-05,30720,0.0,0.06485384702682495,2.044032096862793
layer,1,0.0001,30720,0.0,0.06485384702682495,2.044032096862793
layer,1,0.0005,30720,0.0,0.06485384702682495,2.044032096862793
layer,1,0.001,30720,0.0,0.06485384702682495,2.044032096862793
layer,1,0.005,30720,0.0,0.06485384702682495,2.044032096862793
layer,1,0.01,30720,0.006966145833333334,0.06485384702682495,2.044032096862793
layer,2,1e-05,30720,0.0,0.09191857278347015,2.207169532775879
layer,2,0.0001,30720,0.0,0.09191857278347015,2.207169532775879
layer,2,0.0005,30720,0.0,0.09191857278347015,2.207169532775879
layer,2,0.001,30720,0.0,0.09191857278347015,2.207169532775879
layer,2,0.005,30720,0.0,0.09191857278347015,2.207169532775879
layer,2,0.01,30720,0.0,0.09191857278347015,2.207169532775879
layer,3,1e-05,30720,0.0,0.08271011710166931,2.0376017093658447
layer,3,0.0001,30720,0.0,0.08271011710166931,2.0376017093658447
layer,3,0.0005,30720,0.0,0.08271011710166931,2.0376017093658447
layer,3,0.001,30720,0.0,0.08271011710166931,2.0376017093658447
layer,3,0.005,30720,0.0,0.08271011710166931,2.0376017093658447
layer,3,0.01,30720,0.0,0.08271011710166931,2.0376017093658447
layer,4,1e-05,30720,0.0,0.08205035328865051,1.3421212434768677
layer,4,0.0001,30720,0.0,0.08205035328865051,1.3421212434768677
layer,4,0.0005,30720,0.0,0.08205035328865051,1.3421212434768677
layer,4,0.001,30720,0.0,0.08205035328865051,1.3421212434768677
layer,4,0.005,30720,0.0,0.08205035328865051,1.3421212434768677
layer,4,0.01,30720,0.0,0.08205035328865051,1.3421212434768677
layer,5,1e-05,30720,0.0,0.10669678449630737,2.819003105163574
layer,5,0.0001,30720,0.0,0.10669678449630737,2.819003105163574
layer,5,0.0005,30720,0.0,0.10669678449630737,2.819003105163574
