estimator,accumulation_rule,budget,decision_tiles,reused_tiles,reuse_fraction,mixed_steps_with_reuse,safe_mixed_step_fraction_at_1pct,median_mixed_attention_error,p99_mixed_attention_error,maximum_mixed_attention_error
representation_drift,sum,0.001,7680,3548,0.46197916666666666,74,1.0,0.0,0.0,0.0
representation_drift,sum,0.005,7680,3548,0.46197916666666666,74,1.0,0.0,0.0,0.0
representation_drift,sum,0.01,7680,3548,0.46197916666666666,74,1.0,0.0,0.0,0.0
representation_drift,sum,0.05,7680,3548,0.46197916666666666,74,1.0,0.0,0.0,0.0
representation_drift,sum,0.1,7680,3548,0.46197916666666666,74,1.0,0.0,0.0,0.0
representation_drift,sum,0.25,7680,3548,0.46197916666666666,74,1.0,0.0,0.0,0.0
representation_drift,sum,0.5,7680,3548,0.46197916666666666,74,1.0,0.0,0.0,0.0
representation_drift,sum,1.0,7680,4659,0.606640625,120,0.35,0.037651024758815765,0.3968486487865448,0.454814076423645
representation_drift,rss,0.001,7680,3548,0.46197916666666666,74,1.0,0.0,0.0,0.0
representation_drift,rss,0.005,7680,3548,0.46197916666666666,74,1.0,0.0,0.0,0.0
representation_drift,rss,0.01,7680,3548,0.46197916666666666,74,1.0,0.0,0.0,0.0
representation_drift,rss,0.05,7680,3548,0.46197916666666666,74,1.0,0.0,0.0,0.0
representation_drift,rss,0.1,7680,3548,0.46197916666666666,74,1.0,0.0,0.0,0.0
representation_drift,rss,0.25,7680,3548,0.46197916666666666,74,1.0,0.0,0.0,0.0
representation_drift,rss,0.5,7680,3548,0.46197916666666666,74,1.0,0.0,0.0,0.0
representation_drift,rss,1.0,7680,4659,0.606640625,120,0.35,0.037651024758815765,0.3968486487865448,0.454814076423645
representation_drift,max,0.001,7680,3548,0.46197916666666666,74,1.0,0.0,0.0,0.0
representation_drift,max,0.005,7680,3548,0.46197916666666666,74,1.0,0.0,0.0,0.0
representation_drift,max,0.01,7680,3548,0.46197916666666666,74,1.0,0.0,0.0,0.0
representation_drift,max,0.05,7680,3548,0.46197916666666666,74,1.0,0.0,0.0,0.0
representation_drift,max,0.1,7680,3548,0.46197916666666666,74,1.0,0.0,0.0,0.0
representation_drift,max,0.25,7680,3548,0.46197916666666666,74,1.0,0.0,0.0,0.0
representation_drift,max,0.5,7680,3548,0.46197916666666666,74,1.0,0.0,0.0,0.0
representation_drift,max,1.0,7680,5496,0.715625,120,0.125,0.11161048710346222,0.7489559650421143,0.7587651014328003
representation_drift,decay,0.001,7680,3548,0.46197916666666666,74,1.0,0.0,0.0,0.0
representation_drift,decay,0.005,7680,3548,0.46197916666666666,74,1.0,0.0,0.0,0.0
representation_drift,decay,0.01,7680,3548,0.46197916666666666,74,1.0,0.0,0.0,0.0
representation_drift,decay,0.05,7680,3548,0.46197916666666666,74,1.0,0.0,0.0,0.0
representation_drift,decay,0.1,7680,3548,0.46197916666666666,74,1.0,0.0,0.0,0.0
representation_drift,decay,0.25,7680,3548,0.46197916666666666,74,1.0,0.0,0.0,0.0
representation_drift,decay,0.5,7680,3548,0.46197916666666666,74,1.0,0.0,0.0,0.0
representation_drift,decay,1.0,7680,4659,0.606640625,120,0.35,0.037651024758815765,0.3968486487865448,0.454814076423645
oracle_one_step_output_drift,sum,0.001,7680,4215,0.548828125,90,1.0,0.003314719535410404,0.009440470486879349,0.009690267965197563
oracle_one_step_output_drift,sum,0.005,7680,5370,0.69921875,117,0.042735042735042736,0.036199554800987244,0.1347312182188034,0.1407739371061325
oracle_one_step_output_drift,sum,0.01,7680,6298,0.8200520833333333,120,0.0,0.08100789785385132,0.579363226890564,0.6289531588554382
oracle_one_step_output_drift,sum,0.05,7680,7444,0.9692708333333333,120,0.0,0.21708886325359344,0.8064210414886475,0.8370568156242371
oracle_one_step_output_drift,sum,0.1,7680,7645,0.9954427083333334,120,0.0,0.30021777749061584,0.9824984073638916,0.9836316108703613
oracle_one_step_output_drift,sum,0.25,7680,7674,0.99921875,120,0.0,0.9631391763687134,0.9835962057113647,0.9837306141853333
oracle_one_step_output_drift,sum,0.5,7680,7680,1.0,120,0.0,0.9755271673202515,0.9837117791175842,0.9849830269813538
oracle_one_step_output_drift,sum,1.0,7680,7680,1.0,120,0.0,0.9755271673202515,0.9837117791175842,0.9849830269813538
oracle_one_step_output_drift,rss,0.001,7680,4297,0.5595052083333333,90,0.9555555555555556,0.0039725592359900475,0.014843898825347424,0.017737099900841713
oracle_one_step_output_drift,rss,0.005,7680,5561,0.7240885416666667,118,0.025423728813559324,0.04929756000638008,0.13471056520938873,0.1407739371061325
oracle_one_step_output_drift,rss,0.01,7680,6667,0.8680989583333333,120,0.0,0.12470680475234985,0.579363226890564,0.6289531588554382
oracle_one_step_output_drift,rss,0.05,7680,7621,0.9923177083333333,120,0.0,0.21369995176792145,0.8044987916946411,0.8370568156242371
oracle_one_step_output_drift,rss,0.1,7680,7667,0.9983072916666667,120,0.0,0.8698983192443848,0.9835962057113647,0.9837306141853333
oracle_one_step_output_drift,rss,0.25,7680,7678,0.9997395833333333,120,0.0,0.9736909866333008,0.9837117791175842,0.9849830269813538
oracle_one_step_output_drift,rss,0.5,7680,7680,1.0,120,0.0,0.9755271673202515,0.9837117791175842,0.9849830269813538
oracle_one_step_output_drift,rss,1.0,7680,7680,1.0,120,0.0,0.9755271673202515,0.9837117791175842,0.9849830269813538
oracle_one_step_output_drift,max,0.001,7680,4349,0.5662760416666667,90,0.8666666666666667,0.004835197236388922,0.01831834390759468,0.01962793804705143
oracle_one_step_output_drift,max,0.005,7680,5839,0.7602864583333333,120,0.008333333333333333,0.060634978115558624,0.1346692591905594,0.1407739371061325
oracle_one_step_output_drift,max,0.01,7680,7105,0.9251302083333334,120,0.0,0.15564239025115967,0.579363226890564,0.6289531588554382
oracle_one_step_output_drift,max,0.05,7680,7633,0.9938802083333333,120,0.0,0.23798078298568726,0.8044987916946411,0.8370568156242371
oracle_one_step_output_drift,max,0.1,7680,7670,0.9986979166666666,120,0.0,0.8698983192443848,0.9835962057113647,0.9837306141853333
oracle_one_step_output_drift,max,0.25,7680,7678,0.9997395833333333,120,0.0,0.9736909866333008,0.9837117791175842,0.9849830269813538
oracle_one_step_output_drift,max,0.5,7680,7680,1.0,120,0.0,0.9755271673202515,0.9837117791175842,0.9849830269813538
oracle_one_step_output_drift,max,1.0,7680,7680,1.0,120,0.0,0.9755271673202515,0.9837117791175842,0.9849830269813538
oracle_one_step_output_drift,decay,0.001,7680,4260,0.5546875,90,0.9666666666666667,0.0035368758253753185,0.013352198526263237,0.016169320791959763
oracle_one_step_output_drift,decay,0.005,7680,5489,0.7147135416666667,117,0.042735042735042736,0.04532608762383461,0.1347312182188034,0.1407739371061325
oracle_one_step_output_drift,decay,0.01,7680,6518,0.8486979166666667,120,0.0,0.11589361727237701,0.579363226890564,0.6289531588554382
oracle_one_step_output_drift,decay,0.05,7680,7596,0.9890625,120,0.0,0.18610166013240814,0.8044987916946411,0.8370568156242371
oracle_one_step_output_drift,decay,0.1,7680,7664,0.9979166666666667,120,0.0,0.3838152289390564,0.9835962057113647,0.9837306141853333
oracle_one_step_output_drift,decay,0.25,7680,7678,0.9997395833333333,120,0.0,0.9736909866333008,0.9837117791175842,0.9849830269813538
oracle_one_step_output_drift,decay,0.5,7680,7680,1.0,120,0.0,0.9755271673202515,0.9837117791175842,0.9849830269813538
oracle_one_step_output_drift,decay,1.0,7680,7680,1.0,120,0.0,0.9755271673202515,0.9837117791175842,0.9849830269813538
