policy,split,total_tiles,baseline_skipped_tiles,baseline_kept_tiles,additional_skipped_tiles,baseline_physical_sparsity,new_physical_sparsity,additional_physical_sparsity,downstream_work_reduction,unsafe_removals,unsafe_removal_rate,unsafe_wilson95_upper,new_max_removals,affected_masked_rows,maximum_masked_relative_error,p99_masked_relative_error,mean_masked_relative_error,pv_tiles_eliminated,v_bytes_avoided,softmax_elements_avoided,pv_flops_avoided,qk_flops_avoided,optimistic_kernel_speedup,half_downstream_kernel_speedup,passes_offline_work_gate
k_veto_1,calibration,786432,285190,501242,25533,0.36263783772786456,0.39510472615559894,0.032466888427734375,0.050939466365547977,25016,0.9797516938863432,0.981408527790286,0,2221919,0.9103947281837463,0.31426581740379333,0.008599843761181213,25533,418332672,209166336,53546582016,0,1.0536735693459658,1.0261353947127339,False
k_veto_1,heldout,786432,220192,566240,22704,0.2799886067708333,0.3088582356770833,0.02886962890625,0.04009607233681831,22019,0.9698291050035236,0.9719758995852055,0,1872445,0.9261155128479004,0.3125123679637909,0.00850396515318207,22704,371982336,185991168,47613739008,0,1.0417709222572193,1.0204581825521546,False
k_veto_1,final_benchmark,786432,328882,457550,28234,0.41819508870442706,0.4540964762369792,0.035901387532552086,0.06170691727680035,27863,0.9868598144081604,0.9881234245399672,0,2487084,0.9671013951301575,0.3334878385066986,0.008786947667680303,28234,462585856,231292928,59210989568,0,1.065765077472072,1.03183570009449,False
k_veto_1_visible_only,calibration,786432,285190,501242,13736,0.36263783772786456,0.38010406494140625,0.017466227213541668,0.027403928641255123,13342,0.971316249271986,0.9739785574853886,0,1093835,0.758061945438385,0.24438342452049255,0.009286465808942847,13736,225050624,112525312,28806479872,0,1.0281760634740906,1.013892316343497,False
k_veto_1_visible_only,heldout,786432,220192,566240,11962,0.2799886067708333,0.29519907633463544,0.015210469563802084,0.02112531788640859,11597,0.9694867079083765,0.972421380801998,0,914686,0.7747644186019897,0.2345629632472992,0.00910353282267084,11962,195985408,97992704,25086132224,0,1.021581228192351,1.0106754197612176,False
k_veto_1_visible_only,final_benchmark,786432,328882,457550,12858,0.41819508870442706,0.4345448811848958,0.01634979248046875,0.028101846792700252,12678,0.9860009332711153,0.9878913753908983,0,1035949,0.9191864728927612,0.2528037130832672,0.010098010073372337,12858,210665472,105332736,26965180416,0,1.028914394682162,1.0142511654301174,False
k_veto_1_nonmasked_only,calibration,786432,285190,501242,13736,0.36263783772786456,0.38010406494140625,0.017466227213541668,0.027403928641255123,13342,0.971316249271986,0.9739785574853886,0,1093835,0.758061945438385,0.24438342452049255,0.009286465808942847,13736,225050624,112525312,28806479872,0,1.0281760634740906,1.013892316343497,False
k_veto_1_nonmasked_only,heldout,786432,220192,566240,11962,0.2799886067708333,0.29519907633463544,0.015210469563802084,0.02112531788640859,11597,0.9694867079083765,0.972421380801998,0,914686,0.7747644186019897,0.2345629632472992,0.00910353282267084,11962,195985408,97992704,25086132224,0,1.021581228192351,1.0106754197612176,False
k_veto_1_nonmasked_only,final_benchmark,786432,328882,457550,12858,0.41819508870442706,0.4345448811848958,0.01634979248046875,0.028101846792700252,12678,0.9860009332711153,0.9878913753908983,0,1035949,0.9191864728927612,0.2528037130832672,0.010098010073372337,12858,210665472,105332736,26965180416,0,1.028914394682162,1.0142511654301174,False
k_veto_1_stable_only,calibration,786432,285190,501242,6935,0.36263783772786456,0.3714561462402344,0.008818308512369791,0.013835632289393147,6820,0.9834174477289113,0.9861664021130568,0,473706,0.758061945438385,0.27771756052970886,0.013672251230523257,6935,113623040,56811520,14543749120,0,1.0140297426498106,1.006966005691332,False
k_veto_1_stable_only,heldout,786432,220192,566240,5660,0.2799886067708333,0.2871856689453125,0.007197062174479167,0.009995761514552134,5522,0.9756183745583039,0.9793253715622448,0,406886,0.7747644186019897,0.23516899347305298,0.012251028476419071,5660,92733440,46366720,11869880320,0,1.010096685575654,1.0050229850375392,False
k_veto_1_stable_only,final_benchmark,786432,328882,457550,5097,0.41819508870442706,0.42467625935872394,0.006481170654296875,0.011139766145776418,5080,0.9966647047282715,0.997916502930686,0,355523,0.9191864728927612,0.2681903541088104,0.016125668095840495,5097,83509248,41754624,10689183744,0,1.0112652584909372,1.0056010804359985,False
k_veto_2,calibration,786432,285190,501242,39398,0.36263783772786456,0.4127349853515625,0.050097147623697914,0.0786007557227846,38672,0.9815726686633839,0.9828544994623091,0,3455150,0.9241943359375,0.31976377964019775,0.008988404311317888,39398,645496832,322748416,82623594496,0,1.0853058608534483,1.0409080808982791,False
k_veto_2,heldout,786432,220192,566240,35550,0.2799886067708333,0.32519276936848956,0.04520416259765625,0.06278256569652445,34517,0.9709423347398031,0.9726381429051505,0,2974010,0.9261155128479004,0.316823273897171,0.008736590994776413,35550,582451200,291225600,74553753600,0,1.0669882605664323,1.0324086313620742,False
k_veto_2,final_benchmark,786432,328882,457550,43783,0.41819508870442706,0.47386805216471356,0.05567296346028646,0.09569008851491641,43299,0.9889454811228102,0.9898828619650656,0,3905288,0.9671013951301575,0.34066861867904663,0.00910077926711167,43783,717340672,358670336,91819606016,0,1.1058155918669204,1.0502492204329767,False
k_veto_2_visible_only,calibration,786432,285190,501242,17714,0.36263783772786456,0.385162353515625,0.022524515787760418,0.03534021490617307,17237,0.9730721463249408,0.9753552890285997,0,1385642,0.758061945438385,0.24462364614009857,0.009875274928967944,17714,290226176,145113088,37148950528,0,1.0366349001505601,1.0179879565786936,False
k_veto_2_visible_only,heldout,786432,220192,566240,15683,0.2799886067708333,0.2999305725097656,0.019941965738932293,0.027696736366205142,15209,0.9697761907798252,0.9723427297453991,0,1196889,0.8127123117446899,0.234658882021904,0.009378719440827429,15683,256950272,128475136,32889634816,0,1.0284856972120962,1.0140428385821236,False
k_veto_2_visible_only,final_benchmark,786432,328882,457550,16753,0.41819508870442706,0.4394976298014323,0.021302541097005207,0.036614577641787785,16532,0.98680833283591,0.9884278351962718,0,1348173,0.9191864728927612,0.25454920530319214,0.01051093921412534,16753,274481152,137240576,35133587456,0,1.0380061570291994,1.0186486958825487,False
k_veto_2_nonmasked_only,calibration,786432,285190,501242,17714,0.36263783772786456,0.385162353515625,0.022524515787760418,0.03534021490617307,17237,0.9730721463249408,0.9753552890285997,0,1385642,0.758061945438385,0.24462364614009857,0.009875274928967944,17714,290226176,145113088,37148950528,0,1.0366349001505601,1.0179879565786936,False
k_veto_2_nonmasked_only,heldout,786432,220192,566240,15683,0.2799886067708333,0.2999305725097656,0.019941965738932293,0.027696736366205142,15209,0.9697761907798252,0.9723427297453991,0,1196889,0.8127123117446899,0.234658882021904,0.009378719440827429,15683,256950272,128475136,32889634816,0,1.0284856972120962,1.0140428385821236,False
k_veto_2_nonmasked_only,final_benchmark,786432,328882,457550,16753,0.41819508870442706,0.4394976298014323,0.021302541097005207,0.036614577641787785,16532,0.98680833283591,0.9884278351962718,0,1348173,0.9191864728927612,0.25454920530319214,0.01051093921412534,16753,274481152,137240576,35133587456,0,1.0380061570291994,1.0186486958825487,False
k_veto_2_stable_only,calibration,786432,285190,501242,8735,0.36263783772786456,0.3737449645996094,0.011107126871744791,0.01742671204727457,8603,0.9848883800801373,0.9872419176249995,0,586836,0.758061945438385,0.2728881239891052,0.014571814996012514,8735,143114240,71557120,18318622720,0,1.0177357885268636,1.008789945952147,False
k_veto_2_stable_only,heldout,786432,220192,566240,6971,0.2799886067708333,0.2888526916503906,0.008864084879557291,0.01231103419044928,6787,0.9736049347295941,0.9771152530700095,0,499080,0.7747644186019897,0.22996455430984497,0.012726445957436683,6971,114212864,57106432,14619246592,0,1.0124644848900977,1.0061936421654558,False
k_veto_2_stable_only,final_benchmark,786432,328882,457550,6459,0.41819508870442706,0.4264081319173177,0.008213043212890625,0.014116490001092778,6439,0.9969035454404707,0.997994567559371,0,450014,0.9191864728927612,0.2677815556526184,0.016786491642482235,6459,105824256,52912128,13545504768,0,1.0143186186379245,1.0071084179560466,False
k_veto_4,calibration,786432,285190,501242,55582,0.36263783772786456,0.4333140055338542,0.07067616780598958,0.11088855283475846,54643,0.9831060415242344,0.9841445261225361,0,4942651,0.9304538369178772,0.3244907259941101,0.009466914079863215,55582,910655488,455327744,116563902464,0,1.1247183951891577,1.0586987882589751,False
k_veto_4,heldout,786432,220192,566240,51351,0.2799886067708333,0.34528477986653644,0.06529617309570312,0.09068769426391636,49926,0.9722498101302799,0.9736355484293273,0,4375942,1.0032613277435303,0.3191547095775604,0.009081923103642598,51351,841334784,420667392,107690852352,0,1.0997321752843816,1.0474975696702244,False
k_veto_4,final_benchmark,786432,328882,457550,61918,0.41819508870442706,0.4969278971354167,0.07873280843098958,0.13532510108184898,61308,0.9901482606027326,0.99089636327805,0,5613164,0.9671013951301575,0.3374336361885071,0.009544792273127954,61918,1014464512,507232256,129851457536,0,1.1565040239414406,1.07257302662269,False
k_veto_4_visible_only,calibration,786432,285190,501242,20259,0.36263783772786456,0.3883984883626302,0.025760650634765625,0.04041760267495541,19743,0.9745298385902562,0.9766109998035686,0,1568258,0.8628863096237183,0.2443319708108902,0.010303273700022573,20259,331923456,165961728,42486202368,0,1.0421199917668609,1.0206256204026571,False
k_veto_4_visible_only,heldout,786432,220192,566240,17915,0.2799886067708333,0.3027687072753906,0.022780100504557293,0.03163852783272111,17401,0.9713089589729277,0.9736542531467094,0,1361055,0.8127123117446899,0.23813465237617493,0.009821896691583,17915,293519360,146759680,37570478080,0,1.032672229061232,1.016073535415162,False
k_veto_4_visible_only,final_benchmark,786432,328882,457550,19023,0.41819508870442706,0.4423840840657552,0.024188995361328125,0.04157578406731505,18778,0.9871208537034116,0.9886276354376428,0,1522880,0.9191864728927612,0.2550419569015503,0.010925788021708868,19023,311672832,155836416,39894122496,0,1.0433793130183546,1.021229202401133,False
k_veto_4_nonmasked_only,calibration,786432,285190,501242,20259,0.36263783772786456,0.3883984883626302,0.025760650634765625,0.04041760267495541,19743,0.9745298385902562,0.9766109998035686,0,1568258,0.8628863096237183,0.2443319708108902,0.010303273700022573,20259,331923456,165961728,42486202368,0,1.0421199917668609,1.0206256204026571,False
k_veto_4_nonmasked_only,heldout,786432,220192,566240,17915,0.2799886067708333,0.3027687072753906,0.022780100504557293,0.03163852783272111,17401,0.9713089589729277,0.9736542531467094,0,1361055,0.8127123117446899,0.23813465237617493,0.009821896691583,17915,293519360,146759680,37570478080,0,1.032672229061232,1.016073535415162,False
k_veto_4_nonmasked_only,final_benchmark,786432,328882,457550,19023,0.41819508870442706,0.4423840840657552,0.024188995361328125,0.04157578406731505,18778,0.9871208537034116,0.9886276354376428,0,1522880,0.9191864728927612,0.2550419569015503,0.010925788021708868,19023,311672832,155836416,39894122496,0,1.0433793130183546,1.021229202401133,False
k_veto_4_stable_only,calibration,786432,285190,501242,9852,0.36263783772786456,0.37516530354817706,0.0125274658203125,0.019655176541470986,9708,0.9853836784409257,0.9875713499484994,0,657515,0.8628863096237183,0.2697179615497589,0.015130677567717086,9852,161415168,80707584,20661141504,0,1.0200492480514458,1.0099251283456507,False
k_veto_4_stable_only,heldout,786432,220192,566240,7867,0.2799886067708333,0.2899920145670573,0.010003407796223959,0.013893402090986154,7674,0.9754671412228295,0.9786605270697305,0,560832,0.7747644186019897,0.2328796684741974,0.01336079978050468,7867,128892928,64446464,16498294784,0,1.0140891482933452,1.006995295270462,False
k_veto_4_stable_only,final_benchmark,786432,328882,457550,7394,0.41819508870442706,0.4275970458984375,0.009401957194010416,0.016159982515572067,7369,0.9966188801731133,0.9977086929428035,0,515486,0.9191864728927612,0.2630460560321808,0.017149189293574413,7394,121143296,60571648,15506341888,0,1.0164254169665627,1.008145809325927,False
k_veto_8,calibration,786432,285190,501242,72538,0.36263783772786456,0.4548746744791667,0.09223683675130208,0.14471652415400146,71383,0.9840773112024043,0.9849629498771157,0,6573530,0.930653989315033,0.32627415657043457,0.010007106626880839,72538,1188462592,594231296,152123211776,0,1.1692029932074346,1.0780023786327377,False
k_veto_8,heldout,786432,220192,566240,67754,0.2799886067708333,0.36614227294921875,0.08615366617838542,0.11965597626448149,65907,0.9727396168491897,0.9739392271752421,0,5919015,1.0032613277435303,0.31575730443000793,0.009410074327189575,67754,1110081536,555040768,142090436608,0,1.1359195644411277,1.0636351512032205,False
k_veto_8,final_benchmark,786432,328882,457550,81403,0.41819508870442706,0.521704355875651,0.10350926717122395,0.17791061086220086,80689,0.9912288244904979,0.9918465846825822,0,7520245,0.9671013951301575,0.3323158025741577,0.010008861912078662,81403,1333706752,666853376,170714464256,0,1.2164127322562721,1.0976409894721944,False
k_veto_8_visible_only,calibration,786432,285190,501242,21469,0.36263783772786456,0.3899370829264323,0.027299245198567707,0.0428316062899757,20941,0.975406399925474,0.9773947016750674,0,1654925,0.8628863096237183,0.24333606660366058,0.010554337337794765,21469,351748096,175874048,45023756288,0,1.044748245524446,1.021884476791894,False
k_veto_8_visible_only,heldout,786432,220192,566240,18828,0.2799886067708333,0.3039296468098958,0.0239410400390625,0.03325091833851371,18302,0.9720628850647971,0.9743221971463305,0,1427647,0.8127123117446899,0.23464128375053406,0.010046811838815898,18828,308477952,154238976,39485177856,0,1.0343945693554397,1.0169065381286075,False
k_veto_8_visible_only,final_benchmark,786432,328882,457550,20103,0.41819508870442706,0.4437573750813802,0.025562286376953125,0.04393618183805049,19840,0.9869173755160922,0.9883976956422303,0,1606916,0.9191864728927612,0.25336360931396484,0.011147184945417185,20103,329367552,164683776,42159046656,0,1.0459552814398088,1.022461527804004,False
k_veto_8_nonmasked_only,calibration,786432,285190,501242,21469,0.36263783772786456,0.3899370829264323,0.027299245198567707,0.0428316062899757,20941,0.975406399925474,0.9773947016750674,0,1654925,0.8628863096237183,0.24333606660366058,0.010554337337794765,21469,351748096,175874048,45023756288,0,1.044748245524446,1.021884476791894,False
k_veto_8_nonmasked_only,heldout,786432,220192,566240,18828,0.2799886067708333,0.3039296468098958,0.0239410400390625,0.03325091833851371,18302,0.9720628850647971,0.9743221971463305,0,1427647,0.8127123117446899,0.23464128375053406,0.010046811838815898,18828,308477952,154238976,39485177856,0,1.0343945693554397,1.0169065381286075,False
k_veto_8_nonmasked_only,final_benchmark,786432,328882,457550,20103,0.41819508870442706,0.4437573750813802,0.025562286376953125,0.04393618183805049,19840,0.9869173755160922,0.9883976956422303,0,1606916,0.9191864728927612,0.25336360931396484,0.011147184945417185,20103,329367552,164683776,42159046656,0,1.0459552814398088,1.022461527804004,False
k_veto_8_stable_only,calibration,786432,285190,501242,10436,0.36263783772786456,0.37590789794921875,0.013270060221354166,0.020820282418472513,10288,0.9858183211958604,0.9879146988325745,0,695926,0.8628863096237183,0.2655399441719055,0.015360604072846826,10436,170983424,85491712,21885878272,0,1.021262983745105,1.0105196522748898,False
k_veto_8_stable_only,heldout,786432,220192,566240,8328,0.2799886067708333,0.2905782063802083,0.010589599609375,0.014707544504097203,8132,0.9764649375600384,0.9795077585607895,0,594330,0.7747644186019897,0.22992368042469025,0.01360073232410866,8328,136445952,68222976,17465081856,0,1.0149270852750971,1.0074082508415232,False
k_veto_8_stable_only,final_benchmark,786432,328882,457550,7968,0.41819508870442706,0.42832692464192706,0.0101318359375,0.017414490219648127,7937,0.996109437751004,0.9972576858315412,0,558843,0.9191864728927612,0.25698786973953247,0.017164417991725762,7968,130547712,65273856,16710107136,0,1.0177231294847213,1.0087837271753173,False
k_veto_16,calibration,786432,285190,501242,90101,0.36263783772786456,0.4772071838378906,0.11456934611002605,0.17975548736937447,88701,0.9844618816661302,0.9852490476657563,0,8350325,0.930653989315033,0.32345399260520935,0.010582080637579974,90101,1476214784,738107392,188955492352,0,1.2191486618945813,1.0987534840083606,False
k_veto_16,heldout,786432,220192,566240,85321,0.2799886067708333,0.38847986857096356,0.1084912618001302,0.15067992370726194,83044,0.9733125490793592,0.9743728589187031,0,7685104,1.0032613277435303,0.3158087730407715,0.009753977060687792,85321,1397899264,698949632,178931105792,0,1.1774124124852625,1.0814785529227176,False
k_veto_16,final_benchmark,786432,328882,457550,101416,0.41819508870442706,0.5471522013346354,0.12895711263020834,0.2216500928860234,100611,0.9920623964660409,0.9925902126692955,0,9536188,0.9671013951301575,0.33007049560546875,0.010572373428984412,101416,1661599744,830799872,212684767232,0,1.2847692160815873,1.1246380658830701,True
k_veto_16_visible_only,calibration,786432,285190,501242,22153,0.36263783772786456,0.3908068339029948,0.028168996175130207,0.04419621659797064,21619,0.9758949126529138,0.977833617563026,0,1706195,0.8628863096237183,0.24215802550315857,0.010667772898906632,22153,362954752,181477376,46458208256,0,1.0462398427014605,1.0225974696301554,False
k_veto_16_visible_only,heldout,786432,220192,566240,19378,0.2799886067708333,0.30462900797526044,0.024640401204427082,0.03422223792031647,18842,0.9723397667457943,0.9745568531434773,0,1468799,0.8127123117446899,0.2340768724679947,0.010206583693122748,19378,317489152,158744576,40638611456,0,1.035434899481039,1.017409006542078,False
k_veto_16_visible_only,final_benchmark,786432,328882,457550,20901,0.41819508870442706,0.44477208455403644,0.026576995849609375,0.045680253524205,20635,0.9872733362040094,0.9887059309292693,0,1670979,0.9191864728927612,0.2511332929134369,0.011260329087020245,20901,342441984,171220992,43832573952,0,1.0478668220928022,1.0233739916953608,False
k_veto_16_nonmasked_only,calibration,786432,285190,501242,22153,0.36263783772786456,0.3908068339029948,0.028168996175130207,0.04419621659797064,21619,0.9758949126529138,0.977833617563026,0,1706195,0.8628863096237183,0.24215802550315857,0.010667772898906632,22153,362954752,181477376,46458208256,0,1.0462398427014605,1.0225974696301554,False
k_veto_16_nonmasked_only,heldout,786432,220192,566240,19378,0.2799886067708333,0.30462900797526044,0.024640401204427082,0.03422223792031647,18842,0.9723397667457943,0.9745568531434773,0,1468799,0.8127123117446899,0.2340768724679947,0.010206583693122748,19378,317489152,158744576,40638611456,0,1.035434899481039,1.017409006542078,False
