policy,split,total_tiles,baseline_skipped_tiles,baseline_kept_tiles,additional_skipped_tiles,baseline_physical_sparsity,new_physical_sparsity,additional_physical_sparsity,downstream_work_reduction,unsafe_removals,unsafe_removal_rate,unsafe_wilson95_upper,new_max_removals,affected_masked_rows,maximum_masked_relative_error,p99_masked_relative_error,mean_masked_relative_error,pv_tiles_eliminated,v_bytes_avoided,softmax_elements_avoided,pv_flops_avoided,qk_flops_avoided,optimistic_kernel_speedup,half_downstream_kernel_speedup,passes_offline_work_gate
k_veto_1,calibration,786432,285190,501242,41894,0.36263783772786456,0.4159088134765625,0.053270975748697914,0.08358038632038017,41153,0.9823125029837209,0.9835312040002033,16361,2547379,1.0560336112976074,0.3399350345134735,0.010201758785696985,41894,686391296,343195648,87858085888,0,1.0912031836429026,1.0436127796458425,False
k_veto_1,heldout,786432,220192,566240,43800,0.2799886067708333,0.3356831868489583,0.055694580078125,0.07735235942356598,42712,0.9751598173515982,0.9765762385902461,21096,2335512,0.9939560294151306,0.3279845714569092,0.01040227692177347,43800,717619200,358809600,91855257600,0,1.0838373784549422,1.0402322078112944,False
k_veto_1,final_benchmark,786432,328882,457550,44287,0.41819508870442706,0.47450892130533856,0.05631383260091146,0.09679160747459294,43854,0.9902228644974823,0.9910976863766939,16053,2857139,0.9671013951301575,0.35662201046943665,0.010613203780950105,44287,725598208,362799104,92876570624,0,1.1071642029409843,1.05085707264361,False
k_veto_1_visible_only,calibration,786432,285190,501242,30097,0.36263783772786456,0.4009081522623698,0.03827031453450521,0.060044848596087316,29479,0.9794663919992026,0.981008458050858,16361,1419295,1.0560336112976074,0.3228718638420105,0.012004163488739127,30097,493109248,246554624,63117983744,0,1.063880546328625,1.030951668420084,False
k_veto_1_visible_only,heldout,786432,220192,566240,33058,0.2799886067708333,0.32202402750651044,0.042035420735677086,0.05838160497315626,32290,0.9767681045435296,0.9783374164173745,21096,1377753,0.9939560294151306,0.3107665181159973,0.012119958072129039,33058,541622272,270811136,69327650816,0,1.0620013428810424,1.0300685269168708,False
k_veto_1_visible_only,final_benchmark,786432,328882,457550,28911,0.41819508870442706,0.4549573262532552,0.036762237548828125,0.06318653699049284,28669,0.9916294835875619,0.9926163168192954,16053,1406004,0.9191864728927612,0.34212416410446167,0.013464077538186235,28911,473677824,236838912,60630761472,0,1.0674483656410172,1.0326239662193957,False
k_veto_1_nonmasked_only,calibration,786432,285190,501242,30097,0.36263783772786456,0.4009081522623698,0.03827031453450521,0.060044848596087316,29479,0.9794663919992026,0.981008458050858,16361,1419295,1.0560336112976074,0.3228718638420105,0.012004163488739127,30097,493109248,246554624,63117983744,0,1.063880546328625,1.030951668420084,False
k_veto_1_nonmasked_only,heldout,786432,220192,566240,33058,0.2799886067708333,0.32202402750651044,0.042035420735677086,0.05838160497315626,32290,0.9767681045435296,0.9783374164173745,21096,1377753,0.9939560294151306,0.3107665181159973,0.012119958072129039,33058,541622272,270811136,69327650816,0,1.0620013428810424,1.0300685269168708,False
k_veto_1_nonmasked_only,final_benchmark,786432,328882,457550,28911,0.41819508870442706,0.4549573262532552,0.036762237548828125,0.06318653699049284,28669,0.9916294835875619,0.9926163168192954,16053,1406004,0.9191864728927612,0.34212416410446167,0.013464077538186235,28911,473677824,236838912,60630761472,0,1.0674483656410172,1.0326239662193957,False
k_veto_1_stable_only,calibration,786432,285190,501242,16219,0.36263783772786456,0.38326136271158856,0.020623524983723957,0.03235762366282155,15977,0.9850792280658487,0.9868334857963151,9284,669059,1.0560336112976074,0.33076027035713196,0.01682608930509118,16219,265732096,132866048,34013708288,0,1.0334396513155046,1.016444870293481,False
k_veto_1_stable_only,heldout,786432,220192,566240,15816,0.2799886067708333,0.3000996907552083,0.020111083984375,0.027931619101441086,15481,0.9788189175518462,0.9809493973693649,10156,634366,0.9939560294151306,0.3071821928024292,0.015766947826648968,15816,259129344,129564672,33168556032,0,1.0287342121709808,1.0141636159131127,False
k_veto_1_stable_only,final_benchmark,786432,328882,457550,13084,0.41819508870442706,0.43483225504557294,0.016637166341145832,0.028595781881761557,13029,0.9957963925405074,0.996768816899268,7987,535627,0.9191864728927612,0.33326488733291626,0.020683191075015823,13084,214368256,107184128,27439136768,0,1.0294375722777445,1.0145052859372783,False
k_veto_2,calibration,786432,285190,501242,64891,0.36263783772786456,0.44515101114908856,0.08251317342122395,0.12946042031593522,63809,0.9833258849455241,0.9842828641986457,25493,3990625,1.0560336112976074,0.35605114698410034,0.010588229248238058,64891,1063174144,531587072,136086290432,0,1.148712848142894,1.069210201014726,False
k_veto_2,heldout,786432,220192,566240,68253,0.2799886067708333,0.3667767842610677,0.08678817749023438,0.1205372280305171,66637,0.9763233850526717,0.9774374882911688,32703,3722713,0.9939560294151306,0.33739006519317627,0.010549243169564777,68253,1118257152,559128576,143136915456,0,1.1370577946813873,1.06413387369424,False
k_veto_2,final_benchmark,786432,328882,457550,67468,0.41819508870442706,0.5039850870768229,0.08578999837239583,0.14745492295923943,66890,0.9914329756328927,0.9921009569968725,23685,4478875,1.0123318433761597,0.36595404148101807,0.01088384534341771,67468,1105395712,552697856,141490651136,0,1.1729585061602432,1.0795958623553619,False
k_veto_2_visible_only,calibration,786432,285190,501242,42773,0.36263783772786456,0.4170265197753906,0.05438868204752604,0.08533403026881227,41941,0.9805484768428682,0.9818147788947433,25059,1893653,1.0560336112976074,0.3423602879047394,0.012918443256565484,42773,700792832,350396416,89701482496,0,1.0932952936839786,1.0445686253465887,False
k_veto_2_visible_only,heldout,786432,220192,566240,47891,0.2799886067708333,0.3408851623535156,0.06089655558268229,0.0845772110765753,46845,0.9781587354617778,0.9794299688964802,32208,1913509,0.9939560294151306,0.3187410235404968,0.012598000175985585,47891,784646144,392323072,100434706432,0,1.0923914196805629,1.0441558968420295,False
k_veto_2_visible_only,final_benchmark,786432,328882,457550,39971,0.41819508870442706,0.4690208435058594,0.05082575480143229,0.08735875860561687,39657,0.9921443046208501,0.9929637373383553,23218,1890981,1.0123318433761597,0.35304370522499084,0.014228633800061978,39971,654884864,327442432,83825262592,0,1.095720809715048,1.0456744091442518,False
k_veto_2_nonmasked_only,calibration,786432,285190,501242,42773,0.36263783772786456,0.4170265197753906,0.05438868204752604,0.08533403026881227,41941,0.9805484768428682,0.9818147788947433,25059,1893653,1.0560336112976074,0.3423602879047394,0.012918443256565484,42773,700792832,350396416,89701482496,0,1.0932952936839786,1.0445686253465887,False
k_veto_2_nonmasked_only,heldout,786432,220192,566240,47891,0.2799886067708333,0.3408851623535156,0.06089655558268229,0.0845772110765753,46845,0.9781587354617778,0.9794299688964802,32208,1913509,0.9939560294151306,0.3187410235404968,0.012598000175985585,47891,784646144,392323072,100434706432,0,1.0923914196805629,1.0441558968420295,False
k_veto_2_nonmasked_only,final_benchmark,786432,328882,457550,39971,0.41819508870442706,0.4690208435058594,0.05082575480143229,0.08735875860561687,39657,0.9921443046208501,0.9929637373383553,23218,1890981,1.0123318433761597,0.35304370522499084,0.014228633800061978,39971,654884864,327442432,83825262592,0,1.095720809715048,1.0456744091442518,False
k_veto_2_stable_only,calibration,786432,285190,501242,22236,0.36263783772786456,0.39091237386067706,0.0282745361328125,0.04436180527569517,21910,0.9853390897643461,0.9868371114394541,13501,872905,1.0560336112976074,0.34268471598625183,0.017992438413258028,22236,364314624,182157312,46632271872,0,1.0464211304242537,1.0226840554635153,False
k_veto_2_stable_only,heldout,786432,220192,566240,21594,0.2799886067708333,0.30744679768880206,0.02745819091796875,0.038135772817179996,21150,0.9794387329813837,0.9812479684387249,14623,827324,0.9939560294151306,0.3093019127845764,0.0165049501842688,21594,353796096,176898048,45285900288,0,1.0396477712128611,1.019438538247849,False
k_veto_2_stable_only,final_benchmark,786432,328882,457550,17480,0.41819508870442706,0.44042205810546875,0.022226969401041668,0.03820347503005136,17407,0.9958237986270023,0.996676944649811,11021,697071,1.0123318433761597,0.34274592995643616,0.021783373023963843,17480,286392320,143196160,36658216960,0,1.039720953484673,1.019473719391279,False
k_veto_4,calibration,786432,285190,501242,92628,0.36263783772786456,0.48042043050130206,0.1177825927734375,0.184796964340578,91177,0.9843351902232587,0.9851150107777984,37046,5785029,1.130070686340332,0.37433844804763794,0.011095687004118735,92628,1517617152,758808576,194254995456,0,1.226688268145487,1.101805120810326,False
k_veto_4,heldout,786432,220192,566240,97458,0.2799886067708333,0.40391286214192706,0.12392425537109375,0.17211429782424414,95247,0.9773133041925752,0.9782295116235419,46107,5502987,1.0032613277435303,0.34561190009117126,0.010827453515245448,97458,1596751872,798375936,204384239616,0,1.2078962076188933,1.0941603173652348,False
k_veto_4,final_benchmark,786432,328882,457550,93808,0.41819508870442706,0.5374781290690104,0.11928304036458333,0.20502240192328708,93069,0.9921222070612314,0.9926681375486704,31890,6441525,1.0123318433761597,0.37199029326438904,0.011296142266388783,93808,1536950272,768475136,196729634816,0,1.2578970808979992,1.1142200338004022,True
k_veto_4_visible_only,calibration,786432,285190,501242,55300,0.36263783772786456,0.43295542399088544,0.07031758626302083,0.11032595033935703,54296,0.9818444846292947,0.982924264586605,35041,2284705,1.130070686340332,0.36358335614204407,0.013805455224252146,55300,906035200,453017600,115972505600,0,1.124007157881518,1.0583835875606007,False
k_veto_4_visible_only,heldout,786432,220192,566240,61726,0.2799886067708333,0.35847727457682294,0.07848866780598958,0.10901031364792314,60470,0.9796520104980073,0.980736335835149,43811,2338239,0.9939560294151306,0.3328978419303894,0.01337502616819752,61726,1011318784,505659392,129448804352,0,1.1223474472462607,1.0576472280281,False
k_veto_4_visible_only,final_benchmark,786432,328882,457550,49091,0.41819508870442706,0.4806175231933594,0.06242243448893229,0.1072910064473828,48723,0.9925037175857082,0.9932291444796304,30068,2230399,1.0123318433761597,0.36699384450912476,0.01518017523153929,49091,804306944,402153472,102951288832,0,1.1201858693283782,1.0566864778541563,False
k_veto_4_nonmasked_only,calibration,786432,285190,501242,55300,0.36263783772786456,0.43295542399088544,0.07031758626302083,0.11032595033935703,54296,0.9818444846292947,0.982924264586605,35041,2284705,1.130070686340332,0.36358335614204407,0.013805455224252146,55300,906035200,453017600,115972505600,0,1.124007157881518,1.0583835875606007,False
k_veto_4_nonmasked_only,heldout,786432,220192,566240,61726,0.2799886067708333,0.35847727457682294,0.07848866780598958,0.10901031364792314,60470,0.9796520104980073,0.980736335835149,43811,2338239,0.9939560294151306,0.3328978419303894,0.01337502616819752,61726,1011318784,505659392,129448804352,0,1.1223474472462607,1.0576472280281,False
k_veto_4_nonmasked_only,final_benchmark,786432,328882,457550,49091,0.41819508870442706,0.4806175231933594,0.06242243448893229,0.1072910064473828,48723,0.9925037175857082,0.9932291444796304,30068,2230399,1.0123318433761597,0.36699384450912476,0.01518017523153929,49091,804306944,402153472,102951288832,0,1.1201858693283782,1.0566864778541563,False
k_veto_4_stable_only,calibration,786432,285190,501242,27544,0.36263783772786456,0.39766184488932294,0.035024007161458336,0.0549515004728255,27155,0.9858771420273018,0.9872044381215431,17692,1028542,1.130070686340332,0.3606148958206177,0.01900529690936296,27544,451280896,225640448,57763954688,0,1.0581467517278942,1.0282519949945639,False
k_veto_4_stable_only,heldout,786432,220192,566240,26882,0.2799886067708333,0.31417083740234375,0.034182230631510414,0.0474745690873128,26360,0.9805818019492597,0.9821639902079224,19015,985333,0.9939560294151306,0.3164319396018982,0.017428784228276126,26882,440434688,220217344,56375640064,0,1.049840736579415,1.0243144434052884,False
k_veto_4_stable_only,final_benchmark,786432,328882,457550,21232,0.41819508870442706,0.44519297281901044,0.026997884114583332,0.046403671729865585,21146,0.9959495101733233,0.9967187450064522,13838,824734,1.0123318433761597,0.347324013710022,0.02278942172567155,21232,347865088,173932544,44526731264,0,1.048661755875302,1.0237529478625478,False
k_veto_8,calibration,786432,285190,501242,121257,0.36263783772786456,0.5168240865071615,0.15418624877929688,0.24191308788968202,119425,0.9848915938873632,0.9855629849838116,48719,7774458,1.130070686340332,0.3860113024711609,0.011647846745393698,121257,1986674688,993337344,254294360064,0,1.3191099648670341,1.137600187011973,True
k_veto_8,heldout,786432,220192,566240,126450,0.2799886067708333,0.44077809651692706,0.16078948974609375,0.22331520203447303,123661,0.9779438513246342,0.9787389381962106,58696,7471562,1.0437830686569214,0.35570481419563293,0.01111287037436081,126450,2071756800,1035878400,265184870400,0,1.2875235908047022,1.1256920767770344,True
k_veto_8,final_benchmark,786432,328882,457550,120217,0.41819508870442706,0.5710589090983073,0.15286382039388022,0.2627406840782428,119342,0.9927214952960064,0.9931865086327334,38814,8604098,1.0123318433761597,0.3744981586933136,0.011698042207620137,120217,1969635328,984817664,252113321984,0,1.356374858077923,1.15123860995895,True
k_veto_8_visible_only,calibration,786432,285190,501242,65063,0.36263783772786456,0.4453697204589844,0.0827318827311198,0.12980356793724387,63929,0.9825707391297666,0.9835481698284144,43594,2534593,1.130070686340332,0.37870892882347107,0.014519837664765112,65063,1065992192,532996096,136447000576,0,1.1491658241226652,1.069406381977788,False
