split,new_max_protection,estimator,accumulation_rule,base_budget,total_tiles,baseline_skipped_tiles,additional_skipped_tiles,additional_physical_sparsity,downstream_work_reduction,unsafe_removals,unsafe_removal_rate,unsafe_wilson95_upper,new_max_removals,affected_masked_rows,mean_masked_relative_error,maximum_masked_relative_error,half_downstream_kernel_speedup,passes_offline_work_gate
calibration,all,oracle_relative_effect,sum,0.0010000000474974513,786432,285190,91,0.00011571248372395833,0.00018154903220400526,0,0.0,0.04050400392888021,0,9634,6.547282650770098e-05,0.000988890416920185,1.0000907827568628,False
calibration,all,oracle_relative_effect,sum,0.0020000000949949026,786432,285190,318,0.00040435791015625,0.0006344240905590513,0,0.0,0.011935873130733904,0,33514,0.0001627927416866271,0.0019945327658206224,1.0003173127006904,False
calibration,all,oracle_relative_effect,sum,0.004999999888241291,786432,285190,1273,0.0016187032063802083,0.0025396914065461394,0,0.0,0.0030085636663475367,0,133752,0.0004067787458601045,0.004990229383111,1.001271460261623,False
calibration,all,oracle_relative_effect,sum,0.009999999776482582,786432,285190,3486,0.00443267822265625,0.006954724464430355,2080,0.5966724039013196,0.6128421332826663,0,359614,0.0010316304044714734,0.009997586719691753,1.0034894964754684,False
calibration,all,oracle_relative_effect,sum,0.019999999552965164,786432,285190,8687,0.011046091715494791,0.017330949920397732,7135,0.8213422355243467,0.8292550534575817,0,872232,0.0026609605316015154,0.019997883588075638,1.008741221798818,False
calibration,all,oracle_relative_effect,sum,0.05000000074505806,786432,285190,20606,0.026201883951822918,0.04110988305050255,18841,0.9143453363098126,0.9180895736003589,0,2004360,0.005106689234048413,0.04999938979744911,1.0209863139819815,False
calibration,all,oracle_relative_effect,rss,0.0010000000474974513,786432,285190,105,0.000133514404296875,0.00020947965254308298,0,0.0,0.035294076929109894,0,11149,6.454722059114846e-05,0.000988890416920185,1.000104750797852,False
calibration,all,oracle_relative_effect,rss,0.0020000000949949026,786432,285190,389,0.0004946390787760416,0.0007760722365643741,0,0.0,0.009778649209342986,0,41283,0.0001542044827717766,0.0019945327658206224,1.0003881867487614,False
calibration,all,oracle_relative_effect,rss,0.004999999888241291,786432,285190,1692,0.0021514892578125,0.0033756149724085372,0,0.0,0.002265222848936313,0,180326,0.00039011360459870035,0.004990229383111,1.0016906609964908,False
calibration,all,oracle_relative_effect,rss,0.009999999776482582,786432,285190,4913,0.006247202555338542,0.009801652694706349,3027,0.6161204966415632,0.6296237008878031,0,516642,0.0009682361975176001,0.009997586719691753,1.004924962734482,False
calibration,all,oracle_relative_effect,rss,0.019999999552965164,786432,285190,13647,0.017353057861328125,0.027226369697670984,11661,0.8544735106616839,0.8602900624287129,0,1408745,0.0024196995668136624,0.019997883588075638,1.0138010612466968,False
calibration,all,oracle_relative_effect,rss,0.05000000074505806,786432,285190,40149,0.051052093505859375,0.08009903399954513,38119,0.9494383421753967,0.9515388336086911,0,4033005,0.005653694504444096,0.04999938979744911,1.0417203988216162,False
calibration,all,oracle_relative_effect,max,0.0010000000474974513,786432,285190,117,0.000148773193359375,0.00023342018426229246,0,0.0,0.03178924566273338,0,12305,6.618351872686081e-05,0.000988890416920185,1.0001167237149666,False
calibration,all,oracle_relative_effect,max,0.0020000000949949026,786432,285190,460,0.0005849202473958334,0.0009177203825696969,0,0.0,0.008281835846370746,0,49198,0.0001535501448284749,0.001997635466977954,1.0004590708406185,False
calibration,all,oracle_relative_effect,max,0.004999999888241291,786432,285190,2062,0.0026219685872395835,0.004113781367084163,0,0.0,0.0018595128896711462,0,220643,0.0004037024521326408,0.004990229383111,1.0020611302030544,False
calibration,all,oracle_relative_effect,max,0.009999999776482582,786432,285190,6425,0.008169809977213541,0.012818159691326745,4363,0.6790661478599221,0.6903712248180977,0,680799,0.0011155259503977009,0.009998872876167297,1.006450421109593,False
calibration,all,oracle_relative_effect,max,0.019999999552965164,786432,285190,23168,0.029459635416666668,0.04622118657255378,21106,0.9109979281767956,0.9145967134035692,0,2386640,0.004258366525312519,0.019999461248517036,1.0236573281759922,False
calibration,all,oracle_relative_effect,max,0.05000000074505806,786432,285190,92541,0.11767196655273438,0.18462339548561374,90479,0.9777179844609416,0.9786493078773063,0,9275029,0.010870356381018489,0.049999430775642395,1.101699776799206,False
calibration,all,online_relative_proxy,sum,0.0010000000474974513,786432,285190,0,0.0,0.0,0,0.0,1.0,0,0,0.0,0.0,1.0,False
calibration,all,online_relative_proxy,sum,0.0020000000949949026,786432,285190,14,1.7801920572916668e-05,2.7930620339077732e-05,0,0.0,0.2153108027376358,0,1573,0.00015068217195471,0.0019454577704891562,1.000013965505202,False
calibration,all,online_relative_proxy,sum,0.004999999888241291,786432,285190,120,0.000152587890625,0.00023940531719209484,0,0.0,0.031019166418703486,0,13464,0.0004926556776839668,0.0049181142821908,1.000119716989038,False
calibration,all,online_relative_proxy,sum,0.009999999776482582,786432,285190,701,0.0008913675944010416,0.0013985260612638206,504,0.7189728958630528,0.7509852294543694,0,77918,0.0013160837957765543,0.009993831627070904,1.000699752341575,False
calibration,all,online_relative_proxy,sum,0.019999999552965164,786432,285190,2928,0.00372314453125,0.005841489739487114,2666,0.9105191256830601,0.9203273063930647,0,316695,0.003036118674384074,0.019952353090047836,1.0029293006094706,False
calibration,all,online_relative_proxy,sum,0.05000000074505806,786432,285190,10150,0.012906392415364584,0.020249699745831354,9609,0.9466995073891625,0.950903003426157,0,1030134,0.005799868216251499,0.04994257539510727,1.0102284109987163,False
calibration,all,online_relative_proxy,rss,0.0010000000474974513,786432,285190,0,0.0,0.0,0,0.0,1.0,0,0,0.0,0.0,1.0,False
calibration,all,online_relative_proxy,rss,0.0020000000949949026,786432,285190,15,1.9073486328125e-05,2.9925664649011856e-05,0,0.0,0.20388330103584862,0,1688,0.00015369497330073638,0.0019454577704891562,1.0000149630562143,False
calibration,all,online_relative_proxy,rss,0.004999999888241291,786432,285190,139,0.00017674763997395834,0.0002773111590808432,0,0.0,0.026893164298442428,0,15618,0.0004679948373682552,0.0049181142821908,1.0001386748075762,False
calibration,all,online_relative_proxy,rss,0.009999999776482582,786432,285190,870,0.00110626220703125,0.0017356885496426875,606,0.696551724137931,0.7261824294597533,0,96996,0.0012436131033312652,0.009993831627070904,1.0008685980826946,False
calibration,all,online_relative_proxy,rss,0.019999999552965164,786432,285190,4276,0.005437215169270833,0.008530809469278313,3892,0.9101964452759589,0.9184015928677921,0,467738,0.0027097940062801667,0.019952353090047836,1.0042836763480156,False
calibration,all,online_relative_proxy,rss,0.05000000074505806,786432,285190,19621,0.024949391682942707,0.03914476440521744,18852,0.9608072983028388,0.9634335702172933,0,2055902,0.0053588998725608555,0.04994257539510727,1.0199631077779914,False
calibration,all,online_relative_proxy,max,0.0010000000474974513,786432,285190,0,0.0,0.0,0,0.0,1.0,0,0,0.0,0.0,1.0,False
calibration,all,online_relative_proxy,max,0.0020000000949949026,786432,285190,21,2.6702880859375e-05,4.1895930508616595e-05,0,0.0,0.154639018924847,0,2370,0.00012691451368248286,0.0019454577704891562,1.0000209484040807,False
calibration,all,online_relative_proxy,max,0.004999999888241291,786432,285190,198,0.00025177001953125,0.0003950187733669565,0,0.0,0.019032060326648184,0,22268,0.0004314581053735508,0.004933650139719248,1.0001975484043477,False
calibration,all,online_relative_proxy,max,0.009999999776482582,786432,285190,1266,0.00160980224609375,0.0025257260963766005,918,0.7251184834123223,0.7490025109600174,0,139445,0.001361279785629414,0.009993831627070904,1.0012644598878566,False
calibration,all,online_relative_proxy,max,0.019999999552965164,786432,285190,7756,0.009862263997395834,0.015473563667849063,7292,0.9401753481175864,0.9452386855043516,0,829164,0.004082606147605193,0.019952353090047836,1.007797106344649,False
calibration,all,online_relative_proxy,max,0.05000000074505806,786432,285190,48735,0.061969757080078125,0.09722848444463951,47902,0.9829075613009131,0.9840208470067711,0,4962169,0.009735855300564806,0.050259582698345184,1.0510983497754651,False
calibration,critical,oracle_relative_effect,sum,0.0010000000474974513,786432,285190,120,0.000152587890625,0.00023940531719209484,0,0.0,0.031019166418703486,30,10481,7.17699811161971e-05,0.0009984165662899613,1.000119716989038,False
calibration,critical,oracle_relative_effect,sum,0.0020000000949949026,786432,285190,434,0.0005518595377604166,0.0008658492305114097,0,0.0,0.008773629685596515,126,37411,0.00017111098824933808,0.001999419881030917,1.0004331121201537,False
calibration,critical,oracle_relative_effect,sum,0.004999999888241291,786432,285190,1864,0.0023701985677083335,0.0037187625937172065,0,0.0,0.002056630022078812,646,151577,0.00043486886671954925,0.004993048962205648,1.0018628450360776,False
calibration,critical,oracle_relative_effect,sum,0.009999999776482582,786432,285190,5218,0.006635030110677083,0.010410141209236256,3196,0.6124952088922959,0.6256264622350098,1957,407793,0.0010683701760810882,0.009997586719691753,1.005232305122204,False
calibration,critical,oracle_relative_effect,sum,0.019999999552965164,786432,285190,13024,0.016560872395833332,0.025983457092582027,10708,0.8221744471744472,0.8286459858949664,5150,989443,0.0026758597108034747,0.019997883588075638,1.013162735229317,False
calibration,critical,oracle_relative_effect,sum,0.05000000074505806,786432,285190,31125,0.039577484130859375,0.0620957541466996,28510,0.9159839357429719,0.9190147382936611,13483,2264559,0.00510295626470197,0.04999938979744911,1.0320427360018283,False
calibration,critical,oracle_relative_effect,rss,0.0010000000474974513,786432,285190,141,0.000179290771484375,0.0002813012477007114,0,0.0,0.026521818075925647,37,12307,7.31325651987859e-05,0.0009984165662899613,1.0001406704092313,False
calibration,critical,oracle_relative_effect,rss,0.0020000000949949026,786432,285190,534,0.00067901611328125,0.001065353661504822,0,0.0,0.0071423627868278435,152,46633,0.00016392824986696607,0.001999419881030917,1.0005329607265832,False
calibration,critical,oracle_relative_effect,rss,0.004999999888241291,786432,285190,2473,0.0031445821126302085,0.004933744578467088,0,0.0,0.0015509506298893956,804,206916,0.0004145739809489239,0.004993048962205648,1.0024729727972992,False
calibration,critical,oracle_relative_effect,rss,0.009999999776482582,786432,285190,7363,0.009362538655598959,0.014689511254044952,4622,0.6277332608990901,0.6387056614124783,2575,594131,0.0010038458670073127,0.009997586719691753,1.0073991002099243,False
calibration,critical,oracle_relative_effect,rss,0.019999999552965164,786432,285190,20204,0.025690714518229168,0.04030787523790903,17327,0.857602454959414,0.8623531281536411,7215,1610158,0.00243829958357539,0.019997883588075638,1.0205684733477216,False
calibration,critical,oracle_relative_effect,rss,0.05000000074505806,786432,285190,58087,0.07386144002278645,0.11588613883114345,55131,0.94911081653382,0.9508685326016637,21254,4542677,0.005615820986852476,0.04999938979744911,1.0615069721737787,False
calibration,critical,oracle_relative_effect,max,0.0010000000474974513,786432,285190,162,0.00020599365234375,0.00032319717820932805,0,0.0,0.023163440842904465,45,13785,7.538597854704717e-05,0.0009984165662899613,1.0001616247074294,False
calibration,critical,oracle_relative_effect,max,0.0020000000949949026,786432,285190,634,0.0008061726888020834,0.0012648580924982343,0,0.0,0.006022591927148485,174,55735,0.00016426006226663445,0.001999419881030917,1.0006328292658582,False
calibration,critical,oracle_relative_effect,max,0.004999999888241291,786432,285190,2999,0.0038134256998697915,0.005983137885492437,0,0.0,0.0012792746048613506,937,254006,0.0004346136318417748,0.004993048962205648,1.0030005452808197,False
calibration,critical,oracle_relative_effect,max,0.009999999776482582,786432,285190,9645,0.012264251708984375,0.019242202369314624,6646,0.689061689994816,0.6982225720906627,3220,792057,0.0011727787641992336,0.009998872876167297,1.0097145660071773,False
calibration,critical,oracle_relative_effect,max,0.019999999552965164,786432,285190,33097,0.04208501180013021,0.0660299815258897,30098,0.9093875577846935,0.9124328214723618,9929,2767085,0.004362267111063631,0.019999461248517036,1.0341421950160257,False
calibration,critical,oracle_relative_effect,max,0.05000000074505806,786432,285190,128475,0.16336441040039062,0.2563133177187865,125476,0.976656937147305,0.977468432158951,35934,10662876,0.011193608641596067,0.04999949038028717,1.1469950538266767,True
calibration,critical,online_relative_proxy,sum,0.0010000000474974513,786432,285190,0,0.0,0.0,0,0.0,1.0,0,0,0.0,0.0,1.0,False
calibration,critical,online_relative_proxy,sum,0.0020000000949949026,786432,285190,14,1.7801920572916668e-05,2.7930620339077732e-05,0,0.0,0.2153108027376358,0,1573,0.00015068217195471,0.0019454577704891562,1.000013965505202,False
calibration,critical,online_relative_proxy,sum,0.004999999888241291,786432,285190,120,0.000152587890625,0.00023940531719209484,0,0.0,0.031019166418703486,1,13464,0.0005039366225725006,0.0049181142821908,1.000119716989038,False
calibration,critical,online_relative_proxy,sum,0.009999999776482582,786432,285190,706,0.0008977254231770834,0.0014085012828134913,511,0.7237960339943342,0.7554992176473547,8,77899,0.0013204275220570505,0.009993831627070904,1.0007047469599053,False
calibration,critical,online_relative_proxy,sum,0.019999999552965164,786432,285190,3002,0.0038172403971354165,0.005989123018422239,2738,0.9120586275816123,0.9216701913316091,101,318246,0.0030475594237886886,0.019952353090047836,1.0030035558419261,False
calibration,critical,online_relative_proxy,sum,0.05000000074505806,786432,285190,11384,0.014475504557291666,0.022711584424290065,10812,0.94975404075896,0.9536174015573845,1532,1050143,0.005893425812512334,0.05018431693315506,1.0114862274240741,False
calibration,critical,online_relative_proxy,rss,0.0010000000474974513,786432,285190,0,0.0,0.0,0,0.0,1.0,0,0,0.0,0.0,1.0,False
calibration,critical,online_relative_proxy,rss,0.0020000000949949026,786432,285190,15,1.9073486328125e-05,2.9925664649011856e-05,0,0.0,0.20388330103584862,0,1688,0.00015369497330073638,0.0019454577704891562,1.0000149630562143,False
calibration,critical,online_relative_proxy,rss,0.004999999888241291,786432,285190,139,0.00017674763997395834,0.0002773111590808432,0,0.0,0.026893164298442428,1,15618,0.0004777199393005908,0.0049181142821908,1.0001386748075762,False
calibration,critical,online_relative_proxy,rss,0.009999999776482582,786432,285190,874,0.0011113484700520833,0.0017436687268824241,613,0.7013729977116705,0.7307792542128746,9,96859,0.0012479559291501219,0.009993831627070904,1.0008725951218538,False
calibration,critical,online_relative_proxy,rss,0.019999999552965164,786432,285190,4358,0.005541483561197917,0.008694403102692911,3975,0.9121156493804498,0.9201627527469128,115,468878,0.0027199525997017517,0.019952353090047836,1.0043661822254906,False
calibration,critical,online_relative_proxy,rss,0.05000000074505806,786432,285190,21207,0.026966094970703125,0.04230890468077296,20410,0.962418069505352,0.9648951057378806,2017,2080845,0.005390720596907656,0.05018431693315506,1.0216116346352764,False
calibration,critical,online_relative_proxy,max,0.0010000000474974513,786432,285190,0,0.0,0.0,0,0.0,1.0,0,0,0.0,0.0,1.0,False
calibration,critical,online_relative_proxy,max,0.0020000000949949026,786432,285190,21,2.6702880859375e-05,4.1895930508616595e-05,0,0.0,0.154639018924847,0,2370,0.00012691451368248286,0.0019454577704891562,1.0000209484040807,False
calibration,critical,online_relative_proxy,max,0.004999999888241291,786432,285190,199,0.0002530415852864583,0.0003970138176768906,0,0.0,0.018938233056634942,1,22386,0.0004383530340963797,0.004933650139719248,1.0001985463216552,False
calibration,critical,online_relative_proxy,max,0.009999999776482582,786432,285190,1276,0.0016225179036458333,0.002545676539475942,927,0.7264890282131662,0.7502401548142591,10,139902,0.0013665311096812444,0.009993831627070904,1.0012744604517743,False
calibration,critical,online_relative_proxy,max,0.019999999552965164,786432,285190,7961,0.010122934977213541,0.01588254775138556,7491,0.9409621906795629,0.9459300772471928,205,838639,0.004123095742292556,0.019952353090047836,1.0080048425224957,False
calibration,critical,online_relative_proxy,max,0.05000000074505806,786432,285190,54156,0.0688629150390625,0.1080436196487924,53266,0.9835659945343083,0.9846029824075855,5421,5166175,0.010006289206598176,0.050259582698345184,1.0571068237993606,False
calibration,masked,oracle_relative_effect,sum,0.0010000000474974513,786432,285190,120,0.000152587890625,0.00023940531719209484,0,0.0,0.031019166418703486,30,10481,7.17699811161971e-05,0.0009984165662899613,1.000119716989038,False
calibration,masked,oracle_relative_effect,sum,0.0020000000949949026,786432,285190,434,0.0005518595377604166,0.0008658492305114097,0,0.0,0.008773629685596515,126,37411,0.00017111098824933808,0.001999419881030917,1.0004331121201537,False
calibration,masked,oracle_relative_effect,sum,0.004999999888241291,786432,285190,1868,0.0023752848307291665,0.003726742770956943,0,0.0,0.002052235141278652,652,151930,0.0004352752183765828,0.004993048962205648,1.0018668500203873,False
calibration,masked,oracle_relative_effect,sum,0.009999999776482582,786432,285190,5231,0.006651560465494792,0.0104360767852654,3205,0.612693557637163,0.6258072115974457,1973,408581,0.0010716580193848334,0.009997586719691753,1.0052454091389045,False
calibration,masked,oracle_relative_effect,sum,0.019999999552965164,786432,285190,13053,0.016597747802734375,0.026041313377570117,10729,0.8219566383206925,0.828424299008044,5203,990960,0.0026745250406459173,0.019997883588075638,1.0131924308011373,False
calibration,masked,oracle_relative_effect,sum,0.05000000074505806,786432,285190,31147,0.03960545857747396,0.06213964512151815,28523,0.9157543262593508,0.9187879235384111,13646,2263829,0.005107777260486546,0.04999938979744911,1.0320661109378104,False
calibration,masked,oracle_relative_effect,rss,0.0010000000474974513,786432,285190,141,0.000179290771484375,0.0002813012477007114,0,0.0,0.026521818075925647,37,12307,7.31325651987859e-05,0.0009984165662899613,1.0001406704092313,False
calibration,masked,oracle_relative_effect,rss,0.0020000000949949026,786432,285190,534,0.00067901611328125,0.001065353661504822,0,0.0,0.0071423627868278435,152,46633,0.00016392824986696607,0.001999419881030917,1.0005329607265832,False
calibration,masked,oracle_relative_effect,rss,0.004999999888241291,786432,285190,2476,0.0031483968098958335,0.0049397297113968905,0,0.0,0.0015490743599878994,813,207063,0.00041521971359476475,0.004993048962205648,1.0024759801921586,False
calibration,masked,oracle_relative_effect,rss,0.009999999776482582,786432,285190,7392,0.0093994140625,0.014747367539033041,4642,0.6279761904761905,0.6389255976570933,2609,595853,0.0010067521606612936,0.009997586719691753,1.0074284588761642,False
calibration,masked,oracle_relative_effect,rss,0.019999999552965164,786432,285190,20263,0.025765736897786457,0.04042558285219515,17378,0.8576222671864976,0.8623658350284038,7304,1613332,0.002440231784542121,0.019997883588075638,1.0206297768017585,False
calibration,masked,oracle_relative_effect,rss,0.05000000074505806,786432,285190,58218,0.07402801513671875,0.11614748963574481,55252,0.9490535573190422,0.9508102813968663,21611,4548837,0.005615578640498793,0.04999938979744911,1.0616542372594164,False
calibration,masked,oracle_relative_effect,max,0.0010000000474974513,786432,285190,162,0.00020599365234375,0.00032319717820932805,0,0.0,0.023163440842904465,45,13785,7.538597854704717e-05,0.0009984165662899613,1.0001616247074294,False
calibration,masked,oracle_relative_effect,max,0.0020000000949949026,786432,285190,634,0.0008061726888020834,0.0012648580924982343,0,0.0,0.006022591927148485,174,55735,0.00016426006226663445,0.001999419881030917,1.0006328292658582,False
calibration,masked,oracle_relative_effect,max,0.004999999888241291,786432,285190,3009,0.003826141357421875,0.006003088328591778,0,0.0,0.001275028531437487,947,254783,0.0004359170741090358,0.004993048962205648,1.0030105805547913,False
calibration,masked,oracle_relative_effect,max,0.009999999776482582,786432,285190,9690,0.01232147216796875,0.01933197936326166,6681,0.6894736842105263,0.6986099357279444,3265,795040,0.0011755360342667106,0.009998872876167297,1.0097603329593048,False
calibration,masked,oracle_relative_effect,max,0.019999999552965164,786432,285190,33334,0.042386372884114586,0.06650280702734408,30325,0.9097318053638928,0.9127610760439657,10166,2783982,0.004383604780922469,0.019999461248517036,1.0343950884795956,False
calibration,masked,oracle_relative_effect,max,0.05000000074505806,786432,285190,129620,0.16482035319010416,0.2585976434536611,126611,0.9767859898163863,0.9775917299692359,37079,10743591,0.011244109688128622,0.04999949038028717,1.1484996517212303,True
calibration,masked,online_relative_proxy,sum,0.0010000000474974513,786432,285190,0,0.0,0.0,0,0.0,1.0,0,0,0.0,0.0,1.0,False
calibration,masked,online_relative_proxy,sum,0.0020000000949949026,786432,285190,14,1.7801920572916668e-05,2.7930620339077732e-05,0,0.0,0.2153108027376358,0,1573,0.00015068217195471,0.0019454577704891562,1.000013965505202,False
calibration,masked,online_relative_proxy,sum,0.004999999888241291,786432,285190,120,0.000152587890625,0.00023940531719209484,0,0.0,0.031019166418703486,1,13464,0.0005039366225725006,0.0049181142821908,1.000119716989038,False
calibration,masked,online_relative_proxy,sum,0.009999999776482582,786432,285190,706,0.0008977254231770834,0.0014085012828134913,511,0.7237960339943342,0.7554992176473547,8,77899,0.0013204275220570505,0.009993831627070904,1.0007047469599053,False
