split,condition,threshold,correct,count,accuracy,delta_pp,ci95_pp,whole,global_s,local_s,mass,agreement,local_operator_error
calibration6,blasst_aggressive_s50,local: exp(8.09133)/L; global: exp(7.77928)/L,2.0,6,33.33333333333333,-16.666666666666664,"[-50.0, 0.0]",53.17263404512445,55.425815281375094,52.63142453163662,68.32372376536898,2.381398837427339,0.516763016978589
calibration6,dense,none / ranking budget,3.0,6,50.0,0.0,"[0.0, 0.0]",0.0,0.0,0.0,100.0,100.0,0.0
calibration6,full_centered_s50,local: exp(-0.740297); global: exp(-1.21186),4.0,6,66.66666666666666,16.666666666666664,"[0.0, 50.0]",50.345883425836945,48.46137331684528,50.78883573533568,73.87113634700648,4.254883911220211,0.25856371034024156
calibration6,jl_gaussian_r8_s50,local: exp(-0.759528); global: exp(-1.26821),3.0,6,50.0,0.0,"[0.0, 0.0]",50.51558530455452,47.68119599093356,51.190475186575036,72.68255258529308,4.604604604604605,0.26788673590281414
calibration6,mass_s50,local: exp(-0.0184422); global: exp(-0.04564),2.0,6,33.33333333333333,-16.666666666666664,"[-50.0, 0.0]",50.71063380989052,52.27434120465435,50.330235607542775,75.20922671295742,5.582622817701989,0.3034595396972594
full,blasst_aggressive_s50,local: exp(8.09133)/L; global: exp(7.77928)/L,8.0,30,26.666666666666668,-30.0,"[-50.0, -13.333333333333334]",50.463550873718845,49.28671149564146,50.75256875463575,70.93859770303932,2.2977441091533084,0.4785776926138719
full,dense,none / ranking budget,17.0,30,56.666666666666664,0.0,"[0.0, 0.0]",0.0,0.0,0.0,100.0,100.0,0.0
full,full_centered_s50,local: exp(-0.740297); global: exp(-1.21186),17.0,30,56.666666666666664,0.0,"[-16.666666666666664, 16.666666666666664]",51.10848074007042,50.90320797219895,51.15882637806881,72.7766750043076,4.906875143711198,0.2580077073274631
full,jl_gaussian_r8_s50,local: exp(-0.759528); global: exp(-1.26821),15.0,30,50.0,-6.666666666666667,"[-23.333333333333332, 10.0]",50.589937728275515,48.85361997763056,51.0158891038607,72.88059534472796,5.086403651776981,0.26518603639216615
full,mass_s50,local: exp(-0.0184422); global: exp(-0.04564),16.0,30,53.333333333333336,-3.3333333333333335,"[-16.666666666666664, 10.0]",51.482878562133905,53.181126682647985,51.068315180258026,74.5224815912568,4.758490904202885,0.3063325403705725
noncalibration24,blasst_aggressive_s50,local: exp(8.09133)/L; global: exp(7.77928)/L,6.0,24,25.0,-33.33333333333333,"[-54.166666666666664, -12.5]",49.76571814962087,47.74037534843722,50.26594600285641,71.63731975471666,2.273706896551724,0.4668264324873876
noncalibration24,dense,none / ranking budget,14.0,24,58.333333333333336,0.0,"[0.0, 0.0]",0.0,0.0,0.0,100.0,100.0,0.0
noncalibration24,full_centered_s50,local: exp(-0.740297); global: exp(-1.21186),13.0,24,54.166666666666664,-4.166666666666666,"[-20.833333333333336, 12.5]",51.30743935843252,51.513425584150255,51.256364139457666,72.47569813506539,5.095957049209504,0.25785405005741363
noncalibration24,jl_gaussian_r8_s50,local: exp(-0.759528); global: exp(-1.26821),12.0,24,50.0,-8.333333333333332,"[-29.166666666666668, 12.5]",50.60938961698488,49.15121583962603,50.969878212749876,72.93318335647017,5.232487556149083,0.2644572344950224
noncalibration24,mass_s50,local: exp(-0.0184422); global: exp(-0.04564),14.0,24,58.333333333333336,0.0,"[-16.666666666666664, 16.666666666666664]",51.66753331283805,53.397204054671185,51.24494929369807,74.35292805965682,4.52506899724011,0.3070427612576441
