benchmark,split,condition,name,target,config,method,thresholds,count,accuracy,dense_accuracy,delta,paired_ci95,matching_tokens,compared_tokens,token_agreement,sequence_exact_match,relative_accuracy,length_terminated,empty_outputs,overall_eligible,overall_skipped,overall_softmax_skipped,overall_pv_omitted,overall_compensated,overall_mass_sum,overall_rows,overall_error_sq,overall_dense_sq,overall_denominator_mass_sum,overall_same_budget_best_mass_sum,overall_wrongly_replaced_vs_mass,overall_unnecessarily_retained_vs_mass,overall_physical_sparsity,overall_pv_omission,overall_mass,overall_denominator_mass,overall_relative_error,overall_rescued_rows,overall_prefix_eligible,overall_prefix_skipped,overall_prefix_replaced,overall_canvas_eligible,overall_canvas_skipped,overall_canvas_replaced,overall_boundary_eligible,overall_boundary_skipped,overall_boundary_replaced,overall_softmax_sparsity,overall_compensation_fraction,overall_mass_selection_gap,overall_wrongly_replaced_fraction,overall_rescued_row_rate,overall_prefix_sparsity,overall_canvas_sparsity,overall_boundary_sparsity,global_eligible,global_skipped,global_softmax_skipped,global_pv_omitted,global_compensated,global_mass_sum,global_rows,global_error_sq,global_dense_sq,global_denominator_mass_sum,global_same_budget_best_mass_sum,global_wrongly_replaced_vs_mass,global_unnecessarily_retained_vs_mass,global_physical_sparsity,global_pv_omission,global_mass,global_denominator_mass,global_relative_error,global_rescued_rows,global_prefix_eligible,global_prefix_skipped,global_prefix_replaced,global_canvas_eligible,global_canvas_skipped,global_canvas_replaced,global_boundary_eligible,global_boundary_skipped,global_boundary_replaced,global_softmax_sparsity,global_compensation_fraction,global_mass_selection_gap,global_wrongly_replaced_fraction,global_rescued_row_rate,global_prefix_sparsity,global_canvas_sparsity,global_boundary_sparsity,local_eligible,local_skipped,local_softmax_skipped,local_pv_omitted,local_compensated,local_mass_sum,local_rows,local_error_sq,local_dense_sq,local_denominator_mass_sum,local_same_budget_best_mass_sum,local_wrongly_replaced_vs_mass,local_unnecessarily_retained_vs_mass,local_physical_sparsity,local_pv_omission,local_mass,local_denominator_mass,local_relative_error,local_rescued_rows,local_prefix_eligible,local_prefix_skipped,local_prefix_replaced,local_canvas_eligible,local_canvas_skipped,local_canvas_replaced,local_boundary_eligible,local_boundary_skipped,local_boundary_replaced,local_softmax_sparsity,local_compensation_fraction,local_mass_selection_gap,local_wrongly_replaced_fraction,local_rescued_row_rate,local_prefix_sparsity,local_canvas_sparsity,local_boundary_sparsity,overall_mass_sample_p10_p50_p90,overall_relative_error_sample_p10_p50_p90,overall_physical_sparsity_sample_p10_p50_p90,global_mass_sample_p10_p50_p90,global_relative_error_sample_p10_p50_p90,global_physical_sparsity_sample_p10_p50_p90,local_mass_sample_p10_p50_p90,local_relative_error_sample_p10_p50_p90,local_physical_sparsity_sample_p10_p50_p90,equal_task_macro,dense_equal_task_macro,correct,unparsed_answers
aime26,calibration6,blasst_aggressive_s50,blasst_aggressive,0.5,"{""method"": ""blasst""}",blasst,"{""global"": {""log_scale"": 7.779279118037186, ""source"": ""existing AIME26 refined aggressive policy"", ""source_sha256"": ""25f4b8a909373450454895db3594bdd80091ffde568115199c9c2a74095e1bd1""}, ""local"": {""log_scale"": 8.091333801578767, ""source"": ""existing AIME26 refined aggressive policy"", ""source_sha256"": ""25f4b8a909373450454895db3594bdd80091ffde568115199c9c2a74095e1bd1""}}",6,0.3333333333333333,0.5,-0.16666666666666666,"(-0.5, 0.0)",254,10666,0.02381398837427339,0.0,0.6666666666666666,2,0,14034080.0,7462290.0,7462290.0,7462290.0,0.0,87986088.9675039,128778240.0,4159175701.836639,15574869523.559113,87986088.9675039,101233536.84324265,1761285.0,1761285.0,0.5317263404512445,0.5317263404512445,0.6832372376536898,0.6832372376536898,0.516763016978589,0.0,9003680.0,4872096.0,4872096.0,4024320.0,2111684.0,2111684.0,1006080.0,478510.0,478510.0,0.5317263404512445,0.0,0.1028702354973848,0.1255005671907243,0.0,0.5411227409237112,0.5247306377226463,0.4756182410941476,2718080.0,1506518.0,1506518.0,1506518.0,0.0,14782554.192881227,21463040.0,768094284.7547871,4294760241.515381,14782554.192881227,16073809.916446686,222220.0,222220.0,0.5542581528137509,0.5542581528137509,0.6887446602569453,0.6887446602569453,0.4229001165226417,0.0,1879680.0,1088524.0,1088524.0,670720.0,351056.0,351056.0,167680.0,66938.0,66938.0,0.5542581528137509,0.0,0.060161828127118025,0.08175623969861079,0.0,0.5791006979911474,0.523401717557252,0.39920085877862593,11316000.0,5955772.0,5955772.0,5955772.0,0.0,73203534.77462268,107315200.0,3391081417.081852,11280109282.043732,73203534.77462268,85159726.92679596,1539065.0,1539065.0,0.5263142453163662,0.5263142453163662,0.6821357531330388,0.6821357531330388,0.5482926889090479,0.0,7124000.0,3783572.0,3783572.0,3353600.0,1760628.0,1760628.0,838400.0,411572.0,411572.0,0.5263142453163662,0.0,0.11141191697143817,0.13600786496995404,0.0,0.5311021897810219,0.5249964217557251,0.4909017175572519,"[0.5822304748018126, 0.702387414893161, 0.723696225275354]","[0.4324123802412268, 0.5018226160939081, 0.6484134109622932]","[0.4988344351854632, 0.5020120628064888, 0.5918473973917375]","[0.5569482376941, 0.7228025113685508, 0.7460731611819731]","[0.3339515601775285, 0.3898091912900842, 0.5406586460997312]","[0.47759927704146987, 0.5002598200859463, 0.6316048621431455]","[0.587286922223355, 0.6981071149169131, 0.7194181187752002]","[0.46495268662646977, 0.539149943073429, 0.6843822069485963]","[0.4987769359659573, 0.5075075301204819, 0.5811332035595106]",0.3333333333333333,0.5,2.0,0
aime26,calibration6,dense,dense,0.0,{},dense,,6,0.5,0.5,0.0,"(0.0, 0.0)",9326,9326,1.0,1.0,1.0,2,0,8978960.0,0.0,0.0,0.0,0.0,72622080.0,72622080.0,0.0,7994571985.4534,72622080.0,72622080.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6142160.0,0.0,0.0,2269440.0,0.0,0.0,567360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1805760.0,0.0,0.0,0.0,0.0,12103680.0,12103680.0,0.0,2295551748.0529785,12103680.0,12103680.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1332960.0,0.0,0.0,378240.0,0.0,0.0,94560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7173200.0,0.0,0.0,0.0,0.0,60518400.0,60518400.0,0.0,5699020237.400421,60518400.0,60518400.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4809200.0,0.0,0.0,1891200.0,0.0,0.0,472800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.5,0.5,3.0,0
aime26,calibration6,full_centered_s50,full_centered,0.5,"{""family"": ""identity""}",centered,"{""global"": {""log_threshold"": -1.2118581533432007}, ""local"": {""log_threshold"": -0.7402970194816589}}",6,0.6666666666666666,0.5,0.16666666666666666,"(0.0, 0.5)",416,9777,0.04254883911220211,0.0,1.3333333333333333,1,0,12237360.0,6161007.0,0.0,6161007.0,0.0,74887603.18314129,101376000.0,721152064.4658239,10786777206.126373,74887603.18314129,88996439.2059288,1907069.0,1907069.0,0.5034588342583695,0.5034588342583695,0.7387113634700648,0.7387113634700648,0.25856371034024156,0.0,8277360.0,4581020.0,4581020.0,3168000.0,1321744.0,1321744.0,792000.0,258243.0,258243.0,0.0,0.0,0.13917333513639826,0.15583990337785275,0.0,0.5534397440729895,0.4172171717171717,0.32606439393939396,2328960.0,1128646.0,0.0,1128646.0,0.0,13736821.08801651,16896000.0,84964393.91126394,3097473407.5439453,13736821.08801651,14691856.97823906,263342.0,263342.0,0.48461373316845285,0.48461373316845285,0.8130220814403711,0.8130220814403711,0.16562072773500733,0.0,1668960.0,894962.0,894962.0,528000.0,199040.0,199040.0,132000.0,34644.0,34644.0,0.0,0.0,0.05652437797245203,0.11307278785380599,0.0,0.5362393346754866,0.37696969696969695,0.26245454545454544,9908400.0,5032361.0,0.0,5032361.0,0.0,61150782.09512479,84480000.0,636187670.55456,7689303798.582428,61150782.09512479,74304582.22768974,1643727.0,1643727.0,0.5078883573533568,0.5078883573533568,0.7238492198760037,0.7238492198760037,0.2876398900841061,0.0,6608400.0,3686058.0,3686058.0,2640000.0,1122704.0,1122704.0,660000.0,223599.0,223599.0,0.0,0.0,0.15570312656918744,0.16589227322272013,0.0,0.5577837297984384,0.4252666666666667,0.33878636363636366,"[0.7156744589960743, 0.7513913181860326, 0.771115623240276]","[0.23629709570331217, 0.24764021951693443, 0.2728881505980534]","[0.48017942934168467, 0.49786063910640255, 0.5200967891708907]","[0.7749861612578639, 0.8398593817011156, 0.8625355974103595]","[0.13738173788140046, 0.14995059574754094, 0.18603868307246924]","[0.3899568393197965, 0.4472745981855024, 0.5177693035117703]","[0.7038121185437164, 0.7336977054830158, 0.7528316284062594]","[0.26712733040227676, 0.27411115535886416, 0.3039795228222214]","[0.4947053637271425, 0.5097278047704887, 0.5228665142364912]",0.6666666666666666,0.5,4.0,0
aime26,calibration6,jl_gaussian_r8_s50,jl_gaussian_r8,0.5,"{""family"": ""gaussian"", ""rank"": 8}",centered,"{""global"": {""log_threshold"": -1.268207311630249}, ""local"": {""log_threshold"": -0.7595282196998596}}",6,0.5,0.5,0.0,"(0.0, 0.0)",460,9990,0.04604604604604605,0.0,1.0,1,0,11745680.0,5933399.0,0.0,5933399.0,0.0,68681174.55432546,94494720.0,724414108.9084057,10094492252.621094,68681174.55432546,82960687.7493496,1867592.0,1867592.0,0.5051558530455452,0.5051558530455452,0.7268255258529308,0.7268255258529308,0.26788673590281414,0.0,8054480.0,4434392.0,4434392.0,2952960.0,1245740.0,1245740.0,738240.0,253267.0,253267.0,0.0,0.0,0.15111440295313994,0.1590024587763331,0.0,0.5505497561605467,0.42186145426961424,0.3430686497615951,2258880.0,1077061.0,0.0,1077061.0,0.0,12791131.613137245,15749120.0,77638220.72095746,2887899652.9208984,12791131.613137245,13801916.556756973,260105.0,260105.0,0.4768119599093356,0.4768119599093356,0.8121807195028831,0.8121807195028831,0.163963332889698,0.0,1643680.0,858949.0,858949.0,492160.0,184820.0,184820.0,123040.0,33292.0,33292.0,0.0,0.0,0.06418040777006767,0.11514777234735799,0.0,0.5225767789350725,0.3755282834850455,0.2705786736020806,9486800.0,4856338.0,0.0,4856338.0,0.0,55890042.94118821,78745600.0,646775888.1874481,7206592599.700195,55890042.94118821,69158771.19259262,1607487.0,1607487.0,0.5119047518657504,0.5119047518657504,0.7097544871229403,0.7097544871229403,0.29957938495683967,0.0,6410800.0,3575443.0,3575443.0,2460800.0,1060920.0,1060920.0,615200.0,219975.0,219975.0,0.0,0.0,0.1685012019897545,0.16944459670278703,0.0,0.5577218131902415,0.43112808842652794,0.35756664499349805,"[0.7030446082360531, 0.7393629621271552, 0.7608300783090987]","[0.24472152674554287, 0.26645876050273365, 0.2806485183086431]","[0.47756472089000684, 0.48979315908728793, 0.5231519978041945]","[0.7772462999975123, 0.832117585533191, 0.8640907628776402]","[0.1369243834902873, 0.15335112148754937, 0.18156566449352063]","[0.3759205080199901, 0.42222166843399944, 0.5281725484166631]","[0.6882042698837612, 0.7199724977182813, 0.7410174811230571]","[0.27513973891471744, 0.2977257398014027, 0.31604704426301]","[0.4977216003566791, 0.50573229414026, 0.5218164606958178]",0.5,0.5,3.0,0
aime26,calibration6,mass_s50,mass,0.5,"{""method"": ""mass""}",mass,"{""global"": {""dense_unattainable"": false, ""log_threshold"": -0.045639991760253906}, ""local"": {""dense_unattainable"": false, ""log_threshold"": -0.018442153930664062}}",6,0.3333333333333333,0.5,-0.16666666666666666,"(-0.5, 0.0)",550,9852,0.0558262281770199,0.0,0.6666666666666666,2,0,11946800.0,6058298.0,6058298.0,6058298.0,0.0,73471592.73898125,97689600.0,989484901.3423874,10745028758.412872,73471592.73898125,84570349.71657562,1696249.0,1696249.0,0.5071063380989052,0.5071063380989052,0.7520922671295741,0.7520922671295741,0.3034595396972594,0.0,8130800.0,4263101.0,4263101.0,3052800.0,1479184.0,1479184.0,763200.0,316013.0,316013.0,0.5071063380989052,0.0,0.1136124723368135,0.14198354371044966,0.0,0.5243150735474984,0.4845335429769392,0.41406315513626835,2337600.0,1221965.0,1221965.0,1221965.0,0.0,12695687.04748106,16281600.0,164640189.46719936,2998835101.152588,12695687.04748106,13703669.66657734,241698.0,241698.0,0.5227434120465435,0.5227434120465435,0.7797567221575926,0.7797567221575926,0.2343104379685526,0.0,1701600.0,946851.0,946851.0,508800.0,232752.0,232752.0,127200.0,42362.0,42362.0,0.5227434120465435,0.0,0.06190930984032768,0.10339579055441478,0.0,0.5564474612129761,0.45745283018867927,0.33303459119496853,9609200.0,4836333.0,4836333.0,4836333.0,0.0,60775905.69150019,81408000.0,824844711.8751881,7746193657.260284,60775905.69150019,70866680.04999828,1454551.0,1454551.0,0.5033023560754277,0.5033023560754277,0.7465593761239705,0.7465593761239705,0.32631866989525427,0.0,6429200.0,3316250.0,3316250.0,2544000.0,1246432.0,1246432.0,636000.0,273651.0,273651.0,0.5033023560754277,0.0,0.12395310483611066,0.15137066561212173,0.0,0.5158106762894294,0.4899496855345912,0.4302688679245283,"[0.7301062546232543, 0.7634490620519716, 0.775676692049754]","[0.2941006085152137, 0.3030994711989425, 0.31143396702827575]","[0.49170840543263084, 0.5012653961261379, 0.5182552573099333]","[0.7437455507391778, 0.8026937138842103, 0.8263169808036763]","[0.21405544104899984, 0.2281031599131993, 0.24726886554619137]","[0.4331290937559763, 0.49484556152601067, 0.5558709987284387]","[0.7273783954000697, 0.7523138374212692, 0.7688349285632241]","[0.31676752481553516, 0.32619588121897225, 0.33808760562253926]","[0.49053212762224513, 0.5038677995155108, 0.5197774626666447]",0.3333333333333333,0.5,2.0,0
aime26,full,blasst_aggressive_s50,blasst_aggressive,0.5,"{""method"": ""blasst""}",blasst,"{""global"": {""log_scale"": 7.779279118037186, ""source"": ""existing AIME26 refined aggressive policy"", ""source_sha256"": ""25f4b8a909373450454895db3594bdd80091ffde568115199c9c2a74095e1bd1""}, ""local"": {""log_scale"": 8.091333801578767, ""source"": ""existing AIME26 refined aggressive policy"", ""source_sha256"": ""25f4b8a909373450454895db3594bdd80091ffde568115199c9c2a74095e1bd1""}}",30,0.26666666666666666,0.5666666666666667,-0.3,"(-0.5, -0.13333333333333333)",1098,47786,0.022977441091533084,0.0,0.47058823529411764,9,0,68516320.0,34575768.0,34575768.0,34575768.0,0.0,433231663.82174873,610713600.0,15771030928.220703,68858123053.13351,433231663.82174873,490448547.66157436,8566868.0,8566868.0,0.5046355087371884,0.5046355087371884,0.7093859770303932,0.7093859770303932,0.4785776926138719,0.0,44660320.0,22838572.0,22838572.0,19084800.0,9595213.0,9595213.0,4771200.0,2141983.0,2141983.0,0.5046355087371884,0.0,0.09368856996114976,0.1250339773064286,0.0,0.5113839757529727,0.502767280767941,0.4489400989268947,13509120.0,6658201.0,6658201.0,6658201.0,0.0,74223834.70089081,101785600.0,2691722868.1698713,19122988629.83496,74223834.70089081,79311701.04194832,1102027.0,1102027.0,0.4928671149564146,0.4928671149564146,0.7292174403932463,0.7292174403932463,0.3751779349939087,0.0,9533120.0,4816280.0,4816280.0,3180800.0,1563611.0,1563611.0,795200.0,278310.0,278310.0,0.4928671149564146,0.0,0.049986111405321665,0.08157652015823384,0.0,0.5052155013259038,0.4915779049295775,0.3499874245472837,55007200.0,27917567.0,27917567.0,27917567.0,0.0,359007829.12085795,508928000.0,13079308060.05083,49735134423.29855,359007829.12085795,411136846.61962605,7464841.0,7464841.0,0.5075256875463575,0.5075256875463575,0.7054196843578227,0.7054196843578227,0.5128150194606678,0.0,35127200.0,18022292.0,18022292.0,15904000.0,8031602.0,8031602.0,3976000.0,1863673.0,1863673.0,0.5075256875463575,0.0,0.10242906167231532,0.13570661658837388,0.0,0.5130580291056503,0.5050051559356137,0.4687306338028169,"[0.5500054111766577, 0.7189196073179704, 0.7496564237614728]","[0.3899615040298852, 0.4568183932263874, 0.7195310879971519]","[0.46828791660990965, 0.5024048235191243, 0.6180000114856832]","[0.5399303529074072, 0.7436801563073434, 0.7783449005930677]","[0.2919900540484231, 0.34606291556650987, 0.5664861721903147]","[0.4425285398436594, 0.49734043748256695, 0.6151280381944444]","[0.5520204228305078, 0.7143592918371227, 0.742735363943161]","[0.4214868323530502, 0.4956693991417256, 0.7705012608901115]","[0.47393927646663186, 0.5075075301204819, 0.6005]",0.26666666666666666,0.5666666666666667,8.0,0
aime26,full,dense,dense,0.0,{},dense,,30,0.5666666666666667,0.5666666666666667,0.0,"(0.0, 0.0)",38409,38409,1.0,1.0,1.0,4,0,35251360.0,0.0,0.0,0.0,0.0,291348480.0,291348480.0,0.0,31958010529.408142,291348480.0,291348480.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23870560.0,0.0,0.0,9104640.0,0.0,0.0,2276160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6804160.0,0.0,0.0,0.0,0.0,48558080.0,48558080.0,0.0,9214915506.634033,48558080.0,48558080.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4907360.0,0.0,0.0,1517440.0,0.0,0.0,379360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28447200.0,0.0,0.0,0.0,0.0,242790400.0,242790400.0,0.0,22743095022.77411,242790400.0,242790400.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18963200.0,0.0,0.0,7587200.0,0.0,0.0,1896800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.5666666666666667,0.5666666666666667,17.0,0
aime26,full,full_centered_s50,full_centered,0.5,"{""family"": ""identity""}",centered,"{""global"": {""log_threshold"": -1.2118581533432007}, ""local"": {""log_threshold"": -0.7402970194816589}}",30,0.5666666666666667,0.5666666666666667,0.0,"(-0.16666666666666666, 0.16666666666666666)",2134,43490,0.04906875143711198,0.0,1.0,5,0,59142480.0,30226823.0,0.0,30226823.0,0.0,342062016.7882464,470016000.0,3319879277.4524302,49872016922.47467,342062016.7882464,412199736.4880924,9485183.0,9485183.0,0.5110848074007042,0.5110848074007042,0.727766750043076,0.727766750043076,0.2580077073274631,0.0,40782480.0,22590017.0,22590017.0,14688000.0,6451253.0,6451253.0,3672000.0,1185553.0,1185553.0,0.0,0.0,0.14922411088100412,0.16037851304172568,0.0,0.5539147447629472,0.43921929466230936,0.3228630174291939,11648480.0,5929450.0,0.0,5929450.0,0.0,62063885.24926281,78336000.0,439276763.7863091,14227327518.737305,62063885.24926281,67217515.84531975,1365636.0,1365636.0,0.5090320797219895,0.5090320797219895,0.7922779469115453,0.7922779469115453,0.17571443927856073,0.0,8588480.0,4754028.0,4754028.0,2448000.0,1015797.0,1015797.0,612000.0,159625.0,159625.0,0.0,0.0,0.06578878926747521,0.11723727044215211,0.0,0.5535354335109356,0.4149497549019608,0.2608251633986928,47494000.0,24297373.0,0.0,24297373.0,0.0,279998131.5389836,391680000.0,2880602513.6661215,35644689403.737366,279998131.5389836,344982220.6427727,8119547.0,8119547.0,0.5115882637806881,0.5115882637806881,0.7148645106693821,0.7148645106693821,0.2842786538686436,0.0,32194000.0,17835989.0,17835989.0,12240000.0,5435456.0,5435456.0,3060000.0,1025928.0,1025928.0,0.0,0.0,0.1659111752037099,0.17095942645386786,0.0,0.5540159346462074,0.4440732026143791,0.3352705882352941,"[0.6986001281595643, 0.7463223086071591, 0.803598970418932]","[0.1995381196593135, 0.2477558113481792, 0.27417081367071994]","[0.460372556607442, 0.506553322231628, 0.5256305986999373]","[0.7516735128490696, 0.8342637286371479, 0.8764253886603605]","[0.13288020669386524, 0.15473773505579091, 0.19552798316174075]","[0.35780611764178033, 0.4505185993337279, 0.5510662412737726]","[0.6878297154511328, 0.7286884146162704, 0.7896909025504648]","[0.22361780032942566, 0.27391571573207385, 0.3024637212571933]","[0.4808858444005743, 0.5104251753923095, 0.5293722742863818]",0.5666666666666667,0.5666666666666667,17.0,0
aime26,full,jl_gaussian_r8_s50,jl_gaussian_r8,0.5,"{""family"": ""gaussian"", ""rank"": 8}",centered,"{""global"": {""log_threshold"": -1.268207311630249}, ""local"": {""log_threshold"": -0.7595282196998596}}",30,0.5,0.5666666666666667,-0.06666666666666667,"(-0.23333333333333334, 0.1)",2184,42938,0.05086403651776981,0.0,0.8823529411764706,4,0,56642080.0,28655193.0,0.0,28655193.0,0.0,328221550.9259403,450355200.0,3357501032.0062838,47743565653.97888,328221550.9259403,395301654.5765648,9029894.0,9029894.0,0.5058993772827551,0.5058993772827551,0.7288059534472796,0.7288059534472796,0.26518603639216615,0.0,39050080.0,21421608.0,21421608.0,14073600.0,6062906.0,6062906.0,3518400.0,1170679.0,1170679.0,0.0,0.0,0.1489493263331355,0.15942024021716716,0.0,0.5485675829601373,0.43079993747157797,0.3327305025011369,11158080.0,5451126.0,0.0,5451126.0,0.0,60537737.4282403,75059200.0,380126292.5498521,13639084450.270264,60537737.4282403,65176233.69354057,1301352.0,1301352.0,0.4885361997763056,0.4885361997763056,0.8065332088303672,0.8065332088303672,0.16694420399518084,0.0,8226080.0,4380202.0,4380202.0,2345600.0,919913.0,919913.0,586400.0,151011.0,151011.0,0.0,0.0,0.0617978377773847,0.11662866729759959,0.0,0.5324774376130551,0.3921866473396999,0.25752216916780357,45484000.0,23204067.0,0.0,23204067.0,0.0,267683813.4977,375296000.0,2977374739.456432,34104481203.70862,267683813.4977,330125420.8830242,7728542.0,7728542.0,0.510158891038607,0.510158891038607,0.7132605023706621,0.7132605023706621,0.29546839018646887,0.0,30824000.0,17041406.0,17041406.0,11728000.0,5142993.0,5142993.0,2932000.0,1019668.0,1019668.0,0.0,0.0,0.1663796240442856,0.16991781725441912,0.0,0.5528616013495977,0.43852259549795364,0.34777216916780357,"[0.6989573382926307, 0.7393629621271552, 0.8138349250979151]","[0.20247307378563412, 0.25823730941041084, 0.28513118782023106]","[0.4506178420735383, 0.4918660197908266, 0.5253293332964333]","[0.7592885194077446, 0.8396242738434649, 0.8928975734163541]","[0.12829173169419308, 0.15160196134588752, 0.1926246763639086]","[0.33883963890144664, 0.4290809657069596, 0.5332908030775806]","[0.6856780397129721, 0.7199724977182813, 0.7970906595590336]","[0.2286457478112415, 0.28941319063534776, 0.3155395034933507]","[0.47438792665009044, 0.5039603275372555, 0.5222975990308635]",0.5,0.5666666666666667,15.0,0
aime26,full,mass_s50,mass,0.5,"{""method"": ""mass""}",mass,"{""global"": {""dense_unattainable"": false, ""log_threshold"": -0.045639991760253906}, ""local"": {""dense_unattainable"": false, ""log_threshold"": -0.018442153930664062}}",30,0.5333333333333333,0.5666666666666667,-0.03333333333333333,"(-0.16666666666666666, 0.1)",2124,44636,0.047584909042028854,0.0,0.9411764705882353,5,0,61909520.0,31872803.0,31872803.0,31872803.0,0.0,367666499.8980355,493363200.0,5063316669.807009,53957127963.431885,367666499.8980355,425542041.59963036,8891329.0,8891329.0,0.514828785621339,0.514828785621339,0.7452248159125681,0.7452248159125681,0.3063325403705725,0.0,42637520.0,22549387.0,22549387.0,15417600.0,7803794.0,7803794.0,3854400.0,1519622.0,1519622.0,0.514828785621339,0.0,0.11730818533201266,0.14361812205941832,0.0,0.5288625370331107,0.506161399958489,0.39425643420506434,12147520.0,6460188.0,6460188.0,6460188.0,0.0,63126398.93770504,82227200.0,859519607.3720623,14989293001.87793,63126398.93770504,68405779.71046925,1280026.0,1280026.0,0.5318112668264798,0.5318112668264798,0.767707023195549,0.767707023195549,0.239462393791743,0.0,8935520.0,5000124.0,5000124.0,2569600.0,1265854.0,1265854.0,642400.0,194210.0,194210.0,0.5318112668264798,0.0,0.06420479808097815,0.10537344248044045,0.0,0.5595784017046573,0.4926268679950187,0.30231942714819426,49762000.0,25412615.0,25412615.0,25412615.0,0.0,304540100.9603305,411136000.0,4203797062.4349465,38967834961.553955,304540100.9603305,357136261.8891611,7611303.0,7611303.0,0.5106831518025803,0.5106831518025803,0.740728374455972,0.740728374455972,0.3284488401428857,0.0,33702000.0,17549263.0,17549263.0,12848000.0,6537940.0,6537940.0,3212000.0,1325412.0,1325412.0,0.5106831518025803,0.0,0.12792886278221957,0.15295412161890598,0.0,0.5207187407275533,0.5088683063511831,0.41264383561643836,"[0.7211012961896804, 0.7599830418865289, 0.7865748762086958]","[0.2920191540697941, 0.3029190004956335, 0.31915171370820916]","[0.49683973154444144, 0.5082989261188289, 0.5291543233386651]","[0.7170195411539183, 0.7932681472347876, 0.8396799249155447]","[0.21172745708196353, 0.2302018647564742, 0.25755525783585]","[0.41540027689709474, 0.5051630173195064, 0.5694394638547771]","[0.7196481096079679, 0.752138884099423, 0.77774703929636]","[0.31710884821563806, 0.3248716623489658, 0.3409154343574767]","[0.4981992324771717, 0.5103758542084549, 0.5278428035109101]",0.5333333333333333,0.5666666666666667,16.0,0
