benchmark,split,condition,target,threshold,score,accuracy,delta_pp,whole,global_s,local_s,mass,agreement,trajectory_local_error,unparsed,length_limited
aime26,calibration6,blasst_aggressive_s50,50.0,local: exp(8.09133)/L; global: exp(7.77928)/L,2/6,33.33333333333333,-16.666666666666664,51.43692987569518,49.54629205529647,51.87806033226464,68.05132676175764,1.7749171055197972,0.5307186838300222,0,1
aime26,calibration6,blasst_original_s50,50.0,local: 1 (unattainable); global: 1 (unattainable),3/6,50.0,0.0,28.25583362381841,36.388977128335455,26.30263827082009,93.42993252910524,4.7543245250981645,0.14602652656245235,0,0
aime26,calibration6,cancel_guard_gaussian_r32_s50,50.0,local: exp(-0.774403); global: exp(-1.22591),2/6,33.33333333333333,-16.666666666666664,50.53476979974847,51.65915134697653,50.25599312000574,72.82796644049155,4.676073746008857,0.25984769336211117,0,1
aime26,calibration6,dense,0.0,none / ranking budget,3/6,50.0,0.0,0.0,0.0,0.0,99.99999996880808,100.0,5.844504781096942e-08,0,1
aime26,calibration6,full_centered_s50,50.0,local: exp(-0.740297); global: exp(-1.21186),3/6,50.0,0.0,50.71056932079935,49.868485470625394,50.917286965961075,72.98737588891868,4.23737529569063,0.2600395475779997,0,2
aime26,calibration6,jl_gaussian_r32_s50,50.0,local: exp(-0.759528); global: exp(-1.23614),3/6,50.0,0.0,50.495021464345335,49.21753211605081,50.803265128428386,72.94479374767565,6.769763166432356,0.2612358325146761,0,1
aime26,calibration6,jl_sign_r32_s50,50.0,local: exp(-0.776932); global: exp(-1.28216),2/6,33.33333333333333,-16.666666666666664,49.51094948795922,48.74718544159161,49.69951254926364,74.38593097653487,4.191003176554975,0.2533328091044207,0,2
aime26,calibration6,mass_s50,50.0,local: exp(-0.0184422); global: exp(-0.04564),3/6,50.0,0.0,50.55545794533269,51.932367729951324,50.219944982050876,75.46301429286218,5.900990099009901,0.29767904984842647,0,2
aime26,full,blasst_aggressive_s50,50.0,local: exp(8.09133)/L; global: exp(7.77928)/L,11/30,36.666666666666664,-20.0,51.36144231334116,49.60947672935712,51.77313018516766,69.94234863371463,2.4105820105820106,0.5001396467515733,0,6
aime26,full,blasst_original_s50,50.0,local: 1 (unattainable); global: 1 (unattainable),16/30,53.333333333333336,-3.3333333333333335,28.818749818062933,35.46716276528976,27.2322178923574,93.41787295180517,5.7354735755186335,0.14683512729667697,0,2
aime26,full,cancel_guard_gaussian_r32_s50,50.0,local: exp(-0.774403); global: exp(-1.22591),13/30,43.333333333333336,-13.333333333333334,50.70855351787679,51.28607404681903,50.56632443707364,72.91783418216986,4.470890961724027,0.2544926553394414,0,6
aime26,full,dense,0.0,none / ranking budget,17/30,56.666666666666664,0.0,0.0,0.0,0.0,99.99999999250477,100.0,2.870897610837873e-08,0,6
aime26,full,full_centered_s50,50.0,local: exp(-0.740297); global: exp(-1.21186),15/30,50.0,-6.666666666666667,51.30589972496203,51.42517710361238,51.27643520296559,72.68300919719147,4.875011321438275,0.2573772586398094,0,7
aime26,full,jl_gaussian_r32_s50,50.0,local: exp(-0.759528); global: exp(-1.23614),15/30,50.0,-6.666666666666667,50.66209872342243,50.66969045007185,50.66023008176459,73.30960248404404,5.197212510851967,0.2526918683730712,0,5
aime26,full,jl_sign_r32_s50,50.0,local: exp(-0.776932); global: exp(-1.28216),14/30,46.666666666666664,-10.0,49.672053388891726,48.201494025432176,50.02989810010825,74.30051774736002,4.780519211754697,0.2475808410731498,0,6
aime26,full,mass_s50,50.0,local: exp(-0.0184422); global: exp(-0.04564),14/30,46.666666666666664,-10.0,51.391382728343125,52.9351353308233,51.00896795180133,75.05303825408177,4.269293924466338,0.3014064720048783,0,8
aime26,noncalibration24,blasst_aggressive_s50,50.0,local: exp(8.09133)/L; global: exp(7.77928)/L,9/24,37.5,-20.833333333333336,51.346835655275434,49.621619188605266,51.75279378259805,70.34577947096003,2.5867661368796626,0.4931868724968034,0,5
aime26,noncalibration24,blasst_original_s50,50.0,local: 1 (unattainable); global: 1 (unattainable),13/24,54.166666666666664,-4.166666666666666,28.97605251471873,35.20787416232316,27.491574877170578,93.41454086881046,6.014040796649493,0.14705900215710838,0,2
aime26,noncalibration24,cancel_guard_gaussian_r32_s50,50.0,local: exp(-0.774403); global: exp(-1.22591),11/24,45.83333333333333,-12.5,50.763097441794656,51.16814606022951,50.66355491686407,72.94577892163167,4.411982139160777,0.25279695999570023,0,5
aime26,noncalibration24,dense,0.0,none / ranking budget,14/24,58.333333333333336,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0,5
aime26,noncalibration24,full_centered_s50,50.0,local: exp(-0.740297); global: exp(-1.21186),12/24,50.0,-8.333333333333332,51.46903830931324,51.849038064604905,51.37500798042136,72.59937187255323,5.055021631195378,0.2566403185086136,0,5
aime26,noncalibration24,jl_gaussian_r32_s50,50.0,local: exp(-0.759528); global: exp(-1.23614),12/24,50.0,-8.333333333333332,50.708548823676246,51.06525350423654,50.62026517455297,73.40969243720056,4.76147668704303,0.25029508367923986,0,4
