benchmark,split,candidate,reference,count,candidate_correct,reference_correct,delta_pp,paired_ci95_pp,overall_sparsity_gap_pp,global_sparsity_gap_pp,local_sparsity_gap_pp,within2pp_all_types
aime26,calibration6,jl_gaussian_r1_s50,blasst_aggressive_s50,6,2.0,2.0,0.0,"[0.0, 0.0]",-1.8673494757288411,-0.6936970260567055,-2.1382727363877807,False
aime26,calibration6,jl_gaussian_r1_s50,blasst_original_s50,6,2.0,3.0,-16.666666666666668,"[-50.0, 0.0]",21.31374677614793,12.46361790090431,23.437149325056772,False
aime26,calibration6,jl_gaussian_r1_s50,dense,6,2.0,3.0,-16.666666666666668,"[-50.0, 0.0]",49.56958039996634,48.852595029239765,49.73978759587686,False
aime26,calibration6,jl_gaussian_r1_s50,full_centered_s50,6,2.0,3.0,-16.666666666666668,"[-50.0, 0.0]",-1.1409889208330082,-1.0158904413856307,-1.1774993700842118,True
aime26,calibration6,jl_gaussian_r1_s50,jl_gaussian_r16_s50,6,2.0,2.0,0.0,"[-50.0, 50.0]",-1.4406508123997463,-2.3283024066576674,-1.2268877959367708,False
aime26,calibration6,jl_gaussian_r1_s50,jl_gaussian_r24_s50,6,2.0,2.0,0.0,"[-50.0, 50.0]",-0.7107304680231796,-0.5758152255291527,-0.7449925078296893,True
aime26,calibration6,jl_gaussian_r1_s50,jl_gaussian_r2_s50,6,2.0,3.0,-16.666666666666668,"[-50.0, 0.0]",-0.3743829010170119,-2.3189824146874427,0.10753440581641738,False
aime26,calibration6,jl_gaussian_r1_s50,jl_gaussian_r32_s50,6,2.0,3.0,-16.666666666666668,"[-50.0, 0.0]",-0.9254410643789956,-0.36493708681104575,-1.0634775325515267,True
aime26,calibration6,jl_gaussian_r1_s50,jl_gaussian_r4_s50,6,2.0,2.0,0.0,"[-50.0, 50.0]",-0.9346414612103282,-0.810195318575857,-0.9709612409889545,True
aime26,calibration6,jl_gaussian_r1_s50,jl_gaussian_r8_s50,6,2.0,2.0,0.0,"[0.0, 0.0]",-1.0316470055362292,-0.14484565196957178,-1.251695408934561,True
aime26,calibration6,jl_gaussian_r1_s50,mass_s50,6,2.0,3.0,-16.666666666666668,"[-50.0, 0.0]",-0.9858775453663537,-3.0797727007115583,-0.48015738617401826,False
aime26,full,jl_gaussian_r1_s50,blasst_aggressive_s50,30,14.0,11.0,10.000000000000004,"[-10.0, 30.0]",-1.319048726811789,1.9183577628960002,-2.0959116596911853,False
aime26,full,jl_gaussian_r1_s50,blasst_original_s50,30,14.0,16.0,-6.666666666666665,"[-26.666666666666668, 13.333333333333334]",21.22364376846643,16.060671726963367,22.445000633119072,False
aime26,full,jl_gaussian_r1_s50,dense,30,14.0,17.0,-9.999999999999998,"[-26.666666666666668, 6.666666666666667]",50.042393586529364,51.52783449225312,49.677218525476476,False
aime26,full,jl_gaussian_r1_s50,full_centered_s50,30,14.0,15.0,-3.3333333333333326,"[-20.0, 13.333333333333334]",-1.2635061384326685,0.1026573886407478,-1.5992166774891126,True
aime26,full,jl_gaussian_r1_s50,jl_gaussian_r16_s50,30,14.0,11.0,10.000000000000004,"[-10.0, 30.0]",-0.993510405225495,0.8467301856549425,-1.447750480226473,True
aime26,full,jl_gaussian_r1_s50,jl_gaussian_r24_s50,30,14.0,16.0,-6.666666666666665,"[-23.333333333333332, 10.0]",-0.6295545461041718,1.178709285388957,-1.0721180364399507,True
aime26,full,jl_gaussian_r1_s50,jl_gaussian_r2_s50,30,14.0,16.0,-6.666666666666665,"[-23.333333333333332, 10.0]",-0.16278929432763656,-0.10323259685061092,-0.1698880651809509,True
aime26,full,jl_gaussian_r1_s50,jl_gaussian_r32_s50,30,14.0,15.0,-3.3333333333333326,"[-26.666666666666668, 16.666666666666664]",-0.6197051368930673,0.8581440421812747,-0.9830115562881159,True
aime26,full,jl_gaussian_r1_s50,jl_gaussian_r4_s50,30,14.0,13.0,3.3333333333333326,"[-13.333333333333334, 20.0]",-0.974155856343728,1.2925702646108483,-1.5291041990491916,True
aime26,full,jl_gaussian_r1_s50,jl_gaussian_r8_s50,30,14.0,15.0,-3.3333333333333326,"[-16.666666666666664, 10.0]",-0.738614333706944,2.205088513126369,-1.467674338687075,False
aime26,full,jl_gaussian_r1_s50,mass_s50,30,14.0,14.0,0.0,"[-16.666666666666664, 16.666666666666664]",-1.3489891418137612,-1.4073008385701802,-1.3317494263248575,True
aime26,noncalibration24,jl_gaussian_r1_s50,blasst_aggressive_s50,24,12.0,9.0,12.5,"[-12.5, 37.5]",-1.182371356371359,2.5729586549206482,-2.091868243280026,False
aime26,noncalibration24,jl_gaussian_r1_s50,blasst_original_s50,24,12.0,13.0,-4.1666666666666625,"[-29.166666666666668, 20.833333333333336]",21.188411784185345,16.98670368120276,22.169350662147448,False
aime26,noncalibration24,jl_gaussian_r1_s50,dense,24,12.0,14.0,-8.333333333333337,"[-29.166666666666668, 12.5]",50.16446429890408,52.19457784352591,49.66092553931802,False
aime26,noncalibration24,jl_gaussian_r1_s50,full_centered_s50,24,12.0,12.0,0.0,"[-20.833333333333336, 20.833333333333336]",-1.3045740104091652,0.3455397789210113,-1.7140824411033373,True
aime26,noncalibration24,jl_gaussian_r1_s50,jl_gaussian_r16_s50,24,12.0,9.0,12.5,"[-12.5, 37.5]",-0.8801555649885273,1.6861824864463415,-1.517544386699643,True
aime26,noncalibration24,jl_gaussian_r1_s50,jl_gaussian_r24_s50,24,12.0,14.0,-8.333333333333337,"[-25.0, 8.333333333333332]",-0.6262444395801259,1.5658971570475133,-1.1686109176811121,True
aime26,noncalibration24,jl_gaussian_r1_s50,jl_gaussian_r2_s50,24,12.0,13.0,-4.1666666666666625,"[-20.833333333333336, 12.5]",-0.1253996121849621,0.41280299794329567,-0.2556262596725867,True
