benchmark,split,condition,threshold,correct,count,accuracy,delta_pp,ci95_pp,whole,global_s,local_s,mass,agreement,local_operator_error,length_limited
aime26,calibration6,blasst_aggressive_s50,local: exp(8.09133)/L; global: exp(7.77928)/L,2.0,6,33.33333333333333,-16.666666666666664,"[-50.0, 0.0]",51.43692987569518,49.54629205529647,51.87806033226464,68.05132676175764,1.7749171055197972,0.5307186838300222,1
aime26,calibration6,blasst_original_s50,local: 1 (unattainable); global: 1 (unattainable),3.0,6,50.0,0.0,"[0.0, 0.0]",28.25583362381841,36.388977128335455,26.30263827082009,93.42993252910524,4.7543245250981645,0.14602652656245235,0
aime26,calibration6,dense,none / ranking budget,3.0,6,50.0,0.0,"[0.0, 0.0]",0.0,0.0,0.0,99.99999996880808,100.0,5.844504781096942e-08,1
aime26,calibration6,full_centered_s50,local: exp(-0.740297); global: exp(-1.21186),3.0,6,50.0,0.0,"[0.0, 0.0]",50.71056932079935,49.868485470625394,50.917286965961075,72.98737588891868,4.23737529569063,0.2600395475779997,2
aime26,calibration6,jl_gaussian_r16_s50,local: exp(-0.759528); global: exp(-1.23614),2.0,6,33.33333333333333,-16.666666666666664,"[-50.0, 0.0]",51.01023121236609,51.180897435897435,50.96667539181363,72.70317205999552,4.850299401197605,0.2636293086623327,3
aime26,calibration6,jl_gaussian_r1_s50,local: exp(-0.861193); global: exp(-1.23614),2.0,6,33.33333333333333,-16.666666666666664,"[-50.0, 0.0]",49.56958039996634,48.852595029239765,49.73978759587686,73.21038321342695,4.39751823228475,0.32088425318474534,1
aime26,calibration6,jl_gaussian_r24_s50,local: exp(-0.759528); global: exp(-1.23614),2.0,6,33.33333333333333,-16.666666666666664,"[-66.66666666666666, 33.33333333333333]",50.28031086798952,49.42841025476892,50.48478010370655,72.87888656915878,4.545454545454546,0.26116613445493464,1
aime26,calibration6,jl_gaussian_r2_s50,local: exp(-0.855113); global: exp(-1.26686),3.0,6,50.0,0.0,"[0.0, 0.0]",49.94396330098335,51.171577443927205,49.632253190060446,73.36954521198138,5.333603731494626,0.28186020940010176,3
aime26,calibration6,jl_gaussian_r32_s50,local: exp(-0.759528); global: exp(-1.23614),3.0,6,50.0,0.0,"[0.0, 0.0]",50.495021464345335,49.21753211605081,50.803265128428386,72.94479374767565,6.769763166432356,0.2612358325146761,1
aime26,calibration6,jl_gaussian_r4_s50,local: exp(-0.759528); global: exp(-1.23614),2.0,6,33.33333333333333,-16.666666666666664,"[-50.0, 0.0]",50.50422186117667,49.66279034781562,50.71074883686582,72.60625652398262,3.9511853556066816,0.27472056929601596,2
