benchmark,task,condition,count,accuracy,dense_accuracy,delta,paired_ci95,matching_tokens,compared_tokens,token_agreement,sequence_exact_match,relative_accuracy,length_terminated,empty_outputs,overall_eligible,overall_skipped,overall_softmax_skipped,overall_pv_omitted,overall_compensated,overall_mass_sum,overall_rows,overall_error_sq,overall_dense_sq,overall_denominator_mass_sum,overall_same_budget_best_mass_sum,overall_wrongly_replaced_vs_mass,overall_unnecessarily_retained_vs_mass,overall_physical_sparsity,overall_pv_omission,overall_mass,overall_denominator_mass,overall_relative_error,overall_rescued_rows,overall_prefix_eligible,overall_prefix_skipped,overall_prefix_replaced,overall_canvas_eligible,overall_canvas_skipped,overall_canvas_replaced,overall_boundary_eligible,overall_boundary_skipped,overall_boundary_replaced,overall_softmax_sparsity,overall_compensation_fraction,overall_mass_selection_gap,overall_wrongly_replaced_fraction,overall_rescued_row_rate,overall_prefix_sparsity,overall_canvas_sparsity,overall_boundary_sparsity,global_eligible,global_skipped,global_softmax_skipped,global_pv_omitted,global_compensated,global_mass_sum,global_rows,global_error_sq,global_dense_sq,global_denominator_mass_sum,global_same_budget_best_mass_sum,global_wrongly_replaced_vs_mass,global_unnecessarily_retained_vs_mass,global_physical_sparsity,global_pv_omission,global_mass,global_denominator_mass,global_relative_error,global_rescued_rows,global_prefix_eligible,global_prefix_skipped,global_prefix_replaced,global_canvas_eligible,global_canvas_skipped,global_canvas_replaced,global_boundary_eligible,global_boundary_skipped,global_boundary_replaced,global_softmax_sparsity,global_compensation_fraction,global_mass_selection_gap,global_wrongly_replaced_fraction,global_rescued_row_rate,global_prefix_sparsity,global_canvas_sparsity,global_boundary_sparsity,local_eligible,local_skipped,local_softmax_skipped,local_pv_omitted,local_compensated,local_mass_sum,local_rows,local_error_sq,local_dense_sq,local_denominator_mass_sum,local_same_budget_best_mass_sum,local_wrongly_replaced_vs_mass,local_unnecessarily_retained_vs_mass,local_physical_sparsity,local_pv_omission,local_mass,local_denominator_mass,local_relative_error,local_rescued_rows,local_prefix_eligible,local_prefix_skipped,local_prefix_replaced,local_canvas_eligible,local_canvas_skipped,local_canvas_replaced,local_boundary_eligible,local_boundary_skipped,local_boundary_replaced,local_softmax_sparsity,local_compensation_fraction,local_mass_selection_gap,local_wrongly_replaced_fraction,local_rescued_row_rate,local_prefix_sparsity,local_canvas_sparsity,local_boundary_sparsity,overall_mass_sample_p10_p50_p90,overall_relative_error_sample_p10_p50_p90,overall_physical_sparsity_sample_p10_p50_p90,global_mass_sample_p10_p50_p90,global_relative_error_sample_p10_p50_p90,global_physical_sparsity_sample_p10_p50_p90,local_mass_sample_p10_p50_p90,local_relative_error_sample_p10_p50_p90,local_physical_sparsity_sample_p10_p50_p90,equal_task_macro,dense_equal_task_macro,correct,unparsed_answers
aime26,AIME26,blasst_aggressive_s50,30,0.36666666666666664,0.5666666666666667,-0.2,"(-0.36666666666666664, -0.03333333333333333)",1139,47250,0.024105820105820106,0.0,0.6470588235294117,6,0,62640480.0,32173054.0,32173054.0,32173054.0,0.0,409614623.03328323,585646080.0,16656471745.414755,66588686212.533356,409614623.03328323,463011106.7405901,7596183.0,7596183.0,0.5136144231334115,0.5136144231334115,0.6994234863371462,0.6994234863371462,0.5001396467515733,0.0,39763680.0,20584976.0,20584976.0,18301440.0,9494306.0,9494306.0,4575360.0,2093772.0,2093772.0,0.5136144231334115,0.0,0.09117534553856634,0.12126636002789251,0.0,0.5176828703983133,0.5187737139809764,0.45761907259756607,11918880.0,5912894.0,5912894.0,5912894.0,0.0,70041662.65623039,97607680.0,2860421296.811484,18490155123.11328,70041662.65623039,75397253.6235857,995262.0,995262.0,0.4960947672935712,0.4960947672935712,0.7175835206433591,0.7175835206433591,0.39331881684981557,0.0,8106080.0,4060752.0,4060752.0,3050240.0,1565101.0,1565101.0,762560.0,287041.0,287041.0,0.4960947672935712,0.0,0.05486854074756526,0.08350298014578551,0.0,0.5009513846396779,0.5131074931808645,0.37641759336970204,50721600.0,26260160.0,26260160.0,26260160.0,0.0,339572960.3770528,488038400.0,13796050448.603271,48098531089.420074,339572960.3770528,387613853.1170044,6600921.0,6600921.0,0.5177313018516766,0.5177313018516766,0.6957914794759035,0.6957914794759035,0.535564127835433,0.0,31657600.0,16524224.0,16524224.0,15251200.0,7929205.0,7929205.0,3812800.0,1806731.0,1806731.0,0.5177313018516766,0.0,0.09843670649676667,0.13014023611242548,0.0,0.5219670474072576,0.5199069581409987,0.4738593684431389,"[0.5473617160093686, 0.7104742739030703, 0.7391428447024139]","[0.41664497882104307, 0.4649665491268202, 0.7218203967430854]","[0.48079692145757347, 0.5164969282643197, 0.6260380949797454]","[0.5262637304247255, 0.7347805740591387, 0.768024408311079]","[0.3068192351454477, 0.34922409563799156, 0.5857035486245706]","[0.4469870148192308, 0.48957658151288685, 0.6349172421824368]","[0.5524035797712313, 0.7064345504065617, 0.7333740397173946]","[0.45110884857063577, 0.5048398506825489, 0.7689284041761325]","[0.4858543562291131, 0.5198260309429512, 0.6289268663194445]",0.36666666666666664,0.5666666666666667,11.0,0
aime26,AIME26,blasst_original_s50,30,0.5333333333333333,0.5666666666666667,-0.03333333333333333,"(-0.2, 0.13333333333333333)",2444,42612,0.057354735755186334,0.0,0.9411764705882353,2,0,35726640.0,10295971.0,10295971.0,10295971.0,0.0,275730101.24419403,295157760.0,692404193.2854809,32114396214.146393,275730101.24419403,282571469.5851383,2814763.0,2814763.0,0.28818749818062933,0.28818749818062933,0.9341787295180517,0.9341787295180517,0.14683512729667697,0.0,24197040.0,7543262.0,7543262.0,9223680.0,2366165.0,2366165.0,2305920.0,386544.0,386544.0,0.28818749818062933,0.0,0.023178683633268832,0.07878611030872201,0.0,0.3117431718920992,0.25653155790313625,0.16763114071606994,6883040.0,2441219.0,2441219.0,2441219.0,0.0,44596637.32763767,49192960.0,262033673.77183664,9213967290.101807,44596637.32763767,45359437.32624817,394321.0,394321.0,0.35467162765289756,0.35467162765289756,0.9065654379740042,0.9065654379740042,0.16863791335761447,0.0,4961440.0,1960751.0,1960751.0,1537280.0,424418.0,424418.0,384320.0,56050.0,56050.0,0.35467162765289756,0.0,0.015506283797732369,0.057288785187940214,0.0,0.39519796671933954,0.2760837323064113,0.14584200666111574,28843600.0,7854752.0,7854752.0,7854752.0,0.0,231133463.91655636,245964800.0,430370519.51364416,22900428924.044586,231133463.91655636,237212032.25889015,2420442.0,2420442.0,0.272322178923574,0.272322178923574,0.9397013878268612,0.9397013878268612,0.13708800263669016,0.0,19235600.0,5582511.0,5582511.0,7686400.0,1941747.0,1941747.0,1921600.0,330494.0,330494.0,0.272322178923574,0.0,0.024713163600376127,0.08391608537075816,0.0,0.2902176693214664,0.25262112302248124,0.17198896752706078,"[0.9306806286393676, 0.9340461944070904, 0.9410806266789804]","[0.13694993010405823, 0.14547804974032896, 0.15358416983735224]","[0.27492095309272785, 0.2895341386284265, 0.31676453986655856]","[0.8919968963873551, 0.9155596477859136, 0.9346119237824327]","[0.1441354131691107, 0.16413941450722, 0.1810222142148241]","[0.27237375070382885, 0.3364631483804933, 0.3840191806684112]","[0.9358355243956827, 0.9396538352279, 0.9435522596130959]","[0.12671178783724368, 0.13755805148476263, 0.14894454951598027]","[0.25813997642647374, 0.28426520735466243, 0.31927713793682794]",0.5333333333333333,0.5666666666666667,16.0,0
aime26,AIME26,dense,30,0.5666666666666667,0.5666666666666667,0.0,"(0.0, 0.0)",39999,39999,1.0,1.0,1.0,6,0,37578880.0,0.0,0.0,0.0,0.0,300687359.97746277,300687360.0,2.7181293168540045e-05,32978789223.287933,300687359.97746277,300687359.98387146,0.0,0.0,0.0,0.0,0.9999999999250476,0.9999999999250476,2.870897610837873e-08,0.0,25833280.0,0.0,0.0,9396480.0,0.0,0.0,2349120.0,0.0,0.0,0.0,0.0,2.1313471262144175e-11,0.0,0.0,0.0,0.0,0.0,7415680.0,0.0,0.0,0.0,0.0,50114559.99768829,50114560.0,5.245010683177509e-06,9511026284.870605,50114559.99768829,50114559.997283936,0.0,0.0,0.0,0.0,0.9999999999538716,0.9999999999538716,2.3483320079121042e-08,0.0,5458080.0,0.0,0.0,1566080.0,0.0,0.0,391520.0,0.0,0.0,0.0,0.0,-8.068671263526009e-12,0.0,0.0,0.0,0.0,0.0,30163200.0,0.0,0.0,0.0,0.0,250572799.97977448,250572800.0,2.1936282485362536e-05,23467762938.417328,250572799.97977448,250572799.98658752,0.0,0.0,0.0,0.0,0.9999999999192828,0.9999999999192828,3.057353590147204e-08,0.0,20375200.0,0.0,0.0,7830400.0,0.0,0.0,1957600.0,0.0,0.0,0.0,0.0,2.718989976727821e-11,0.0,0.0,0.0,0.0,0.0,"[0.9999999997469359, 1.0, 1.0]","[0.0, 0.0, 5.3302427283925395e-08]","[0.0, 0.0, 0.0]","[0.9999999998577553, 1.0, 1.0]","[0.0, 0.0, 4.4176316024906394e-08]","[0.0, 0.0, 0.0]","[0.9999999997242085, 1.0, 1.0]","[0.0, 0.0, 5.654224268682053e-08]","[0.0, 0.0, 0.0]",0.5666666666666667,0.5666666666666667,17.0,0
aime26,AIME26,full_centered_s50,30,0.5,0.5666666666666667,-0.06666666666666667,"(-0.23333333333333334, 0.13333333333333333)",2153,44164,0.04875011321438275,0.0,0.8823529411764706,7,0,59744480.0,30652443.0,0.0,30652443.0,0.0,340996582.3363609,469155840.0,3303635932.389712,49871432090.79761,340996582.3363609,411574356.73124075,9568824.0,9568824.0,0.5130589972496203,0.5130589972496203,0.7268300919719146,0.7268300919719146,0.2573772586398094,0.0,41418080.0,22982559.0,22982559.0,14661120.0,6449458.0,6449458.0,3665280.0,1220426.0,1220426.0,0.0,0.0,0.15043567270713262,0.16016247860890245,0.0,0.5548919457396383,0.43990213571678016,0.3329693775100402,11834880.0,6086108.0,0.0,6086108.0,0.0,61692594.403549194,78192640.0,444678042.7418729,14170371003.560547,61692594.403549194,66850199.764835835,1389646.0,1389646.0,0.5142517710361237,0.5142517710361237,0.7889821139630174,0.7889821139630174,0.17714635974051013,0.0,8780480.0,4903212.0,4903212.0,2443520.0,1016918.0,1016918.0,610880.0,165978.0,165978.0,0.0,0.0,0.06596024077568734,0.11741952601124811,0.0,0.5584218630416561,0.4161692967522263,0.2717031168150864,47909600.0,24566335.0,0.0,24566335.0,0.0,279303987.9328117,390963200.0,2858957889.6478386,35701061087.23706,279303987.9328117,344724156.9664049,8179178.0,8179178.0,0.5127643520296559,0.5127643520296559,0.7143996875736941,0.7143996875736941,0.282984935771082,0.0,32637600.0,18079347.0,18079347.0,12217600.0,5432540.0,5432540.0,3054400.0,1054448.0,1054448.0,0.0,0.0,0.16733075909342168,0.17072106634161002,0.0,0.5539422935509964,0.44464870350969093,0.3452226296490309,"[0.6953025682835646, 0.7401093493679425, 0.8020544960367881]","[0.19585085028804058, 0.2492251006619346, 0.2753395781418678]","[0.47960942494269804, 0.5046889322951835, 0.5255073473229803]","[0.741069816321553, 0.8173888529644623, 0.8695945634931467]","[0.13603464358683612, 0.16161986748880086, 0.20026805224623814]","[0.3684646872695994, 0.4530087242206314, 0.5682749109677633]","[0.6862645773359874, 0.7241834274751437, 0.7901206449957285]","[0.2172148121719161, 0.27790866011866144, 0.30111747400266936]","[0.49349403518473006, 0.509662897273027, 0.525485080499639]",0.5,0.5666666666666667,15.0,0
aime26,AIME26,jl_gaussian_r16_s50,30,0.36666666666666664,0.5666666666666667,-0.2,"(-0.36666666666666664, -0.03333333333333333)",2064,43603,0.0473361924638213,0.0,0.6470588235294117,8,0,60544800.0,30899586.0,0.0,30899586.0,0.0,343875651.101247,474071040.0,3461449781.3059545,50373233138.1564,343875651.101247,415701963.91577435,9749454.0,9749454.0,0.5103590399175486,0.5103590399175486,0.7253673438926939,0.7253673438926939,0.26213747053907127,0.0,42026400.0,23191265.0,23191265.0,14814720.0,6449532.0,6449532.0,3703680.0,1258789.0,1258789.0,0.0,0.0,0.15150959825457241,0.16102875886946524,0.0,0.5518261140616374,0.4353461962156558,0.3398752052013133,12148800.0,6157146.0,0.0,6157146.0,0.0,62811634.44348812,79011840.0,425357023.86435694,14323675828.717285,62811634.44348812,68050867.8063612,1408979.0,1408979.0,0.5068110430659818,0.5068110430659818,0.7949648362003482,0.7949648362003482,0.17232550606089955,0.0,9062400.0,4975365.0,4975365.0,2469120.0,1014590.0,1014590.0,617280.0,167191.0,167191.0,0.0,0.0,0.06630947162948081,0.11597680429342816,0.0,0.5490118511652542,0.4109115798341109,0.2708511534473821,48396000.0,24742440.0,0.0,24742440.0,0.0,281064016.6577589,395059200.0,3036092757.4415975,36049557309.43912,281064016.6577589,347651096.10941315,8340475.0,8340475.0,0.5112496900570295,0.5112496900570295,0.7114478454311629,0.7114478454311629,0.29020677695965486,0.0,32964000.0,18215900.0,18215900.0,12345600.0,5434942.0,5434942.0,3086400.0,1091598.0,1091598.0,0.0,0.0,0.16854962357959075,0.17233810645507894,0.0,0.5525998058488047,0.44023311949196475,0.35368001555209955,"[0.6885292910338742, 0.7448907204458981, 0.795581258673136]","[0.20793076355715984, 0.2520481505194816, 0.28500460536928657]","[0.46707491288767455, 0.4981021770003192, 0.5238869595440518]","[0.7487049242967085, 0.8292684372050887, 0.8843744710794846]","[0.12631500889248923, 0.15555287405028495, 0.1991537906401611]","[0.3447763714954975, 0.45680466098147554, 0.5501920676007512]","[0.6792824586914575, 0.7287244226973919, 0.7801910057410699]","[0.23377375790127053, 0.2811773493845492, 0.3116973392331225]","[0.4872294160009503, 0.508311465484363, 0.524698534197517]",0.36666666666666664,0.5666666666666667,11.0,0
aime26,AIME26,jl_gaussian_r1_s50,30,0.4666666666666667,0.5666666666666667,-0.1,"(-0.26666666666666666, 0.06666666666666667)",1720,44008,0.03908380294491911,0.0,0.823529411764706,6,0,69498720.0,34778823.0,0.0,34778823.0,0.0,402928120.1747869,551362560.0,5863684212.299201,57747620638.15701,402928120.1747869,483940022.17354965,11012860.0,11012860.0,0.5004239358652937,0.5004239358652937,0.7307861458253294,0.7307861458253294,0.31865316710494507,0.0,47961120.0,25855889.0,25855889.0,17230080.0,7413283.0,7413283.0,4307520.0,1509651.0,1509651.0,0.0,0.0,0.14693036465653875,0.15846133569078683,0.0,0.5391010259977248,0.43025238420251094,0.35046871517717854,13713920.0,7066486.0,0.0,7066486.0,0.0,72036032.79420757,91893760.0,678261562.09068,16536502010.676758,72036032.79420757,78615932.90708828,1600995.0,1600995.0,0.5152783449225312,0.5152783449225312,0.7839055970090633,0.7839055970090633,0.2025241317080263,0.0,10124320.0,5716146.0,5716146.0,2871680.0,1173750.0,1173750.0,717920.0,176590.0,176590.0,0.0,0.0,0.07160333969227842,0.11674233187885011,0.0,0.5645955481454557,0.4087328671718297,0.24597448183641632,55784800.0,27712337.0,0.0,27712337.0,0.0,330892087.38057935,459468800.0,5185422650.208521,41211118627.480255,330892087.38057935,405324089.2664614,9411865.0,9411865.0,0.49677218525476474,0.49677218525476474,0.7201622555885826,0.7201622555885826,0.35471934892343593,0.0,37836800.0,20139743.0,20139743.0,14358400.0,6239533.0,6239533.0,3589600.0,1333061.0,1333061.0,0.0,0.0,0.16199576964939083,0.16871737462534597,0.0,0.5322792360876184,0.43455628760864723,0.37136756184533093,"[0.7079098119870294, 0.7392233219613552, 0.7805464998758733]","[0.28328940046327394, 0.31325157333510345, 0.3320020357845621]","[0.47518609306716053, 0.49279703139499204, 0.5104348245152059]","[0.7543776974162438, 0.8050044318543392, 0.8530186942757513]","[0.1672451963175744, 0.19233406820300603, 0.21609507603987474]","[0.38485852800851167, 0.4764852066721633, 0.5689568167921596]","[0.6982967939821091, 0.7285026978429479, 0.7658186033579141]","[0.3149163143613592, 0.35190121222126236, 0.36940141867530946]","[0.4855618314282009, 0.49620971575500683, 0.5077760779821773]",0.4666666666666667,0.5666666666666667,14.0,0
aime26,AIME26,jl_gaussian_r24_s50,30,0.5333333333333333,0.5666666666666667,-0.03333333333333333,"(-0.2, 0.13333333333333333)",2045,42792,0.04778930641241354,0.0,0.9411764705882353,5,0,55498480.0,28122161.0,0.0,28122161.0,0.0,324226114.07791317,442982400.0,3007476158.8057594,47131784415.589386,324226114.07791317,388887367.1523323,8929417.0,8929417.0,0.5067194813263354,0.5067194813263354,0.7319164690920298,0.7319164690920298,0.2526062870315015,0.0,38194480.0,20909363.0,20909363.0,13843200.0,6096868.0,6096868.0,3460800.0,1115930.0,1115930.0,0.0,0.0,0.14596799573621694,0.16089480288469163,0.0,0.5474446307424529,0.44042331252889505,0.32244856680536294,10731680.0,5403307.0,0.0,5403307.0,0.0,58356743.50684595,73830400.0,412671083.7187796,13403933458.967041,58356743.50684595,63233880.09690666,1277567.0,1277567.0,0.5034912520686416,0.5034912520686416,0.7904161904425,0.7904161904425,0.17546313621632723,0.0,7847680.0,4281987.0,4281987.0,2307200.0,964612.0,964612.0,576800.0,156708.0,156708.0,0.0,0.0,0.06605865050251267,0.11904631893608457,0.0,0.5456373093704127,0.4180877253814147,0.2716851595006935,44766800.0,22718854.0,0.0,22718854.0,0.0,265869370.5710672,369152000.0,2594805075.08698,33727850956.622345,265869370.5710672,325653487.05542564,7651850.0,7651850.0,0.5074933656191642,0.5074933656191642,0.7202165248219358,0.7202165248219358,0.27736907252537724,0.0,30346800.0,16627376.0,16627376.0,11536000.0,5132256.0,5132256.0,2884000.0,959222.0,959222.0,0.0,0.0,0.16194986478295778,0.17092689225050708,0.0,0.5479120039015646,0.4448904299583911,0.33260124826629683,"[0.6995607633564117, 0.7488340345626312, 0.7894538622746387]","[0.2149117163778977, 0.24637973308781078, 0.27133223863862677]","[0.47289126103657836, 0.5006057410246585, 0.5187393849518873]","[0.7331013020501289, 0.8340303299684428, 0.8718587692188606]","[0.13326066727549424, 0.15500953905762838, 0.20155202320971902]","[0.3791297732250307, 0.4627575438906016, 0.5446889173962333]","[0.6889330118535862, 0.7327220341621656, 0.7729095852894078]","[0.2380296601664736, 0.2719374292120995, 0.29880600508824556]","[0.4860966831298165, 0.5063482710552667, 0.5195112396635363]",0.5333333333333333,0.5666666666666667,16.0,0
aime26,AIME26,jl_gaussian_r2_s50,30,0.5333333333333333,0.5666666666666667,-0.03333333333333333,"(-0.2, 0.13333333333333333)",2181,44545,0.0489617240992255,0.0,0.9411764705882353,8,0,61012400.0,30631387.0,0.0,30631387.0,0.0,348797028.14328676,477634560.0,3978373702.64991,50454560432.49042,348797028.14328676,419086102.73550606,9764511.0,9764511.0,0.50205182880857,0.50205182880857,0.7302591925996451,0.7302591925996451,0.2808035372904341,0.0,42354800.0,22898605.0,22898605.0,14926080.0,6447833.0,6447833.0,3731520.0,1284949.0,1284949.0,0.0,0.0,0.14716078039289973,0.16004141781015008,0.0,0.5406377789530349,0.4319843522210788,0.34435002358288314,12246400.0,6322947.0,0.0,6322947.0,0.0,62398418.44680977,79605760.0,577410766.22875,14301990301.2417,62398418.44680977,67588233.59593964,1420346.0,1420346.0,0.5163106708910373,0.5163106708910373,0.7838430089331446,0.7838430089331446,0.20092972926783775,0.0,9136800.0,5095806.0,5095806.0,2487680.0,1043280.0,1043280.0,621920.0,183861.0,183861.0,0.0,0.0,0.06519396522475092,0.11598069636791221,0.0,0.5577232729183084,0.4193786982248521,0.29563448675070747,48766000.0,24308440.0,0.0,24308440.0,0.0,286398609.696477,398028800.0,3400962936.42116,36152570131.24872,286398609.696477,351497869.1395664,8344165.0,8344165.0,0.49847106590657425,0.49847106590657425,0.7195424293329452,0.7195424293329452,0.3067124187590069,0.0,33218000.0,17802799.0,17802799.0,12438400.0,5404553.0,5404553.0,3109600.0,1101088.0,1101088.0,0.0,0.0,0.1635541434265295,0.1711062010417094,0.0,0.5359383165753507,0.43450548302032416,0.3540931309493182,"[0.7040031566036046, 0.7379244928004437, 0.7994807020629336]","[0.23442318996112613, 0.2757443094017148, 0.2953666567872973]","[0.4607694514489085, 0.4943184375055386, 0.5125276277115924]","[0.731965478000791, 0.808739491442839, 0.8639204120384052]","[0.16061572485481362, 0.19329329256264607, 0.2249250358774409]","[0.3598062745740498, 0.4516390012265352, 0.5564578520346866]","[0.6963747363634591, 0.7248870581483116, 0.785132074343244]","[0.25982599943570023, 0.3044799118288881, 0.3216168326651725]","[0.4790114968120115, 0.49603405786046306, 0.5085483284028505]",0.5333333333333333,0.5666666666666667,16.0,0
aime26,AIME26,jl_gaussian_r32_s50,30,0.5,0.5666666666666667,-0.06666666666666667,"(-0.26666666666666666, 0.1)",2215,42619,0.05197212510851967,0.0,0.8823529411764706,5,0,52427680.0,26560963.0,0.0,26560963.0,0.0,306281654.41013724,417792000.0,2832912878.308681,44366041959.71295,306281654.41013724,367617185.39846087,8333027.0,8333027.0,0.5066209872342243,0.5066209872342243,0.7330960248404403,0.7330960248404403,0.2526918683730712,0.0,36107680.0,19796665.0,19796665.0,13056000.0,5691638.0,5691638.0,3264000.0,1072660.0,1072660.0,0.0,0.0,0.14680877323721764,0.15894327195099994,0.0,0.5482674323024908,0.4359404105392157,0.32863357843137253,10355680.0,5247191.0,0.0,5247191.0,0.0,55344222.8369689,69632000.0,377533260.1609279,12657975014.998535,55344222.8369689,59867537.43347788,1213015.0,1213015.0,0.5066969045007185,0.5066969045007185,0.7948101855033447,0.7948101855033447,0.1727012544430292,0.0,7635680.0,4211594.0,4211594.0,2176000.0,892993.0,892993.0,544000.0,142604.0,142604.0,0.0,0.0,0.06496028545078383,0.11713523399718802,0.0,0.5515676403411353,0.4103828125,0.2621397058823529,42072000.0,21313772.0,0.0,21313772.0,0.0,250937431.57316834,348160000.0,2455379618.147753,31708066944.714417,250937431.57316834,307749647.964983,7120012.0,7120012.0,0.5066023008176459,0.5066023008176459,0.7207531927078594,0.7207531927078594,0.27827515929128877,0.0,28472000.0,15585071.0,15585071.0,10880000.0,4798645.0,4798645.0,2720000.0,930056.0,930056.0,0.0,0.0,0.1631784707945044,0.16923397984407682,0.0,0.5473823756673223,0.44105193014705885,0.34193235294117647,"[0.703512149611914, 0.7534073742576709, 0.8067245815443218]","[0.20341303336879113, 0.24234262382065969, 0.27380475947723565]","[0.45942781294899426, 0.49858917547626846, 0.5241532290650297]","[0.7448011674369036, 0.8368713100130124, 0.8832270336378858]","[0.12833756622332873, 0.15268586457911643, 0.19755595604734755]","[0.3592863587622549, 0.44762948174644035, 0.5465426971567728]","[0.6958763498048978, 0.7376130506110287, 0.7901005073330181]","[0.2264088514536031, 0.26865042285881036, 0.2976278348299912]","[0.4810716217771639, 0.5040859213124838, 0.5214389088473798]",0.5,0.5666666666666667,15.0,0
aime26,AIME26,jl_gaussian_r4_s50,30,0.43333333333333335,0.5666666666666667,-0.13333333333333333,"(-0.3, 0.0)",1983,44373,0.04468933811101346,0.0,0.7647058823529412,6,0,58406800.0,29797134.0,0.0,29797134.0,0.0,336697688.95300555,466206720.0,3667697215.7523313,49515154867.14929,336697688.95300555,407097318.4090462,9390868.0,9390868.0,0.5101654944287309,0.5101654944287309,0.7222068548325634,0.7222068548325634,0.2721621123101969,0.0,40195600.0,22091912.0,22091912.0,14568960.0,6467827.0,6467827.0,3642240.0,1237395.0,1237395.0,0.0,0.0,0.1510051795393267,0.16078381284371,0.0,0.5496102060922091,0.4439456900149359,0.3397346138639958,11414400.0,5734054.0,0.0,5734054.0,0.0,61722314.27702117,77701120.0,462270179.74064076,14125999890.692383,61722314.27702117,66929200.9459219,1338383.0,1338383.0,0.5023526422764227,0.5023526422764227,0.794355528942455,0.794355528942455,0.18089990554440308,0.0,8379200.0,4574888.0,4574888.0,2428160.0,997328.0,997328.0,607040.0,161838.0,161838.0,0.0,0.0,0.06701173250656783,0.11725390734510793,0.0,0.5459814779453885,0.4107340537691091,0.2666018713758566,46992400.0,24063080.0,0.0,24063080.0,0.0,274975374.6759844,388505600.0,3205427036.01169,35389154976.45691,274975374.6759844,340168117.4631243,8052485.0,8052485.0,0.5120632272452567,0.5120632272452567,0.7077771200105851,0.7077771200105851,0.30095935779949207,0.0,31816400.0,17517024.0,17517024.0,12140800.0,5470499.0,5470499.0,3035200.0,1075557.0,1075557.0,0.0,0.0,0.1678038689458785,0.1713571769052017,0.0,0.5505658716888145,0.4505880172641012,0.3543611623616236,"[0.7014771646375012, 0.7304653411793736, 0.7859162830261106]","[0.2326602618724332, 0.2638550851171334, 0.28738408534576515]","[0.4688049234605036, 0.5065006996476407, 0.5270521153035509]","[0.7576287319692966, 0.812618492522089, 0.871904102494087]","[0.1433039056666781, 0.16932304935644285, 0.19598450470486142]","[0.34825254768885966, 0.475308396639549, 0.5473696933859928]","[0.6875122467356735, 0.7146659913387785, 0.7687187191325154]","[0.2601560270955233, 0.296003692771052, 0.31651757632398203]","[0.4929153986148324, 0.5086843772233777, 0.5221766287305007]",0.43333333333333335,0.5666666666666667,13.0,0
