benchmark,split,condition,name,target,config,method,thresholds,count,accuracy,dense_accuracy,delta,paired_ci95,matching_tokens,compared_tokens,token_agreement,sequence_exact_match,relative_accuracy,length_terminated,empty_outputs,overall_eligible,overall_skipped,overall_softmax_skipped,overall_pv_omitted,overall_compensated,overall_mass_sum,overall_rows,overall_error_sq,overall_dense_sq,overall_denominator_mass_sum,overall_same_budget_best_mass_sum,overall_wrongly_replaced_vs_mass,overall_unnecessarily_retained_vs_mass,overall_physical_sparsity,overall_pv_omission,overall_mass,overall_denominator_mass,overall_relative_error,overall_rescued_rows,overall_prefix_eligible,overall_prefix_skipped,overall_prefix_replaced,overall_canvas_eligible,overall_canvas_skipped,overall_canvas_replaced,overall_boundary_eligible,overall_boundary_skipped,overall_boundary_replaced,overall_softmax_sparsity,overall_compensation_fraction,overall_mass_selection_gap,overall_wrongly_replaced_fraction,overall_rescued_row_rate,overall_prefix_sparsity,overall_canvas_sparsity,overall_boundary_sparsity,global_eligible,global_skipped,global_softmax_skipped,global_pv_omitted,global_compensated,global_mass_sum,global_rows,global_error_sq,global_dense_sq,global_denominator_mass_sum,global_same_budget_best_mass_sum,global_wrongly_replaced_vs_mass,global_unnecessarily_retained_vs_mass,global_physical_sparsity,global_pv_omission,global_mass,global_denominator_mass,global_relative_error,global_rescued_rows,global_prefix_eligible,global_prefix_skipped,global_prefix_replaced,global_canvas_eligible,global_canvas_skipped,global_canvas_replaced,global_boundary_eligible,global_boundary_skipped,global_boundary_replaced,global_softmax_sparsity,global_compensation_fraction,global_mass_selection_gap,global_wrongly_replaced_fraction,global_rescued_row_rate,global_prefix_sparsity,global_canvas_sparsity,global_boundary_sparsity,local_eligible,local_skipped,local_softmax_skipped,local_pv_omitted,local_compensated,local_mass_sum,local_rows,local_error_sq,local_dense_sq,local_denominator_mass_sum,local_same_budget_best_mass_sum,local_wrongly_replaced_vs_mass,local_unnecessarily_retained_vs_mass,local_physical_sparsity,local_pv_omission,local_mass,local_denominator_mass,local_relative_error,local_rescued_rows,local_prefix_eligible,local_prefix_skipped,local_prefix_replaced,local_canvas_eligible,local_canvas_skipped,local_canvas_replaced,local_boundary_eligible,local_boundary_skipped,local_boundary_replaced,local_softmax_sparsity,local_compensation_fraction,local_mass_selection_gap,local_wrongly_replaced_fraction,local_rescued_row_rate,local_prefix_sparsity,local_canvas_sparsity,local_boundary_sparsity,overall_mass_sample_p10_p50_p90,overall_relative_error_sample_p10_p50_p90,overall_physical_sparsity_sample_p10_p50_p90,global_mass_sample_p10_p50_p90,global_relative_error_sample_p10_p50_p90,global_physical_sparsity_sample_p10_p50_p90,local_mass_sample_p10_p50_p90,local_relative_error_sample_p10_p50_p90,local_physical_sparsity_sample_p10_p50_p90,equal_task_macro,dense_equal_task_macro,correct,unparsed_answers
aime26,calibration6,blasst_aggressive_s50,blasst_aggressive,0.5,"{""method"": ""blasst""}",blasst,"{""global"": {""log_scale"": 7.779279118037186, ""source"": ""existing AIME26 refined aggressive policy"", ""source_sha256"": ""25f4b8a909373450454895db3594bdd80091ffde568115199c9c2a74095e1bd1""}, ""local"": {""log_scale"": 8.091333801578767, ""source"": ""existing AIME26 refined aggressive policy"", ""source_sha256"": ""25f4b8a909373450454895db3594bdd80091ffde568115199c9c2a74095e1bd1""}}",6,0.3333333333333333,0.5,-0.16666666666666666,"(-0.5, 0.0)",182,10254,0.017749171055197972,0.0,0.6666666666666666,1,0,10155680.0,5223770.0,5223770.0,5223770.0,0.0,70074792.13222244,102973440.0,3370698713.9605184,11967162301.333496,70074792.13222244,79745962.32236862,1231005.0,1231005.0,0.5143692987569518,0.5143692987569518,0.6805132676175764,0.6805132676175764,0.5307186838300222,0.0,6133280.0,3094112.0,3094112.0,3217920.0,1725849.0,1725849.0,804480.0,403809.0,403809.0,0.5143692987569518,0.0,0.09391907457055118,0.12121344902556992,0.0,0.5044791693840815,0.5363243958830549,0.5019503281622911,1921280.0,951923.0,951923.0,951923.0,0.0,12001569.489307523,17162240.0,585439830.2870995,3335588871.895508,12001569.489307523,13043674.272276878,162135.0,162135.0,0.4954629205529647,0.4954629205529647,0.6993008773509474,0.6993008773509474,0.4189429389049688,0.0,1250880.0,612986.0,612986.0,536320.0,282006.0,282006.0,134080.0,56931.0,56931.0,0.4954629205529647,0.0,0.060720790699195185,0.08438905313124584,0.0,0.4900438091583525,0.5258166766109785,0.42460471360381863,8234400.0,4271847.0,4271847.0,4271847.0,0.0,58073222.64291492,85811200.0,2785258883.673419,8631573429.437988,58073222.64291492,66702288.05009174,1068870.0,1068870.0,0.5187806033226464,0.5187806033226464,0.6767557456709021,0.6767557456709021,0.5680516155484506,0.0,4882400.0,2481126.0,2481126.0,2681600.0,1443843.0,1443843.0,670400.0,346878.0,346878.0,0.5187806033226464,0.0,0.10055873134482238,0.12980545030603322,0.0,0.5081775356382107,0.5384259397374702,0.5174194510739857,"[0.5173936051536253, 0.7001820550849921, 0.7205756401228547]","[0.44906690345676725, 0.49391014430602026, 0.7205208589254604]","[0.4949130105855333, 0.511922070388247, 0.6210541901765045]","[0.5080367734648462, 0.7246884329706467, 0.7482071843474671]","[0.3378369183080453, 0.38463944853802723, 0.5906200784736657]","[0.46393279407904636, 0.4985143498020207, 0.5996921115451389]","[0.5192649714913811, 0.6952807795078612, 0.715049331277932]","[0.48567386969296383, 0.5301271220410091, 0.764705353084637]","[0.4998966283862295, 0.5168534554183409, 0.6253266059027778]",0.3333333333333333,0.5,2.0,0
aime26,calibration6,blasst_original_s50,blasst_original,0.5,"{""method"": ""blasst""}",blasst,"{""global"": {""cap_one"": true, ""log_threshold"": 0.0, ""source"": ""exact lambda1 fallback for this attention type only"", ""unattainable"": true}, ""local"": {""cap_one"": true, ""log_threshold"": 0.0, ""source"": ""exact lambda1 fallback for this attention type only"", ""unattainable"": true}}",6,0.5,0.5,0.0,"(0.0, 0.0)",448,9423,0.04754324525098164,0.0,1.0,0,0,7803040.0,2204814.0,2204814.0,2204814.0,0.0,59699484.56771755,63897600.0,148896791.82168892,6982675023.9096985,59699484.56771755,61188231.4990406,591734.0,591734.0,0.2825583362381841,0.2825583362381841,0.9342993252910524,0.9342993252910524,0.14602652656245235,0.0,5307040.0,1629122.0,1629122.0,1996800.0,485085.0,485085.0,499200.0,90607.0,90607.0,0.2825583362381841,0.0,0.023298949120515503,0.0758337776046259,0.0,0.30697375561518286,0.24293118990384616,0.18150440705128204,1511040.0,549852.0,549852.0,549852.0,0.0,9619675.265154839,10649600.0,58165851.88277685,2001385678.2961426,9619675.265154839,9790411.153335571,88567.0,88567.0,0.36388977128335454,0.36388977128335454,0.9032898198199781,0.9032898198199781,0.17047812206454271,0.0,1095040.0,449303.0,449303.0,332800.0,86776.0,86776.0,83200.0,13773.0,13773.0,0.36388977128335454,0.0,0.016032140942451617,0.05861327297755189,0.0,0.4103073860315605,0.26074519230769233,0.16554086538461538,6292000.0,1654962.0,1654962.0,1654962.0,0.0,50079809.30256271,53248000.0,90730939.93891206,4981289345.613556,50079809.30256271,51397820.34570503,503167.0,503167.0,0.2630263827082009,0.2630263827082009,0.9405012263852673,0.9405012263852673,0.13496054409929467,0.0,4212000.0,1179819.0,1179819.0,1664000.0,398309.0,398309.0,416000.0,76834.0,76834.0,0.2630263827082009,0.0,0.02475231075612828,0.07996932612841703,0.0,0.28010897435897436,0.23936838942307692,0.1846971153846154,"[0.9310942131849897, 0.9332098356053291, 0.9385267706001548]","[0.14037960445623626, 0.1451930479806937, 0.14949465762532987]","[0.2675875025390928, 0.2895341386284265, 0.30267563868613134]","[0.8935093618671663, 0.9077224525484728, 0.9240379446113388]","[0.15567075777415082, 0.16536623826029398, 0.1795650813314027]","[0.3044466089072944, 0.3395336002951257, 0.3915232268920208]","[0.9356716507967584, 0.9390751808355735, 0.9435961998308409]","[0.13169636375489768, 0.1352866122491492, 0.13841868369748606]","[0.2466912420609434, 0.2745273121453762, 0.29555811879652605]",0.5,0.5,3.0,0
aime26,calibration6,dense,dense,0.0,{},dense,,6,0.5,0.5,0.0,"(0.0, 0.0)",9052,9052,1.0,1.0,1.0,1,0,9073520.0,0.0,0.0,0.0,0.0,72253439.97746277,72253440.0,2.7181293168540045e-05,7957463921.763306,72253439.97746277,72253439.98387146,0.0,0.0,0.0,0.0,0.9999999996880808,0.9999999996880808,5.844504781096942e-08,0.0,6251120.0,0.0,0.0,2257920.0,0.0,0.0,564480.0,0.0,0.0,0.0,0.0,8.8697388058617e-11,0.0,0.0,0.0,0.0,0.0,1790720.0,0.0,0.0,0.0,0.0,12042239.997688293,12042240.0,5.245010683177509e-06,2286988228.536133,12042239.997688293,12042239.997283936,0.0,0.0,0.0,0.0,0.9999999998080336,0.9999999998080336,4.7889601581828827e-08,0.0,1320320.0,0.0,0.0,376320.0,0.0,0.0,94080.0,0.0,0.0,0.0,0.0,-3.357829690790501e-11,0.0,0.0,0.0,0.0,0.0,7282800.0,0.0,0.0,0.0,0.0,60211199.979774475,60211200.0,2.1936282485362536e-05,5670475693.227173,60211199.979774475,60211199.986587524,0.0,0.0,0.0,0.0,0.9999999996640904,0.9999999996640904,6.219733382931984e-08,0.0,4930800.0,0.0,0.0,1881600.0,0.0,0.0,470400.0,0.0,0.0,0.0,0.0,1.131525250519214e-10,0.0,0.0,0.0,0.0,0.0,"[0.9999999993430433, 0.999999999740826, 0.9999999997669544]","[5.223758246659457e-08, 5.399473640637724e-08, 8.263977049195048e-08]","[0.0, 0.0, 0.0]","[0.9999999995194302, 0.9999999998491624, 0.999999999883256]","[4.233849313902474e-08, 4.4528051704618e-08, 6.708909666007614e-08]","[0.0, 0.0, 0.0]","[0.999999999307766, 0.9999999997163413, 0.9999999997465114]","[5.567047315936286e-08, 5.737867255354371e-08, 8.849853523042405e-08]","[0.0, 0.0, 0.0]",0.5,0.5,3.0,0
aime26,calibration6,full_centered_s50,full_centered,0.5,"{""family"": ""identity""}",centered,"{""global"": {""log_threshold"": -1.2118581533432007}, ""local"": {""log_threshold"": -0.7402970194816589}}",6,0.5,0.5,0.0,"(0.0, 0.0)",412,9723,0.042373752956906305,0.0,1.0,2,0,12850400.0,6516511.0,0.0,6516511.0,0.0,73812308.4061656,101130240.0,727342307.6698579,10756229168.413422,73812308.4061656,88927075.42009449,2066635.0,2066635.0,0.5071056932079935,0.5071056932079935,0.7298737588891868,0.7298737588891868,0.2600395475779997,0.0,8900000.0,4919571.0,4919571.0,3160320.0,1315363.0,1315363.0,790080.0,281577.0,281577.0,0.0,0.0,0.1494584311668685,0.16082262030753908,0.0,0.5527607865168539,0.4162119658768732,0.35639049210206564,2532800.0,1263069.0,0.0,1263069.0,0.0,13464079.438443184,16855040.0,91183286.93068664,3069193221.2141113,13464079.438443184,14556488.905007362,300328.0,300328.0,0.49868485470625395,0.49868485470625395,0.7988162257961526,0.7988162257961526,0.17236358027882603,0.0,1874400.0,1020383.0,1020383.0,526720.0,200417.0,200417.0,131680.0,42269.0,42269.0,0.0,0.0,0.06481203643326734,0.118575489576753,0.0,0.5443784677763551,0.3805000759416768,0.3209978736330498,10317600.0,5253442.0,0.0,5253442.0,0.0,60348228.96772241,84275200.0,636159020.7391711,7687035947.19931,60348228.96772241,74370586.51508713,1766307.0,1766307.0,0.5091728696596107,0.5091728696596107,0.7160852655077936,0.7160852655077936,0.28767583937076247,0.0,7025600.0,3899188.0,3899188.0,2633600.0,1114946.0,1114946.0,658400.0,239308.0,239308.0,0.0,0.0,0.1663877101135888,0.17119359153291464,0.0,0.5549971532680483,0.4233543438639125,0.36346901579586877,"[0.7046712683622443, 0.7408091919352726, 0.7712692445527618]","[0.2291482874369229, 0.2573324095396563, 0.27102493679240336]","[0.48482789091389855, 0.49877423936830667, 0.5210710391638997]","[0.768658989133453, 0.8133139470300867, 0.863855812563517]","[0.13643544595350093, 0.16203372020567128, 0.18917883706621458]","[0.39480063516021424, 0.45085318852396844, 0.5356129114758478]","[0.6918737242080024, 0.7263082409163099, 0.7527519309506108]","[0.2586683077449399, 0.28674062174070997, 0.29703415195634764]","[0.5022343317090008, 0.5077713500306662, 0.5191151461391406]",0.5,0.5,3.0,0
aime26,calibration6,jl_gaussian_r16_s50,jl_gaussian_r16,0.5,"{""family"": ""gaussian"", ""rank"": 16}",centered,"{""global"": {""log_threshold"": -1.2361350059509277}, ""local"": {""log_threshold"": -0.7595282196998596}}",6,0.3333333333333333,0.5,-0.16666666666666666,"(-0.5, 0.0)",486,10020,0.048502994011976046,0.0,0.6666666666666666,3,0,15345200.0,7827622.0,0.0,7827622.0,0.0,86568190.4346755,119070720.0,880562482.038855,12669888592.186646,86568190.4346755,104510013.83903599,2467797.0,2467797.0,0.5101023121236609,0.5101023121236609,0.7270317205999552,0.7270317205999552,0.2636293086623327,0.0,10694000.0,5935550.0,5935550.0,3720960.0,1550733.0,1550733.0,930240.0,341339.0,341339.0,0.0,0.0,0.15068207704094247,0.16081882282407528,0.0,0.5550355339442679,0.4167561597007224,0.36693648950808394,3120000.0,1596844.0,0.0,1596844.0,0.0,15813711.679018497,19845120.0,108036041.21261016,3598003569.2802734,15813711.679018497,17104965.74118042,353904.0,353904.0,0.5118089743589743,0.5118089743589743,0.7968564402240197,0.7968564402240197,0.17328203356678684,0.0,2344800.0,1307987.0,1307987.0,620160.0,242423.0,242423.0,155040.0,46434.0,46434.0,0.0,0.0,0.06506657869349858,0.11343076923076922,0.0,0.5578245479358581,0.39090396026831786,0.2994969040247678,12225200.0,6230778.0,0.0,6230778.0,0.0,70754478.755657,99225600.0,772526440.8262447,9071885022.906372,70754478.755657,87405048.09785557,2113893.0,2113893.0,0.5096667539181363,0.5096667539181363,0.7130667766751423,0.7130667766751423,0.2918151987308932,0.0,8349200.0,4627563.0,4627563.0,3100800.0,1308310.0,1308310.0,775200.0,294905.0,294905.0,0.0,0.0,0.16780517671043124,0.17291275398357492,0.0,0.5542522636899344,0.4219265995872033,0.3804244066047472,"[0.6995886797712655, 0.7448907204458981, 0.7769793846751698]","[0.22863722366936406, 0.25426288358461907, 0.2765674638185142]","[0.491914947669719, 0.4961021153590095, 0.5237388167515775]","[0.7574462952129, 0.8198419102841782, 0.871669723016509]","[0.13046575146151235, 0.1611753582840367, 0.19235879540765372]","[0.39244862522319535, 0.47369480296920513, 0.5552932865525689]","[0.6880171566829386, 0.7299004824782422, 0.758041317006902]","[0.25927613303313213, 0.2811773493845492, 0.3047151656057989]","[0.4976204258345731, 0.5087810915518352, 0.5221358350351128]",0.3333333333333333,0.5,2.0,0
aime26,calibration6,jl_gaussian_r1_s50,jl_gaussian_r1,0.5,"{""family"": ""gaussian"", ""rank"": 1}",centered,"{""global"": {""log_threshold"": -1.2361350059509277}, ""local"": {""log_threshold"": -0.8611931800842285}}",6,0.3333333333333333,0.5,-0.16666666666666666,"(-0.5, 0.0)",404,9187,0.0439751823228475,0.0,0.6666666666666666,1,0,14261200.0,7069217.0,0.0,7069217.0,0.0,85462872.94802608,116736000.0,1260955858.6913474,12246248645.60553,85462872.94802608,102172636.54649639,2232854.0,2232854.0,0.4956958039996634,0.4956958039996634,0.7321038321342694,0.7321038321342694,0.32088425318474534,0.0,9701200.0,5232091.0,5232091.0,3648000.0,1508466.0,1508466.0,912000.0,328660.0,328660.0,0.0,0.0,0.14314147819413306,0.15656845146271,0.0,0.5393241042345277,0.4135049342105263,0.3603728070175439,2736000.0,1336607.0,0.0,1336607.0,0.0,15436737.90011692,19456000.0,139333764.09735507,3529101118.8945312,15436737.90011692,16836470.621102333,325647.0,325647.0,0.48852595029239765,0.48852595029239765,0.7934178608201542,0.7934178608201542,0.19869920692503382,0.0,1976000.0,1067542.0,1067542.0,608000.0,228317.0,228317.0,152000.0,40748.0,40748.0,0.0,0.0,0.07194349922827985,0.11902302631578947,0.0,0.540254048582996,0.3755213815789474,0.26807894736842103,11525200.0,5732610.0,0.0,5732610.0,0.0,70026135.04790916,97280000.0,1121622094.5939922,8717147526.710999,70026135.04790916,85336165.92539406,1907207.0,1907207.0,0.4973978759587686,0.4973978759587686,0.7198410263970925,0.7198410263970925,0.3587038846087473,0.0,7725200.0,4164549.0,4164549.0,3040000.0,1280149.0,1280149.0,760000.0,287912.0,287912.0,0.0,0.0,0.1573810739873037,0.16548146669905944,0.0,0.5390862372495211,0.4211016447368421,0.3788315789473684,"[0.7172823217841706, 0.7354496412532469, 0.7701195770959293]","[0.29442967692872013, 0.31647360316601836, 0.330907160952539]","[0.47588055953178043, 0.49369281003651144, 0.504063118726485]","[0.7731241490938674, 0.7981557759514222, 0.8449201248273703]","[0.17134589024916214, 0.1963018485000022, 0.20893596756407884]","[0.4009749127848399, 0.4502865059602548, 0.5195933405412112]","[0.7053497184747672, 0.7236726521610758, 0.7551594675496411]","[0.33350850595549686, 0.35305290126784955, 0.3688637742451447]","[0.486207794894364, 0.4953761922105041, 0.5121887947008497]",0.3333333333333333,0.5,2.0,0
aime26,calibration6,jl_gaussian_r24_s50,jl_gaussian_r24,0.5,"{""family"": ""gaussian"", ""rank"": 24}",centered,"{""global"": {""log_threshold"": -1.2361350059509277}, ""local"": {""log_threshold"": -0.7595282196998596}}",6,0.3333333333333333,0.5,-0.16666666666666666,"(-0.6666666666666666, 0.3333333333333333)",447,9834,0.045454545454545456,0.0,0.6666666666666666,1,0,12913520.0,6492958.0,0.0,6492958.0,0.0,75135450.10977696,103096320.0,749904969.6233934,10994424709.431671,75135450.10977696,90440622.89501,2114834.0,2114834.0,0.5028031086798952,0.5028031086798952,0.7287888656915879,0.7287888656915879,0.26116613445493464,0.0,8886320.0,4855948.0,4855948.0,3221760.0,1354429.0,1354429.0,805440.0,282581.0,282581.0,0.0,0.0,0.14845508341357902,0.1637689801076701,0.0,0.5464520746495737,0.4204003401867302,0.3508405343663091,2499520.0,1235473.0,0.0,1235473.0,0.0,13615151.195739746,17182720.0,96051434.05168387,3136460453.3825684,13615151.195739746,14747872.547245026,300133.0,300133.0,0.4942841025476892,0.4942841025476892,0.7923746179731582,0.7923746179731582,0.17499757018942255,0.0,1828320.0,981950.0,981950.0,536960.0,212326.0,212326.0,134240.0,41197.0,41197.0,0.0,0.0,0.0659221212651594,0.12007625464089106,0.0,0.5370777544412356,0.3954223778307509,0.30689064362336116,10414000.0,5257485.0,0.0,5257485.0,0.0,61520298.91403721,85913600.0,653853535.5717095,7857964256.049103,61520298.91403721,75692750.34776497,1814701.0,1814701.0,0.5048478010370655,0.5048478010370655,0.7160717152352737,0.7160717152352737,0.28845974398182905,0.0,7058000.0,3873998.0,3873998.0,2684800.0,1142103.0,1142103.0,671200.0,241384.0,241384.0,0.0,0.0,0.16496167584326296,0.17425590551181103,0.0,0.5488804193822613,0.4253959326579261,0.3596305125148987,"[0.6995396016857626, 0.741958272442585, 0.7771746020691481]","[0.23720930184078898, 0.25844894009569186, 0.27265233120176724]","[0.48439393021255134, 0.4974665916393989, 0.5131327992423694]","[0.7389435141223575, 0.8226636408272563, 0.8648141742060242]","[0.13515765276167113, 0.15979220069492295, 0.2006794702727549]","[0.41020848899764634, 0.46911497872711366, 0.5321152005021614]","[0.6916588191984436, 0.7258171987656508, 0.7596466876417729]","[0.26514139958897126, 0.2872094608997334, 0.3012569774063779]","[0.4986158367152448, 0.5052508964706762, 0.5081568008092481]",0.3333333333333333,0.5,2.0,0
aime26,calibration6,jl_gaussian_r2_s50,jl_gaussian_r2,0.5,"{""family"": ""gaussian"", ""rank"": 2}",centered,"{""global"": {""log_threshold"": -1.2668640613555908}, ""local"": {""log_threshold"": -0.8551128506660461}}",6,0.5,0.5,0.0,"(0.0, 0.0)",526,9862,0.05333603731494626,0.0,1.0,3,0,14936640.0,7459950.0,0.0,7459950.0,0.0,84927420.3214067,115752960.0,978055472.0337808,12311074140.056458,84927420.3214067,102039328.54845905,2389089.0,2389089.0,0.4994396330098335,0.4994396330098335,0.7336954521198137,0.7336954521198137,0.28186020940010176,0.0,10415040.0,5621321.0,5621321.0,3617280.0,1506255.0,1506255.0,904320.0,332374.0,332374.0,0.0,0.0,0.1478312798830574,0.1599482212867151,0.0,0.5397311004086398,0.41640542064755837,0.36754025123849965,3024640.0,1547756.0,0.0,1547756.0,0.0,15248791.733596802,19292160.0,136609582.1820294,3476745210.7976074,15248791.733596802,16493574.800179482,344372.0,344372.0,0.5117157744392721,0.5117157744392721,0.7904139159947254,0.7904139159947254,0.19822304761284731,0.0,2271040.0,1256011.0,1256011.0,602880.0,242713.0,242713.0,150720.0,49032.0,49032.0,0.0,0.0,0.06452274222184969,0.11385553322048243,0.0,0.5530554283500071,0.40258923832271765,0.32531847133757963,11912000.0,5912194.0,0.0,5912194.0,0.0,69678628.5878099,96460800.0,841445889.8517514,8834328929.25885,69678628.5878099,85545753.74827957,2044717.0,2044717.0,0.49632253190060444,0.49632253190060444,0.7223517593448313,0.7223517593448313,0.3086215968496419,0.0,8144000.0,4365310.0,4365310.0,3014400.0,1263542.0,1263542.0,753600.0,283342.0,283342.0,0.0,0.0,0.1644929874152989,0.17165186366689053,0.0,0.5360154715127702,0.41916865711252654,0.37598460721868365,"[0.7132414033307207, 0.7379088520235342, 0.7914641145938945]","[0.24725320328424505, 0.2842131283402682, 0.29091357657828376]","[0.47220233762455416, 0.4934366372163186, 0.5070522883948239]","[0.7594290750648185, 0.8030178213996473, 0.8685356369996615]","[0.15934402590034213, 0.19293134417638122, 0.2124444452408984]","[0.3786071634028365, 0.48005031564178874, 0.5468457343458366]","[0.7040038689839012, 0.7248870581483116, 0.7760498101127411]","[0.27602051971309555, 0.3102756252541662, 0.31879523741994]","[0.4879664444761024, 0.4957556840768642, 0.5003593518980062]",0.5,0.5,3.0,0
aime26,calibration6,jl_gaussian_r32_s50,jl_gaussian_r32,0.5,"{""family"": ""gaussian"", ""rank"": 32}",centered,"{""global"": {""log_threshold"": -1.2361350059509277}, ""local"": {""log_threshold"": -0.7595282196998596}}",6,0.5,0.5,0.0,"(0.0, 0.0)",626,9247,0.06769763166432356,0.0,1.0,1,0,11404960.0,5758937.0,0.0,5758937.0,0.0,65612499.791829295,89948160.0,652203291.1081499,9556909914.281555,65612499.791829295,79216566.09789276,1857584.0,1857584.0,0.5049502146434534,0.5049502146434534,0.7294479374767565,0.7294479374767565,0.2612358325146761,0.0,7891360.0,4354147.0,4354147.0,2810880.0,1150250.0,1150250.0,702720.0,254540.0,254540.0,0.0,0.0,0.15124340849288598,0.16287509995651014,0.0,0.5517612933638815,0.4092134847449909,0.36222108378870677,2216960.0,1091133.0,0.0,1091133.0,0.0,11978345.654505253,14991360.0,78648026.25489756,2737394091.1208496,11978345.654505253,12988246.165138245,270333.0,270333.0,0.4921753211605081,0.4921753211605081,0.7990166105346849,0.7990166105346849,0.16950216563180714,0.0,1631360.0,879973.0,879973.0,468480.0,175354.0,175354.0,117120.0,35806.0,35806.0,0.0,0.0,0.06736550323873162,0.12193860060623557,0.0,0.5394106757551981,0.3743041325136612,0.30572062841530057,9188000.0,4667804.0,0.0,4667804.0,0.0,53634154.13732404,74956800.0,573555264.8532523,6819515823.160706,53634154.13732404,66228319.93275452,1587251.0,1587251.0,0.5080326512842839,0.5080326512842839,0.7155342028651709,0.7155342028651709,0.2900085918785547,0.0,6260000.0,3474174.0,3474174.0,2342400.0,974896.0,974896.0,585600.0,218734.0,218734.0,0.0,0.0,0.16801898954371683,0.1727526121027427,0.0,0.5549798722044729,0.41619535519125683,0.373521174863388,"[0.7067897763957596, 0.7420536583928588, 0.7709286924657393]","[0.23394745746816603, 0.24427222478489768, 0.2790013798392588]","[0.48505549169909545, 0.5024255224408395, 0.5153963453863094]","[0.7715861734082883, 0.8080763933877677, 0.8623874973801264]","[0.1369012777501471, 0.1653181536773871, 0.18243219268822836]","[0.419342867468794, 0.458701647512044, 0.521763063292506]","[0.693574377869248, 0.7291052305178827, 0.7526369314828619]","[0.26453792123697256, 0.2691706700952795, 0.3091221154014409]","[0.498267820179396, 0.5036518102679861, 0.5223874603348287]",0.5,0.5,3.0,0
aime26,calibration6,jl_gaussian_r4_s50,jl_gaussian_r4,0.5,"{""family"": ""gaussian"", ""rank"": 4}",centered,"{""global"": {""log_threshold"": -1.2361350059509277}, ""local"": {""log_threshold"": -0.7595282196998596}}",6,0.3333333333333333,0.5,-0.16666666666666666,"(-0.5, 0.0)",395,9997,0.03951185355606682,0.0,0.6666666666666666,2,0,13491680.0,6813868.0,0.0,6813868.0,0.0,78333902.71863613,107888640.0,868730126.6022909,11510720987.843536,78333902.71863613,94537967.35182571,2184292.0,2184292.0,0.5050422186117667,0.5050422186117667,0.7260625652398263,0.7260625652398263,0.27472056929601596,0.0,9277280.0,5079298.0,5079298.0,3371520.0,1421302.0,1421302.0,842880.0,313268.0,313268.0,0.0,0.0,0.15019250064872064,0.16189918527566619,0.0,0.547498620285256,0.4215611949506454,0.37166381928625664,2658880.0,1320474.0,0.0,1320474.0,0.0,14387376.989070892,17981440.0,103285180.953995,3290604573.909912,14387376.989070892,15586821.949362755,311746.0,311746.0,0.4966279034781562,0.4966279034781562,0.8001237380916596,0.8001237380916596,0.1771663177574641,0.0,1956480.0,1060764.0,1060764.0,561920.0,215084.0,215084.0,140480.0,44626.0,44626.0,0.0,0.0,0.0667046109928828,0.11724711156577206,0.0,0.5421798331697743,0.38276623006833715,0.31766799544419133,10832800.0,5493394.0,0.0,5493394.0,0.0,63946525.72956523,89907200.0,765444945.6482959,8220116413.933624,63946525.72956523,78951145.40246296,1872546.0,1872546.0,0.5071074883686582,0.5071074883686582,0.7112503306694595,0.7112503306694595,0.3051532472403466,0.0,7320800.0,4018534.0,4018534.0,2809600.0,1206218.0,1206218.0,702400.0,268642.0,268642.0,0.0,0.0,0.16689007857988822,0.17285890997710657,0.0,0.5489200633810513,0.4293201879271071,0.3824629840546697,"[0.7071331308419493, 0.720325451413091, 0.7723324985148405]","[0.24615662272522765, 0.27970093796879014, 0.28503273902138615]","[0.4786940284822113, 0.5009056004814251, 0.5171429297581147]","[0.7688808896683925, 0.8020784380351005, 0.8626829258593736]","[0.1447817674607889, 0.17700104280199108, 0.19167743251630526]","[0.386346173679868, 0.4713478747660093, 0.5432364197091658]","[0.6947835790766606, 0.7039748540886891, 0.7542624130459339]","[0.278113894112457, 0.3088110075841618, 0.3166750972810867]","[0.49760172693366383, 0.502931336714137, 0.515226931209289]",0.3333333333333333,0.5,2.0,0
