condition,count,accuracy,delta,paired_ci95,convention
dense,120,0.9666666666666667,0.0,"[0.0, 0.0]",Post-hoc sensitivity excluding VT; primary score retains all13 tasks.
blasst_s50,120,0.9658333333333334,-0.0008333333333333332,"[-0.002499999999999999, 0.0]",Post-hoc sensitivity excluding VT; primary score retains all13 tasks.
mass_s50,120,0.9833333333333333,0.016666666666666666,"[0.0, 0.041666666666666664]",Post-hoc sensitivity excluding VT; primary score retains all13 tasks.
full_centered_s50,120,0.9625,-0.004166666666666667,"[-0.012499999999999999, 0.0]",Post-hoc sensitivity excluding VT; primary score retains all13 tasks.
jl_gaussian_r2_s50,120,0.9625,-0.004166666666666667,"[-0.029166666666666664, 0.016666666666666666]",Post-hoc sensitivity excluding VT; primary score retains all13 tasks.
blasst_s75,120,0.027083333333333334,-0.9395833333333333,"[-0.9729166666666668, -0.90625]",Post-hoc sensitivity excluding VT; primary score retains all13 tasks.
mass_s75,120,0.22708333333333333,-0.7395833333333334,"[-0.8, -0.6791666666666666]",Post-hoc sensitivity excluding VT; primary score retains all13 tasks.
full_centered_s75,120,0.5093058333333333,-0.4573608333333333,"[-0.5273643125, -0.38818989583333335]",Post-hoc sensitivity excluding VT; primary score retains all13 tasks.
jl_gaussian_r2_s75,120,0.027083333333333334,-0.9395833333333333,"[-0.9729166666666668, -0.9041666666666668]",Post-hoc sensitivity excluding VT; primary score retains all13 tasks.
jl_gaussian_r1_s75,120,0.04375,-0.9229166666666667,"[-0.9583333333333335, -0.8833333333333334]",Post-hoc sensitivity excluding VT; primary score retains all13 tasks.
jl_gaussian_r4_s75,120,0.15166666666666667,-0.815,"[-0.8733333333333334, -0.755]",Post-hoc sensitivity excluding VT; primary score retains all13 tasks.
jl_gaussian_r8_s75,120,0.32986166666666666,-0.6368050000000001,"[-0.7076383333333333, -0.5666666458333333]",Post-hoc sensitivity excluding VT; primary score retains all13 tasks.
jl_gaussian_r16_s75,120,0.17666666666666667,-0.7899999999999999,"[-0.8416666666666667, -0.7349895833333334]",Post-hoc sensitivity excluding VT; primary score retains all13 tasks.
jl_gaussian_r32_s75,120,0.4966675,-0.4699991666666667,"[-0.5349983541666666, -0.4049991666666667]",Post-hoc sensitivity excluding VT; primary score retains all13 tasks.
jl_gaussian_r1_s50,120,0.9833333333333333,0.016666666666666666,"[0.0, 0.041666666666666664]",Post-hoc sensitivity excluding VT; primary score retains all13 tasks.
jl_gaussian_r4_s50,120,0.9595833333333333,-0.007083333333333333,"[-0.016666666666666666, 0.0]",Post-hoc sensitivity excluding VT; primary score retains all13 tasks.
jl_gaussian_r8_s50,120,0.975,0.008333333333333333,"[0.0, 0.024999999999999998]",Post-hoc sensitivity excluding VT; primary score retains all13 tasks.
jl_gaussian_r16_s50,120,0.9763891666666666,0.0097225,"[-0.011110833333333332, 0.03333333333333333]",Post-hoc sensitivity excluding VT; primary score retains all13 tasks.
jl_gaussian_r32_s50,120,0.96875,0.0020833333333333333,"[-0.012499999999999999, 0.020833333333333336]",Post-hoc sensitivity excluding VT; primary score retains all13 tasks.
