condition,name,target,attention_type,cap_one,log_scale,calibration_goal,aggressive_allowed,calls,calls_above_one,lambda_min,lambda_max,log_threshold,tau
blasst_s50,blasst,0.5,local,True,7.169458801578907,0.28417067307692306,False,13350,0,1.0,1.0,,
blasst_s50,blasst,0.5,global,True,8.303795598709378,0.659622258402575,False,2670,0,0.47948414298344516,0.6176107676594095,,
mass_s50,mass,0.5,local,,,0.5,False,,,,,-0.023326871916651726,0.9769430963143735
mass_s50,mass,0.5,global,,,0.5,False,,,,,-0.6547565460205078,0.5195685382191739
full_centered_s50,full_centered,0.5,local,,,0.5,False,,,,,-1.0809507369995117,0.33927281304555246
full_centered_s50,full_centered,0.5,global,,,0.5,False,,,,,-3.9589128494262695,0.019083850036647115
jl_gaussian_r2_s50,jl_gaussian_r2,0.5,local,,,0.5,False,,,,,-1.1640655994415283,0.31221425895519744
jl_gaussian_r2_s50,jl_gaussian_r2,0.5,global,,,0.5,False,,,,,-4.088618278503418,0.016762378503676643
blasst_s75,blasst,0.75,local,False,10.091333801578884,0.75,True,135175,135175,18.868615759265655,18.868615759265655,,
blasst_s75,blasst,0.75,global,False,8.511756850495185,0.75,True,27035,0,0.5903243169748235,0.7603810468189461,,
mass_s75,mass,0.75,local,,,0.75,False,,,,,-0.0011606216430664062,0.9988400516177406
mass_s75,mass,0.75,global,,,0.75,False,,,,,-0.26544666290283203,0.766863344059542
full_centered_s75,full_centered,0.75,local,,,0.75,False,,,,,0.06372106820344925,1.065795073162139
full_centered_s75,full_centered,0.75,global,,,0.75,False,,,,,-2.973095417022705,0.051144750722458325
jl_gaussian_r2_s75,jl_gaussian_r2,0.75,local,,,0.75,False,,,,,0.11468420922756195,1.1215192162253698
jl_gaussian_r2_s75,jl_gaussian_r2,0.75,global,,,0.75,False,,,,,-3.0968663692474365,0.04519059137428668
