condition,method,target_sparsity,attention_type,actual_sparsity,valid_qk_element_sparsity,retained_attention_mass,accuracy
dense,dense,0.0,global,,,,0.8
dense,dense,0.0,local,,,,0.8
sol_gaussian_s25,sol_gaussian,0.25,global,0.19051066477556888,0.0,0.9550287238432437,0.84
sol_gaussian_s25,sol_gaussian,0.25,local,0.26491023166023164,0.0,0.9035346351156429,0.84
sol_gaussian_s50,sol_gaussian,0.5,global,0.5894891360335687,0.0,0.8316503108332032,0.871
sol_gaussian_s50,sol_gaussian,0.5,local,0.6556741198435277,0.0,0.6392555153722825,0.871
sol_gaussian_s75,sol_gaussian,0.75,global,0.8488571239374895,0.0,0.7055187376239632,0.882
sol_gaussian_s75,sol_gaussian,0.75,local,0.7632706123845364,0.0,0.5822582957591814,0.882
sol_gaussian_s90,sol_gaussian,0.9,global,0.9300545482814251,0.0,0.6437442484138843,0.83134
sol_gaussian_s90,sol_gaussian,0.9,local,0.8399016198609033,0.0,0.5196499844274032,0.83134
blasst_calibrated_s25,blasst_calibrated,0.25,global,0.019121992874654128,0.18234485437397752,0.9906987027282572,0.81
blasst_calibrated_s25,blasst_calibrated,0.25,local,0.1055635691871647,0.40875741341390726,0.900589733704199,0.81
blasst_calibrated_s50,blasst_calibrated,0.5,global,0.13507943442760512,0.5860507024310759,0.8901887435337593,0.915
blasst_calibrated_s50,blasst_calibrated,0.5,local,0.2870613932898416,0.7204857343660058,0.5544570551201758,0.915
blasst_calibrated_s75,blasst_calibrated,0.75,global,0.7478541074890662,0.9745384626243413,0.4553029976823003,0.8959999999999999
blasst_calibrated_s75,blasst_calibrated,0.75,local,0.2876055243060319,0.7219837973766837,0.5425831390435724,0.8959999999999999
blasst_calibrated_s90,blasst_calibrated,0.9,global,0.9124756757986321,0.9900306074485472,0.3376509916599312,0.78334
blasst_calibrated_s90,blasst_calibrated,0.9,local,0.28050700090334235,0.721143007339338,0.5395994072070289,0.78334
