condition,baseline,accuracy_delta,accuracy_ci_low,accuracy_ci_high,mean_iteration_delta,iteration_ci_low,iteration_ci_high
native_dense,kernel_dense,0.00846153846153841,0.0,0.024615384615384615,-0.07692307692307665,-0.26153846153846155,0.11538461538461539
kernel_dense,kernel_dense,0.0,0.0,0.0,0.0,0.0,0.0
unweighted_s50,kernel_dense,0.005896923076923133,0.0,0.012819230769230767,0.6538461538461542,0.40769230769230774,0.9076923076923078
unweighted_s50,unweighted_s50,0.0,0.0,0.0,0.0,0.0,0.0
M_s50,kernel_dense,0.013589230769230798,0.0007692307692307691,0.030768480769230767,0.7307692307692308,0.5076923076923078,0.9615384615384616
M_s50,unweighted_s50,0.007692307692307665,0.0,0.023076923076923075,0.07692307692307665,-0.20769230769230765,0.3769230769230768
C_s50,kernel_dense,0.009102307692307687,-0.0030769230769230774,0.025640769230769227,0.48461538461538467,0.26153846153846155,0.7153846153846153
C_s50,unweighted_s50,0.0032053846153845544,-0.008973846153846153,0.02115384615384615,-0.16923076923076952,-0.4384615384615384,0.1076923076923077
T_s50,kernel_dense,0.005896923076923133,0.0,0.012819230769230767,0.37692307692307736,0.13846153846153844,0.6384615384615385
T_s50,unweighted_s50,0.0,0.0,0.0,-0.2769230769230768,-0.5540384615384615,0.030961538461539193
MT_s50,kernel_dense,0.005127692307692278,-0.0007692307692307691,0.012049999999999996,0.7307692307692308,0.40769230769230774,1.0846153846153845
MT_s50,unweighted_s50,-0.0007692307692308553,-0.002307692307692307,0.0,0.07692307692307665,-0.23846153846153847,0.43846153846153846
CT_s50,kernel_dense,0.0033330769230769386,0.0,0.009229999999999999,0.5076923076923077,0.25384615384615383,0.7615384615384616
CT_s50,unweighted_s50,-0.0025638461538461943,-0.00769153846153846,0.0,-0.14615384615384652,-0.41538461538461535,0.12307692307692307
CT_shuffle_s50,kernel_dense,0.005896923076923133,0.0,0.012819230769230767,0.407692307692308,0.16153846153846155,0.6769230769230768
CT_shuffle_s50,unweighted_s50,0.0,0.0,0.0,-0.24615384615384617,-0.5078846153846154,0.05384615384615384
CT_uniform_s50,kernel_dense,0.005896923076923133,0.0,0.012819230769230767,0.5153846153846153,0.2923076923076924,0.738653846153847
CT_uniform_s50,unweighted_s50,0.0,0.0,0.0,-0.13846153846153886,-0.39230769230769236,0.13076923076923078
bootstrap_unweighted_s50,kernel_dense,-0.004359230769230726,-0.022307692307692306,0.007435384615384613,1.5538461538461545,1.1153846153846154,2.0538461538461537
bootstrap_unweighted_s50,unweighted_s50,-0.01025615384615386,-0.028204615384615384,0.0,0.9000000000000004,0.4615384615384616,1.4307692307692308
bootstrap_CT_s50,kernel_dense,0.0,-0.00769153846153846,0.00769153846153846,0.9000000000000004,0.6384615384615385,1.1538461538461537
bootstrap_CT_s50,unweighted_s50,-0.005896923076923133,-0.012819230769230767,0.0,0.24615384615384617,-0.08461538461538463,0.5769230769230769
unweighted_s70,kernel_dense,-0.027692307692307794,-0.057692307692307696,-0.0040959230769230534,12.376923076923077,11.246153846153849,13.530769230769229
unweighted_s70,unweighted_s70,0.0,0.0,0.0,0.0,0.0,0.0
M_s70,kernel_dense,-0.049743846153846194,-0.0923076923076923,-0.010769999999999995,18.130769230769232,15.653846153846153,20.692500000000006
M_s70,unweighted_s70,-0.0220515384615384,-0.06076923076923077,0.017178480769230765,5.753846153846155,3.4921153846153845,8.146346153846155
C_s70,kernel_dense,0.0033330769230769386,-0.01718,0.023846153846153847,4.569230769230769,3.830769230769231,5.338461538461539
C_s70,unweighted_s70,0.031025384615384732,-0.0007692307692307699,0.06436488461538463,-7.807692307692308,-9.0,-6.615384615384615
T_s70,kernel_dense,0.0033330769230769386,0.0,0.009229999999999999,2.707692307692308,2.253846153846154,3.230769230769231
T_s70,unweighted_s70,0.031025384615384732,0.007692307692307693,0.061538461538461535,-9.669230769230769,-10.892500000000002,-8.46923076923077
MT_s70,kernel_dense,-0.027051538461538516,-0.059743076923076927,0.004490134615384627,16.97692307692308,15.2075,18.80019230769231
MT_s70,unweighted_s70,0.000640769230769278,-0.04039499999999999,0.042826423076923095,4.600000000000001,2.645192307692308,6.554038461538462
CT_s70,kernel_dense,0.0007692307692307443,-0.009486153846153844,0.011024615384615383,3.4153846153846157,2.7074999999999996,4.223076923076923
CT_s70,unweighted_s70,0.028461538461538538,0.005128461538461539,0.05794848076923078,-8.961538461538462,-10.169230769230769,-7.769230769230769
CT_shuffle_s70,kernel_dense,-0.004359230769230726,-0.022307692307692306,0.00769153846153846,2.615384615384616,2.0076923076923077,3.3001923076923085
CT_shuffle_s70,unweighted_s70,0.023333076923077067,-0.006153846153846155,0.05641,-9.76153846153846,-10.899999999999999,-8.676923076923076
CT_uniform_s70,kernel_dense,-0.0573084615384617,-0.09244976923076924,-0.026019730769230743,14.523076923076925,12.953846153846154,16.146346153846157
CT_uniform_s70,unweighted_s70,-0.029616153846153903,-0.07051778846153846,0.00897553846153847,2.1461538461538474,0.5153846153846154,3.8925000000000005
bootstrap_unweighted_s70,kernel_dense,-0.2174361538461539,-0.2703949807692308,-0.16807690384615384,23.915384615384614,22.45365384615384,25.407692307692304
bootstrap_unweighted_s70,unweighted_s70,-0.1897438461538461,-0.2398715576923077,-0.14255746153846152,11.538461538461537,9.969038461538458,13.146153846153844
bootstrap_CT_s70,kernel_dense,-0.011538461538461608,-0.039229999999999994,0.013340230769230792,13.407692307692308,11.753653846153847,15.046538461538464
bootstrap_CT_s70,unweighted_s70,0.016153846153846185,-0.019486923076923072,0.05307692307692307,1.0307692307692307,-0.8232692307692309,2.861538461538461
CT_s50,CT_shuffle_s50,-0.0025638461538461943,-0.00769153846153846,0.0,0.09999999999999964,-0.15384615384615385,0.34615384615384615
CT_s50,CT_uniform_s50,-0.0025638461538461943,-0.00769153846153846,0.0,-0.007692307692307665,-0.2076923076923077,0.2153846153846154
bootstrap_CT_s50,bootstrap_unweighted_s50,0.004359230769230726,-0.00769153846153846,0.022307692307692306,-0.6538461538461542,-1.2000000000000002,-0.1769230769230769
CT_s70,CT_shuffle_s70,0.005128461538461471,-0.010255384615384612,0.023076923076923075,0.7999999999999998,-0.015384615384615398,1.715384615384615
CT_s70,CT_uniform_s70,0.05807769230769244,0.024360000000000007,0.09539255769230771,-11.107692307692309,-12.815576923076925,-9.430384615384614
bootstrap_CT_s70,bootstrap_unweighted_s70,0.20589769230769228,0.14935998076923077,0.2628247115384616,-10.507692307692306,-12.461538461538462,-8.538461538461538
