condition,method,target_sparsity,n,sparsity,global_sparsity,local_sparsity,accuracy,total_iterations,mean_iterations,median_iterations,p90_iterations,p95_iterations,max_iterations,cap_fraction,eligible_tiles,skipped_tiles,executed_tiles,threshold_local,threshold_global,accuracy_delta_vs_kernel_dense,accuracy_delta_vs_unweighted,iteration_delta_vs_unweighted
native_dense,native_dense,,130,0.0,0.0,0.0,0.9025646153846154,520,4.0,4.0,6.0,8.0,12,0.0,0,0,0,,,0.00846153846153841,,
kernel_dense,kernel_dense,,130,0.0,0.0,0.0,0.894103076923077,530,4.076923076923077,4.0,6.0,8.549999999999997,12,0.0,13344640,0,13344640,,,0.0,,
unweighted_s50,unweighted,50,130,0.4904550049641136,0.4879731309937547,0.4920806589644844,0.9000000000000001,615,4.730769230769231,4.0,7.0,13.0,16,0.0,15471040,7587849,7883191,-1.1099318265914917,-3.2366905212402344,0.005896923076923133,0.0,0.0
M_s50,M,50,130,0.49811757565578524,0.5014355413471929,0.4959456842105263,0.9076923076923078,625,4.8076923076923075,4.0,7.0,10.0,13,0.0,15718560,7829691,7888869,-0.30993182659149177,-2.436690521240234,0.013589230769230798,0.007692307692307665,0.07692307692307665
C_s50,C,50,130,0.4851314293985825,0.48623368446707105,0.484408893228011,0.9032053846153847,593,4.561538461538461,4.0,8.0,10.0,18,0.0,14922080,7239170,7682910,-1.0099318265914916,-3.1366905212402343,0.009102307692307687,0.0032053846153845544,-0.16923076923076952
T_s50,T,50,130,0.49514671864525983,0.4975028824248486,0.493604899554586,0.9000000000000001,579,4.453846153846154,4.0,6.1000000000000085,8.549999999999997,18,0.0,14559840,7209257,7350583,-1.0099318265914916,-3.1366905212402343,0.005896923076923133,0.0,-0.2769230769230768
MT_s50,MT,50,130,0.4952736789403058,0.498493319313723,0.4931592631578947,0.8992307692307693,625,4.8076923076923075,4.0,7.0,9.0,24,0.0,15738880,7795053,7943827,-0.6599318265914917,-2.786690521240234,0.005127692307692278,-0.0007692307692308553,0.07692307692307665
CT_s50,CT,50,130,0.49439722566116673,0.4956181900318248,0.49359766866831506,0.8974361538461539,596,4.584615384615384,4.0,7.1000000000000085,9.0,17,0.0,14991680,7411845,7579835,-1.0099318265914916,-3.1366905212402343,0.0033330769230769386,-0.0025638461538461943,-0.14615384615384652
CT_shuffle_s50,CT_shuffle,50,130,0.4888555472598858,0.49471268872205265,0.48501004333303244,0.9000000000000001,583,4.484615384615385,4.0,6.1000000000000085,9.0,20,0.0,14679680,7176243,7503437,-1.0099318265914916,-3.1366905212402343,0.005896923076923133,0.0,-0.24615384615384617
CT_uniform_s50,CT_uniform,50,130,0.4991109165238313,0.5006831739036973,0.4980792118487173,0.9000000000000001,597,4.592307692307692,4.0,7.1000000000000085,10.0,18,0.0,15028960,7501118,7527842,-1.0099318265914916,-3.1366905212402343,0.005896923076923133,0.0,-0.13846153846153886
bootstrap_unweighted_s50,bootstrap_unweighted,50,130,0.5006429255960383,0.4953797281646745,0.5041065394017832,0.8897438461538463,732,5.630769230769231,4.0,10.0,15.549999999999997,37,0.0,18448480,9236101,9212379,-0.5786818265914917,-2.7054405212402344,-0.004359230769230726,-0.01025615384615386,0.9000000000000004
bootstrap_CT_s50,bootstrap_CT,50,130,0.5073528401001522,0.5072492570579494,0.5074208899373627,0.894103076923077,647,4.976923076923077,4.0,8.0,12.0,21,0.0,16295200,8267416,8027784,-0.3599318265914917,-2.4866905212402344,0.0,-0.005896923076923133,0.24615384615384617
unweighted_s70,unweighted,70,130,0.7034626447022208,0.7144337313980572,0.6962538138825324,0.8664107692307692,2139,16.453846153846154,11.0,41.10000000000001,45.64999999999999,48,0.046153846153846156,53876160,37899866,15976294,-0.18442977964878082,-2.2409701347351074,-0.027692307692307794,0.0,0.0
M_s70,M,70,130,0.6957801522248244,0.7150851181632139,0.6832260997575338,0.8443592307692308,2887,22.20769230769231,15.5,48.0,48.0,48,0.2153846153846154,72419200,50387842,22031358,0.9655702203512192,-1.0909701347351075,-0.049743846153846194,-0.0220515384615384,5.753846153846155
C_s70,C,70,130,0.6967944480229628,0.7025508532520441,0.6930099269526129,0.8974361538461539,1124,8.646153846153846,6.0,17.10000000000001,22.549999999999997,48,0.007692307692307693,28317120,19731212,8585908,0.003070220351219205,-2.0534701347351074,0.0033330769230769386,0.031025384615384732,-7.807692307692308
T_s70,T,70,130,0.6982206010390283,0.7085415685137535,0.6914229770855711,0.8974361538461539,882,6.7846153846153845,6.0,9.0,15.0,41,0.0,22236160,15525745,6710415,-0.08442977964878079,-2.1409701347351073,0.0033330769230769386,0.031025384615384732,-9.669230769230769
MT_s70,MT,70,130,0.6985423565666089,0.6811351133919099,0.7099637280541508,0.8670515384615385,2737,21.053846153846155,14.5,48.0,48.0,48,0.12307692307692308,68898880,48128786,20770094,0.6593202203512192,-1.7253451347351074,-0.027051538461538516,0.000640769230769278,4.600000000000001
CT_s70,CT,70,130,0.693709423271611,0.7010988444077589,0.6888719199178645,0.8948723076923077,974,7.492307692307692,5.0,13.0,20.549999999999997,42,0.0,24496800,16993661,7503139,-0.08442977964878079,-2.1409701347351073,0.0007692307692307443,0.028461538461538538,-8.961538461538462
CT_shuffle_s70,CT_shuffle,70,130,0.6881330672025888,0.7008214444629846,0.6798526920750151,0.8897438461538463,870,6.6923076923076925,5.0,11.100000000000009,16.64999999999999,42,0.0,21853920,15038405,6815515,-0.08442977964878079,-2.1409701347351073,-0.004359230769230726,0.023333076923077067,-9.76153846153846
CT_uniform_s70,CT_uniform,70,130,0.6987902396901547,0.7083407954231785,0.6924640307344042,0.8367946153846153,2418,18.6,13.0,42.0,48.0,48,0.07692307692307693,61098880,42695301,18403579,-0.08442977964878079,-2.1409701347351073,-0.0573084615384617,-0.029616153846153903,2.1461538461538474
bootstrap_unweighted_s70,bootstrap_unweighted,70,130,0.7078848401792305,0.7196904603695722,0.700073129546868,0.6766669230769231,3639,27.99230769230769,30.5,48.0,48.0,48,0.33076923076923076,91912960,65063791,26849169,-0.046929779648780784,-2.1034701347351077,-0.2174361538461539,-0.1897438461538461,11.538461538461537
bootstrap_CT_s70,bootstrap_CT,70,130,0.6901151325928458,0.7024251580381278,0.6820800240813207,0.8825646153846154,2273,17.484615384615385,13.0,40.50000000000004,48.0,48,0.08461538461538462,57101120,39406347,17694773,0.2155702203512192,-1.8409701347351075,-0.011538461538461608,0.016153846153846185,1.0307692307692307
