id,condition,seed,prompt_hash,steps,completion_tokens,e2e_seconds,decoder_seconds,prefix_encoding_seconds,sensitivity_update_seconds,repeat,mode
ruler4k/ruler_4096_niah_single_1_p0391,native_dense,42,84b2a69d0f8ac3fdac3e2ec089bff85b2f7594e7a19aa175c45a04fa35d75559,4,"[100, 45518, 107, 101, 818, 2803, 15236, 1548, 573, 192224, 236772, 100141, 563, 236743, 236770, 236778, 236819, 236770, 236825, 236770, 236812, 236761, 106]",0.5710683490615338,,,,0,e2e
ruler4k/ruler_4096_niah_single_1_p0391,native_dense,42,84b2a69d0f8ac3fdac3e2ec089bff85b2f7594e7a19aa175c45a04fa35d75559,4,"[100, 45518, 107, 101, 818, 2803, 15236, 1548, 573, 192224, 236772, 100141, 563, 236743, 236770, 236778, 236819, 236770, 236825, 236770, 236812, 236761, 106]",0.5697681698948145,0.25355904388427736,0.255767578125,8.848000131547451e-05,0,profile
ruler4k/ruler_4096_niah_single_1_p0365,native_dense,42,362202745bfe5344c23483c584679b8839fa7f402a2275b041ef2e2eb0391df7,5,"[100, 45518, 107, 101, 818, 2803, 15236, 1548, 573, 104266, 547, 236772, 175716, 563, 236743, 236812, 236832, 236800, 236810, 236771, 236812, 236800, 236761, 1]",0.6380506430286914,,,,0,e2e
ruler4k/ruler_4096_niah_single_1_p0359,native_dense,42,22c4aa54f702816bb0df17c72a45850f72c43521617c0530b766b288d42f243c,4,"[100, 45518, 107, 101, 818, 2803, 15236, 1548, 573, 111487, 236772, 576, 644, 563, 236743, 236800, 236832, 236812, 236819, 236832, 236771, 236800, 236761, 1]",0.5691068558953702,,,,0,e2e
ruler4k/ruler_4096_niah_single_1_p0356,native_dense,42,e16efe4e6f2434fe8070e5bd2ff9472be7f1f120929e46ab729ef1df42a999d4,4,"[100, 45518, 107, 101, 818, 2803, 15236, 1548, 573, 13323, 236772, 162946, 145845, 6950, 528, 506, 1816, 563, 236743, 236810, 236825, 236812, 236828, 236800, 236812, 236812, 236761, 106]",0.5697961240075529,,,,0,e2e
ruler4k/ruler_4096_niah_single_1_p0393,native_dense,42,2468ef9fd703f76cd57ba84a60c67a685a020d08698b2530f7d9e692ba5f44f0,3,"[100, 45518, 107, 101, 818, 2803, 15236, 1548, 573, 8326, 236772, 10540, 6950, 528, 506, 1816, 563, 236743, 236800, 236778, 236771, 236810, 236771, 236810, 236770, 236761, 1]",0.5042965679895133,,,,0,e2e
ruler4k/ruler_4096_niah_single_1_p0398,native_dense,42,97ce39fbf2025ceccac24ea9ecf655eb0604555785dbf104316e69637543ae8a,3,"[100, 45518, 107, 101, 818, 2803, 15236, 1548, 573, 24782, 236772, 31871, 6950, 528, 506, 1816, 563, 236743, 236832, 236810, 236810, 236771, 236770, 236828, 236819, 236761, 1]",0.5006504019256681,,,,0,e2e
ruler4k/ruler_4096_niah_single_1_p0373,native_dense,42,4c47f2828d442b0e5c0132156bd91b3ccbac339bb35f6c08447aa4cb23995306,4,"[100, 45518, 107, 101, 818, 2803, 15236, 1548, 573, 184870, 236772, 2858, 15759, 563, 236743, 236778, 236771, 236771, 236825, 236828, 236800, 236778, 236761, 106]",0.5689898149576038,,,,0,e2e
ruler4k/ruler_4096_niah_single_1_p0377,native_dense,42,b4b8b756d972020e9195f5487cd62eeb6355deef26eb2e8911eb7b203abb471d,3,"[100, 45518, 107, 101, 818, 2803, 15236, 1548, 573, 17589, 236762, 236772, 16898, 6950, 528, 506, 1816, 563, 236743, 236800, 236832, 236770, 236771, 236810, 236832, 236778, 236761, 1]",0.49961389298550785,,,,0,e2e
ruler4k/ruler_4096_niah_single_1_p0386,native_dense,42,c191837a0906eef75a272f52e39b79b35e2026870a511f6c47a1b8fd0104e6ca,3,"[100, 45518, 107, 101, 818, 2803, 15236, 1548, 573, 50709, 236772, 29321, 539, 665, 6950, 528, 506, 1816, 563, 236743, 236810, 236832, 236828, 236810, 236810, 236819, 236832, 236761, 106]",1.776652259984985,,,,0,e2e
